company_name,channel,submission_time,attachments,previous_interactions,day_of_week,subscription_tier,contract_value,account_age_months,open_tickets,account_manager,subscribed_modules,avg_resolution_customer,avg_resolution_tier,issue_type,product_area,linked_ticket_count,is_vip,self_declared_p1,is_urgent,resolution_time
InsightlySoft,chat,2025-07-09 5:01:37,1,3,4,Basic,1717.36,4,2,AM_18,Collaboration,53.79495219,38.74959756,Feature Request,Analytics,0,0,0,0,53.8
GlobalFinance Corp,web_form,2025-06-22 12:01:37,0,7,1,Basic,4286.2,4,1,AM_15,"Billing,Collaboration,Analytics",49.24024538,35.912718,Feature Request,Analytics,0,0,1,1,69.5
GlobalFinance Corp,web_form,2025-07-03 13:01:37,1,1,5,Basic,8128.15,11,2,AM_1,"Collaboration,Billing",52.69014046,53.90150994,Feature Request,Analytics,1,0,0,1,57.5
GlobalFinance Corp,web_form,2025-06-27 14:01:37,0,3,6,Basic,985.06,46,1,AM_16,Billing,52.28056152,26.73250313,How-To,Security,0,0,0,0,66.2
InsightlySoft,chat,2025-06-16 17:01:37,2,5,2,Basic,1009.85,41,2,AM_19,Analytics,38.13916393,29.06328439,How-To,Security,0,1,0,1,51.9
GlobalFinance Corp,email,2025-06-18 23:01:37,1,2,4,Basic,1977.12,20,1,AM_6,"Integration,Collaboration",58.93573011,43.72701527,Other,Integration,1,0,0,0,53.7
InsightlySoft,email,2025-07-14 0:01:37,1,2,2,Basic,3681.72,58,1,AM_6,"Collaboration,Security",43.234261,39.02129275,Bug,Collaboration,1,0,0,0,43
GlobalFinance Corp,chat,2025-07-09 21:01:37,0,2,4,Basic,14901.62,14,3,AM_11,Analytics,59.29331785,29.11579686,Other,Analytics,0,0,0,1,67
InsightlySoft,email,2025-07-08 18:01:37,3,5,3,Basic,533.55,35,1,AM_10,"Analytics,Collaboration,Billing",44.17940991,46.42173813,Bug,Billing,0,0,0,0,41.3
GlobalFinance Corp,email,2025-06-14 21:01:37,2,2,7,Basic,1256.27,59,1,AM_16,"Analytics,Security",35.26961362,36.34080397,Feature Request,Billing,0,0,1,1,41.1
InsightlySoft,web_form,2025-06-21 19:01:37,2,1,7,Basic,1355.03,45,2,AM_10,"Billing,Security",37.50419996,36.46916686,Performance,Analytics,2,0,0,0,50.1
InsightlySoft,web_form,2025-06-17 0:01:37,1,3,3,Pro,3881.95,14,1,AM_7,"Collaboration,Billing,Security",57.48690683,31.23256346,Feature Request,Collaboration,0,0,0,0,68.8
GlobalFinance Corp,chat,2025-06-16 2:01:37,1,3,2,Pro,6530.44,49,2,AM_5,"Collaboration,Integration",53.44321403,39.53570061,How-To,Security,0,0,0,0,53.1
InsightlySoft,chat,2025-06-27 4:01:37,1,1,6,Enterprise,609.27,3,0,AM_5,"Analytics,Billing",40.53180975,26.52934473,Bug,Integration,0,0,0,1,53.2
GlobalFinance Corp,email,2025-06-29 9:01:37,1,5,1,Pro,3751.63,15,3,AM_14,Billing,50.18374904,29.62371195,Feature Request,Billing,0,0,0,0,59.5
GlobalFinance Corp,web_form,2025-06-17 20:01:37,1,2,3,Basic,7211.26,21,0,AM_19,"Integration,Billing",57.71786049,43.00721694,Bug,Collaboration,0,0,0,1,89.5
GlobalFinance Corp,chat,2025-06-21 12:01:37,0,4,7,Pro,387.92,2,0,AM_11,"Analytics,Integration",64.29304225,15.0152628,Other,Security,0,0,1,1,84.5
GlobalFinance Corp,chat,2025-07-12 16:01:37,0,5,7,Pro,3024.07,21,2,AM_8,"Billing,Security,Analytics",49.52498011,31.21078048,How-To,Analytics,2,0,1,1,58.5
GlobalFinance Corp,chat,2025-06-16 12:01:37,1,4,2,Enterprise,678.38,57,1,AM_12,"Billing,Integration",51.22267933,40.53069565,How-To,Security,1,0,1,1,62.9
GlobalFinance Corp,chat,2025-07-10 8:01:37,0,5,5,Basic,1745.57,10,0,AM_14,"Integration,Collaboration,Analytics",46.37262944,47.56270814,Performance,Security,1,0,1,1,59.6
GlobalFinance Corp,chat,2025-07-05 18:01:37,0,4,7,Basic,406.8,27,0,AM_14,"Security,Integration,Billing",48.128529,37.25467725,Feature Request,Security,0,0,0,0,50.3
GlobalFinance Corp,chat,2025-06-17 8:01:37,0,4,3,Enterprise,3452.43,54,1,AM_12,"Integration,Security,Collaboration",53.74982206,42.57203259,How-To,Integration,1,0,0,1,70.2
GlobalFinance Corp,email,2025-06-27 1:01:37,2,2,6,Basic,1539.36,47,1,AM_8,"Analytics,Billing",37.15391601,41.01749359,Performance,Billing,1,0,1,1,49.6
GlobalFinance Corp,web_form,2025-07-11 18:01:37,3,6,6,Basic,2512.8,19,3,AM_10,"Billing,Security,Analytics",54.50016447,30.40847485,How-To,Billing,0,0,0,0,67.6
GlobalFinance Corp,web_form,2025-06-26 4:01:37,1,0,5,Basic,2224.13,53,1,AM_10,Security,44.12482941,32.85607233,Other,Integration,0,0,1,1,58.7
InsightlySoft,chat,2025-07-07 0:01:37,1,1,2,Basic,3552.36,12,2,AM_8,"Billing,Security",40.61757422,36.78109728,Feature Request,Collaboration,0,0,1,1,45.9
InsightlySoft,web_form,2025-07-11 20:01:37,2,0,6,Pro,6777.95,49,0,AM_16,"Collaboration,Security",40.65404034,51.86756536,Feature Request,Security,0,1,0,1,48.1
GlobalFinance Corp,web_form,2025-07-08 12:01:37,2,2,3,Enterprise,984.47,16,0,AM_5,"Analytics,Billing,Integration",67.02553019,39.07349527,Bug,Analytics,0,0,1,1,85.9
GlobalFinance Corp,web_form,2025-07-04 12:01:37,0,1,6,Enterprise,2712.84,8,0,AM_4,"Security,Analytics,Integration",60.97390408,34.94411263,Performance,Integration,0,0,0,1,71.9
GlobalFinance Corp,chat,2025-06-22 8:01:37,2,2,1,Basic,2558.3,57,1,AM_2,"Security,Analytics,Billing",39.36579908,25.29691528,Other,Security,0,0,0,0,38.9
GlobalFinance Corp,chat,2025-06-17 14:01:37,1,8,3,Pro,1135.65,37,2,AM_5,"Billing,Integration,Analytics",50.70545247,32.79172005,Bug,Security,2,0,0,0,56.2
GlobalFinance Corp,web_form,2025-07-10 15:01:37,0,5,5,Basic,2076.96,25,0,AM_16,Analytics,50.2988871,32.92272677,Other,Billing,1,0,0,0,61.1
GlobalFinance Corp,web_form,2025-07-03 4:01:37,0,2,5,Enterprise,123.88,24,1,AM_10,"Security,Billing",65.33662375,41.26672593,Bug,Integration,0,0,0,1,78.7
GlobalFinance Corp,chat,2025-06-21 7:01:37,0,1,7,Basic,1670.26,47,3,AM_3,"Collaboration,Analytics,Security",43.60295286,31.25700821,Bug,Analytics,1,1,1,1,52
GlobalFinance Corp,email,2025-06-17 3:01:37,1,2,3,Pro,946.3,40,1,AM_11,Collaboration,25.77401647,36.68762146,Feature Request,Integration,1,0,0,0,30
InsightlySoft,web_form,2025-06-25 19:01:37,2,5,4,Pro,5984.76,18,2,AM_9,"Collaboration,Billing,Analytics",46.78961914,37.50087219,Other,Analytics,0,0,0,0,60.4
GlobalFinance Corp,email,2025-07-10 10:01:37,0,5,5,Enterprise,1328.53,21,0,AM_16,Collaboration,45.27819828,37.5443848,Performance,Security,0,0,1,1,43
InsightlySoft,web_form,2025-06-19 17:01:37,0,2,5,Enterprise,640.36,8,2,AM_5,"Integration,Billing",52.56565902,30.84564256,Performance,Analytics,0,0,0,1,65
GlobalFinance Corp,email,2025-06-17 13:01:37,1,4,3,Basic,2262.97,19,2,AM_17,Integration,56.5874621,31.73716235,Bug,Security,1,0,0,0,55.2
GlobalFinance Corp,email,2025-07-05 1:01:37,0,1,7,Basic,4997.46,49,0,AM_18,"Analytics,Integration,Collaboration",59.44542553,38.56636836,Bug,Analytics,1,1,0,1,76.3
InsightlySoft,email,2025-06-28 8:01:37,2,1,7,Pro,1311.08,30,3,AM_14,"Security,Collaboration",59.12124034,31.20344019,Other,Billing,0,0,0,0,50.2
GlobalFinance Corp,chat,2025-06-23 21:01:37,1,1,2,Basic,5628.63,27,1,AM_11,"Analytics,Security,Billing",54.49540493,22.22505827,Feature Request,Integration,0,0,1,1,62.5
InsightlySoft,email,2025-06-15 19:01:37,2,5,1,Enterprise,1184.15,36,0,AM_18,"Integration,Security",58.51134113,37.5154519,Feature Request,Billing,0,0,0,1,71
GlobalFinance Corp,email,2025-07-04 7:01:37,1,2,6,Basic,3990.85,36,3,AM_4,"Analytics,Security,Integration",34.3319333,20.34149075,Other,Collaboration,0,0,1,1,51.1
GlobalFinance Corp,email,2025-06-23 1:01:37,0,4,2,Basic,367.35,26,4,AM_17,Integration,45.42705403,34.71885685,Other,Integration,1,0,0,0,51.4
InsightlySoft,web_form,2025-07-11 11:01:37,1,4,6,Basic,192.66,20,0,AM_11,"Integration,Billing",48.06302381,27.44182897,Feature Request,Integration,2,0,0,0,40.4
GlobalFinance Corp,email,2025-07-12 14:01:37,0,5,7,Pro,4013.38,52,3,AM_14,Analytics,52.55134182,33.71361051,Bug,Analytics,0,0,0,0,49.6
InsightlySoft,web_form,2025-07-05 8:01:37,0,4,7,Enterprise,1378.49,41,2,AM_9,Billing,41.71282025,49.65277115,Feature Request,Security,0,0,0,1,52.5
GlobalFinance Corp,email,2025-07-12 15:01:37,1,3,7,Pro,1497.66,59,0,AM_18,"Billing,Security,Analytics",41.29294528,40.87331827,How-To,Analytics,0,0,0,0,47.2
InsightlySoft,email,2025-07-07 0:01:37,1,3,2,Basic,2561.02,14,0,AM_8,"Integration,Security",44.45492689,31.32908217,How-To,Integration,0,0,0,0,49.1
InsightlySoft,chat,2025-07-13 8:01:37,0,3,1,Basic,12998.6,33,0,AM_5,Collaboration,52.35641626,25.23998473,Other,Billing,0,0,1,1,68.4
GlobalFinance Corp,web_form,2025-07-09 7:01:37,3,5,4,Enterprise,564.45,9,0,AM_13,"Analytics,Collaboration,Integration",14.44561608,20.83057617,How-To,Security,0,0,0,1,33.9
GlobalFinance Corp,email,2025-06-18 10:01:37,0,4,4,Basic,1069.4,23,0,AM_0,"Analytics,Billing,Collaboration",47.81193438,25.09487885,Performance,Analytics,1,0,0,0,43.8
InsightlySoft,web_form,2025-06-26 7:01:37,2,3,5,Enterprise,3138.38,45,1,AM_0,Billing,40.77617446,28.61594695,How-To,Billing,0,0,0,1,64.2
GlobalFinance Corp,web_form,2025-06-26 18:01:37,1,2,5,Enterprise,3621.57,30,1,AM_10,Collaboration,39.40576578,26.13926144,Feature Request,Analytics,0,1,0,1,45.9
GlobalFinance Corp,chat,2025-06-15 10:01:37,5,4,1,Pro,3674.01,53,0,AM_2,Analytics,51.32132592,39.22006861,How-To,Integration,0,0,0,0,52.9
GlobalFinance Corp,chat,2025-06-24 1:01:37,1,5,3,Enterprise,2714.61,50,2,AM_4,"Security,Analytics,Collaboration",49.43937717,35.14786277,Bug,Analytics,1,1,0,1,67.9
InsightlySoft,chat,2025-06-27 23:01:37,1,1,6,Basic,2662.26,42,1,AM_7,"Integration,Analytics",50.04473644,48.53630217,Other,Billing,0,0,0,0,47.8
InsightlySoft,chat,2025-07-01 7:01:37,1,5,3,Enterprise,480.88,28,1,AM_17,"Analytics,Security,Billing",49.69442907,27.35096258,Bug,Billing,0,0,0,1,50.3
InsightlySoft,chat,2025-07-06 0:01:37,2,5,1,Basic,5398.63,58,0,AM_4,Analytics,62.00163636,33.03329443,How-To,Billing,0,0,0,0,57.1
InsightlySoft,chat,2025-06-19 3:01:37,1,2,5,Pro,26.81,31,1,AM_11,"Analytics,Billing,Security",59.78282139,21.88890651,Bug,Analytics,0,0,0,0,62.5
InsightlySoft,chat,2025-07-01 1:01:37,1,2,3,Basic,1621.68,26,1,AM_17,"Collaboration,Billing",34.06737023,36.32335367,Performance,Integration,0,0,0,0,38.2
InsightlySoft,chat,2025-06-29 6:01:37,1,2,1,Pro,727.78,36,0,AM_11,"Billing,Analytics,Collaboration",43.11693454,20.64223951,Bug,Collaboration,1,0,0,0,29.8
InsightlySoft,email,2025-06-25 14:01:37,0,2,4,Basic,330.58,59,2,AM_7,"Collaboration,Analytics,Security",44.30686009,26.79251534,Performance,Collaboration,0,0,0,0,58.1
InsightlySoft,web_form,2025-07-09 5:01:37,1,4,4,Pro,1154.74,47,0,AM_8,"Security,Collaboration,Analytics",32.80694046,35.29575729,Feature Request,Collaboration,0,0,0,0,33.9
InsightlySoft,chat,2025-06-17 15:01:37,1,3,3,Pro,3211.71,36,0,AM_14,"Billing,Analytics,Integration",75.24639714,11.68359825,Bug,Security,0,0,0,0,66.1
GlobalFinance Corp,chat,2025-07-09 17:01:37,1,1,4,Enterprise,2061.99,52,2,AM_2,"Collaboration,Security,Integration",49.03023049,30.26532625,How-To,Integration,0,0,0,1,54
InsightlySoft,web_form,2025-06-19 12:01:37,0,5,5,Pro,6203.15,11,0,AM_14,Billing,36.14987344,31.76385891,Feature Request,Integration,0,0,0,0,39.5
GlobalFinance Corp,email,2025-06-25 22:01:37,0,2,4,Pro,2746.51,12,1,AM_3,"Analytics,Collaboration",58.67337257,42.62076228,Other,Security,0,1,0,1,80.4
GlobalFinance Corp,web_form,2025-07-09 9:01:37,1,3,4,Enterprise,875.61,45,1,AM_15,Security,49.33500254,40.19260716,Other,Collaboration,1,1,0,1,71.7
GlobalFinance Corp,web_form,2025-07-10 23:01:37,2,0,5,Enterprise,2172.19,2,2,AM_18,"Collaboration,Billing,Analytics",40.40535899,35.46107069,How-To,Collaboration,0,0,1,1,53.9
InsightlySoft,chat,2025-06-19 14:01:37,0,1,5,Pro,773.93,40,1,AM_17,"Analytics,Security,Billing",54.97014164,29.53585572,Performance,Security,0,0,0,0,53.4
InsightlySoft,web_form,2025-06-20 19:01:37,0,3,6,Enterprise,590.44,4,0,AM_15,"Integration,Analytics,Security",57.16588195,33.60684334,Bug,Billing,0,1,0,1,80.4
InsightlySoft,web_form,2025-07-13 13:01:37,0,2,1,Pro,9304.65,32,0,AM_11,"Analytics,Integration",54.91807329,41.28299699,Other,Integration,0,0,1,1,72.4
InsightlySoft,chat,2025-06-22 22:01:37,0,2,1,Basic,1893.52,41,1,AM_11,Security,53.47699328,38.22430675,Bug,Collaboration,0,0,0,0,48.5
