transaction_id,transaction_date,client_id,product_type,transaction_amount,branch_office,client_satisfaction,quantity_purchased,discount_rate,tax_rate
T1034,2023-02-04,C035,Stocks,13666.0,New York,3.2,3,0.1,0.06
T1035,2023-02-05,C036,Stocks,14274.0,Chicago,3.1,9,0.13,0.1
T1036,2023-02-06,C037,Bonds,7558.0,Chicago,4.3,4,0.09,0.08
T1037,2023-02-07,C038,Stocks,12849.0,San Francisco,3.6,1,0.15,0.07
T1038,2023-02-08,C039,Bonds,7047.0,Chicago,4.0,4,0.01,0.09
T1039,2023-02-09,C040,Stocks,7747.0,Chicago,4.8,1,0.11,0.07
T1040,2023-02-10,C041,Bonds,14167.0,New York,3.5,5,0.03,0.07
T1041,2023-02-11,C042,Mutual Fund,14998.0,Miami,3.8,4,0.02,0.09
T1042,2023-02-12,C043,Mutual Fund,5189.0,Chicago,4.5,8,0.07,0.06
T1043,2023-02-13,C044,Mutual Fund,7734.0,Dallas,3.5,8,0.02,0.07
T1044,2023-02-14,C045,Mutual Fund,8005.0,Dallas,3.2,7,0.02,0.07
T1045,2023-02-15,C046,Mutual Fund,9658.0,New York,3.6,3,0.06,0.06
T1046,2023-02-16,C047,Mutual Fund,6899.0,Chicago,3.3,1,0.2,0.07
T1047,2023-02-17,C048,Mutual Fund,12734.0,Miami,4.9,1,0.04,0.08
T1048,2023-02-18,C049,Stocks,6267.0,Chicago,4.6,3,0.0,0.09
T1049,2023-02-19,C050,Stocks,6528.0,New York,4.3,6,0.15,0.09
T1050,2023-02-20,C051,Stocks,16394.0,Dallas,4.7,7,0.16,0.09
T1051,2023-02-21,C052,Mutual Fund,8556.0,San Francisco,4.6,6,0.07,0.09
T1052,2023-02-22,C053,Mutual Fund,8890.0,San Francisco,3.4,6,0.09,0.08
T1053,2023-02-23,C054,Bonds,13838.0,Miami,4.8,6,0.13,0.06
T1054,2023-02-24,C055,Stocks,19356.0,Dallas,4.1,3,0.01,0.07
T1055,2023-02-25,C056,Stocks,16080.0,New York,4.6,6,0.19,0.07
T1056,2023-02-26,C057,Mutual Fund,19502.0,New York,4.8,8,0.18,0.05
T1057,2023-02-27,C058,Bonds,10393.0,San Francisco,3.6,2,0.05,0.08
T1058,2023-02-28,C059,Mutual Fund,15627.0,San Francisco,3.2,5,0.0,0.07
T1059,2023-03-01,C060,Stocks,13792.0,San Francisco,3.5,1,0.19,0.09
T1060,2023-03-02,C061,Bonds,15555.0,Miami,3.9,1,0.1,0.1
T1061,2023-03-03,C062,Stocks,15253.0,Miami,4.6,5,0.11,0.08
T1062,2023-03-04,C063,Stocks,13433.0,Dallas,4.7,3,0.14,0.07
T1063,2023-03-05,C064,Bonds,15233.0,New York,3.0,4,0.12,0.05
T1064,2023-03-06,C065,Bonds,16016.0,San Francisco,4.0,3,0.19,0.1
T1065,2023-03-07,C066,Bonds,12513.0,Chicago,3.8,1,0.19,0.1
T1066,2023-03-08,C067,Mutual Fund,7612.0,Dallas,3.4,1,0.17,0.06
T1067,2023-03-09,C068,Mutual Fund,12041.0,Chicago,3.2,5,0.13,0.08
T1068,2023-03-10,C069,Mutual Fund,14555.0,New York,3.7,6,0.16,0.05
T1069,2023-03-11,C070,Mutual Fund,11235.0,San Francisco,4.9,3,0.14,0.06
T1070,2023-03-12,C071,Mutual Fund,10486.0,San Francisco,3.6,9,0.11,0.06
T1071,2023-03-13,C072,Bonds,12099.0,Chicago,4.0,5,0.03,0.06
T1072,2023-03-14,C073,Bonds,14670.0,Chicago,4.4,8,0.16,0.1
T1073,2023-03-15,C074,Mutual Fund,15748.0,Dallas,3.7,1,0.16,0.08
T1074,2023-03-16,C075,Stocks,5775.0,San Francisco,4.9,5,0.13,0.07
T1075,2023-03-17,C076,Stocks,17206.0,Dallas,4.9,3,0.16,0.09
T1076,2023-03-18,C077,Bonds,13226.0,San Francisco,3.5,1,0.13,0.1
T1077,2023-03-19,C078,Stocks,19541.0,New York,4.0,4,0.04,0.1
T1078,2023-03-20,C079,Mutual Fund,8152.0,Dallas,3.6,5,0.05,0.05
T1079,2023-03-21,C080,Mutual Fund,15147.0,Dallas,3.6,7,0.04,0.07
T1080,2023-03-22,C081,Stocks,6585.0,Dallas,3.1,1,0.08,0.06
T1081,2023-03-23,C082,Mutual Fund,8943.0,Dallas,4.2,3,0.01,0.07
T1082,2023-03-24,C083,Stocks,12555.0,Dallas,4.0,2,0.12,0.06
T1083,2023-03-25,C084,Bonds,8073.0,New York,3.1,9,0.07,0.08
T1084,2023-03-26,C085,Stocks,6021.0,San Francisco,3.6,6,0.13,0.07
T1085,2023-03-27,C086,Mutual Fund,16653.0,Chicago,4.8,3,0.08,0.06
T1086,2023-03-28,C087,Bonds,15805.0,San Francisco,3.5,8,0.14,0.06
T1087,2023-03-29,C088,Stocks,18417.0,New York,3.3,8,0.07,0.07
T1088,2023-03-30,C089,Mutual Fund,8843.0,Chicago,4.0,2,0.05,0.06
T1089,2023-03-31,C090,Mutual Fund,12989.0,Dallas,5.0,6,0.1,0.07
T1090,2023-04-01,C091,Mutual Fund,14692.0,Chicago,3.5,7,0.14,0.05
T1091,2023-04-02,C092,Stocks,17990.0,Miami,4.3,2,0.07,0.06
T1092,2023-04-03,C093,Bonds,19737.0,San Francisco,4.5,2,0.19,0.07
T1093,2023-04-04,C094,Stocks,11873.0,San Francisco,3.5,1,0.01,0.08
T1094,2023-04-05,C095,Mutual Fund,10675.0,Dallas,4.5,8,0.08,0.06
T1095,2023-04-06,C096,Stocks,5161.0,Dallas,3.7,1,0.19,0.06
T1096,2023-04-07,C097,Bonds,9297.0,San Francisco,4.3,9,0.11,0.05
T1097,2023-04-08,C098,Stocks,15173.0,Miami,4.3,6,0.08,0.1
T1098,2023-04-09,C099,Bonds,5995.0,New York,4.1,7,0.11,0.07
T1099,2023-04-10,C100,Bonds,19605.0,Chicago,3.2,7,0.12,0.08
T1100,2023-04-11,C101,Mutual Fund,18103.0,Dallas,4.7,3,0.15,0.1
T1101,2023-04-12,C102,Bonds,16534.0,San Francisco,3.6,2,0.03,0.05
T1102,2023-04-13,C103,Bonds,17743.0,San Francisco,3.4,9,0.05,0.09
T1103,2023-04-14,C104,Stocks,12629.0,Miami,3.1,8,0.12,0.08
T1104,2023-04-15,C105,Mutual Fund,16990.0,New York,4.2,7,0.17,0.06
T1105,2023-04-16,C106,Stocks,14467.0,San Francisco,4.4,9,0.11,0.07
T1106,2023-04-17,C107,Mutual Fund,6016.0,San Francisco,3.0,4,0.05,0.09
T1107,2023-04-18,C108,Stocks,12869.0,Dallas,4.0,4,0.14,0.07
T1108,2023-04-19,C109,Stocks,11439.0,New York,3.5,1,0.15,0.1
T1109,2023-04-20,C110,Bonds,12892.0,Dallas,4.3,8,0.05,0.07
T1110,2023-04-21,C111,Bonds,11863.0,New York,3.3,3,0.08,0.09
T1111,2023-04-22,C112,Mutual Fund,12916.0,New York,4.4,7,0.11,0.07
T1112,2023-04-23,C113,Stocks,13529.0,San Francisco,3.8,2,0.1,0.09
T1113,2023-04-24,C114,Mutual Fund,5878.0,Miami,4.9,2,0.08,0.08
T1114,2023-04-25,C115,Bonds,14268.0,Chicago,3.3,7,0.06,0.05
T1115,2023-04-26,C116,Bonds,9887.0,New York,3.7,6,0.02,0.05
T1116,2023-04-27,C117,Mutual Fund,17185.0,Dallas,3.2,3,0.01,0.06
T1117,2023-04-28,C118,Stocks,19552.0,Chicago,4.8,9,0.19,0.05
T1118,2023-04-29,C119,Stocks,9859.0,San Francisco,4.8,6,0.17,0.05
T1119,2023-04-30,C120,Mutual Fund,11331.0,Miami,3.5,6,0.07,0.08
