company_name,channel,submission_time,attachments,previous_interactions,day_of_week,subscription_tier,contract_value,account_age_months,open_tickets,account_manager,subscribed_modules,avg_resolution_customer,avg_resolution_tier,issue_type,product_area,linked_ticket_count,is_vip,self_declared_p1,is_urgent,resolution_time,hour,is_business_hours,avg_resolution_by_hour,avg_resolution_by_day,peak_hour,customer_priority_score,customer_open_ticket_ratio,customer_segment,customer_importance,urgency_resolve_ratio,experience_adjusted_priority,submission_hour,is_peak_hour,routing_score
GlobalFinance Corp,chat,2025-06-15 21:01:37,0,6,6,Pro,2294.81,39,0,AM_7,"Collaboration,Security",40.02324162,52.86660215,Performance,Integration,0,0,0,0,38.8,21,0,55.03842592592592,54.45521472392638,1,0.08609397738711094,0.0,Low,0.08609397738711094,0.0,0.6026578417097765,21,0,0.30132892085488827
InsightlySoft,chat,2025-06-15 15:01:37,1,1,6,Enterprise,12351.32,28,0,AM_3,Security,59.81268994,49.86095002,How-To,Analytics,0,0,0,1,58.7,15,1,56.202551020408166,54.45521472392638,1,1.4633822690248741,0.0,Low,0.463382269024874,0.01675041876046901,0.926764538049748,15,1,0.796883106545812
GlobalFinance Corp,email,2025-06-18 16:01:37,0,4,2,Basic,4816.57,18,2,AM_11,Analytics,44.78451178,37.79837409,How-To,Analytics,0,0,0,0,49.2,16,1,54.52608695652174,54.19294294294294,1,0.180702397437451,2.0,Low,0.180702397437451,0.0,0.903511987187255,16,1,0.7517559935936275
InsightlySoft,chat,2025-06-24 07:01:37,1,2,1,Basic,641.88,10,1,AM_6,"Analytics,Integration",37.4636775,25.45846242,Other,Security,1,0,0,0,33.1,7,0,55.015846994535515,54.71074626865671,1,0.024081297451744928,0.5,Low,0.024081297451744928,0.0,0.07224389235523479,7,0,0.036121946177617395
InsightlySoft,email,2025-07-04 03:01:37,0,5,4,Pro,1303.48,59,0,AM_7,"Integration,Security",64.57535158,33.69629034,Performance,Security,0,0,0,1,81.7,3,0,54.14031413612565,53.43489425981873,0,1.0489024266255382,0.0,Low,0.04890242662553823,0.012091898428053204,0.2934145597532294,3,0,0.1708910767327211
InsightlySoft,web_form,2025-06-28 21:01:37,0,2,5,Basic,733.48,52,0,AM_18,"Security,Collaboration",45.02805866,37.86324827,Other,Analytics,1,0,0,0,48.9,21,0,55.03842592592592,54.57093791281373,1,0.027517838310752586,0.0,Low,0.027517838310752586,0.0,0.08255351493225777,21,0,0.04127675746612888
InsightlySoft,chat,2025-06-22 04:01:37,1,1,6,Enterprise,495.54,2,0,AM_7,"Security,Analytics",53.35010247,30.5344861,How-To,Collaboration,0,0,1,1,69.3,4,0,54.54949494949494,54.45521472392638,1,1.0185910857780858,0.0,Low,1.0185910857780858,0.01422475106685633,2.0371821715561715,4,0,1.0470405879117983
InsightlySoft,email,2025-07-03 18:01:37,0,2,3,Basic,383.43,43,0,AM_18,"Security,Billing,Integration",42.88413257,42.88000196,Bug,Billing,0,0,0,0,36.1,18,1,53.46582914572865,54.38695014662757,0,0.014385074907961858,0.0,Low,0.014385074907961858,0.0,0.043155224723885575,18,0,0.021577612361942788
GlobalFinance Corp,chat,2025-06-19 08:01:37,2,5,3,Pro,10118.1,50,1,AM_3,"Security,Integration,Analytics",57.23998894,37.1908435,Performance,Analytics,1,0,0,1,77.1,8,1,53.45117370892019,54.38695014662757,0,1.379598952680408,0.5,Low,0.3795989526804081,0.012804097311139566,2.277593716082449,8,0,1.1644050526635035
GlobalFinance Corp,web_form,2025-07-01 01:01:37,0,2,1,Basic,7113.67,43,0,AM_9,"Collaboration,Integration",48.04985249,35.41431636,Other,Analytics,0,0,0,1,57.6,1,0,53.35205479452055,54.71074626865671,0,1.266882288346037,0.0,Low,0.26688228834603717,0.017064846416382253,0.8006468650381116,1,0,0.4344531253518203
GlobalFinance Corp,web_form,2025-07-09 23:01:37,1,2,2,Basic,1980.55,14,0,AM_14,Integration,31.24589371,42.24118654,Bug,Billing,1,0,0,0,39.2,23,0,54.82280701754386,54.19294294294294,1,0.07430394102955913,0.0,Low,0.07430394102955913,0.0,0.2229118230886774,23,0,0.1114559115443387
GlobalFinance Corp,web_form,2025-07-03 06:01:37,0,3,3,Pro,2385.84,13,0,AM_7,Analytics,68.73903142,22.20977621,Other,Billing,0,0,1,1,80.5,6,0,54.673459715639815,54.38695014662757,1,1.0895091336578038,0.0,Low,1.0895091336578038,0.012269938650306749,4.358036534631215,6,0,2.203558144616221
GlobalFinance Corp,chat,2025-06-24 10:01:37,0,4,1,Pro,5472.03,1,1,AM_14,Analytics,42.15851191,29.66363958,Bug,Integration,0,0,0,0,35.9,10,1,53.89094827586207,54.71074626865671,0,0.2052931733265903,1.0,Low,0.2052931733265903,0.0,1.0264658666329516,10,1,0.8132329333164758
InsightlySoft,chat,2025-07-03 01:01:37,1,2,3,Enterprise,3139.53,32,0,AM_15,Billing,44.83703277,35.10015164,Bug,Analytics,0,0,0,1,55.9,1,0,53.35205479452055,54.38695014662757,0,1.1177851869331912,0.0,Low,0.11778518693319118,0.01757469244288225,0.35335556079957353,1,0,0.21182716528555126
GlobalFinance Corp,email,2025-07-03 07:01:37,1,4,3,Basic,3957.68,25,0,AM_6,Analytics,35.90094225,30.00386011,Other,Billing,0,0,0,0,41.6,7,0,55.015846994535515,54.38695014662757,1,0.14847957452922955,0.0,Low,0.14847957452922955,0.0,0.7423978726461478,7,0,0.3711989363230739
GlobalFinance Corp,web_form,2025-06-14 19:01:37,1,4,5,Basic,4698.3,10,0,AM_7,"Billing,Security",30.02908539,24.65257,How-To,Analytics,0,0,0,0,21.0,19,0,54.95531914893617,54.57093791281373,1,0.17626528294624103,0.0,Low,0.17626528294624103,0.0,0.8813264147312051,19,0,0.44066320736560255
InsightlySoft,chat,2025-07-01 02:01:37,1,3,1,Pro,1979.3,15,1,AM_12,Security,58.96195206,26.66408533,Other,Billing,0,0,0,0,63.9,2,0,54.24957264957265,54.71074626865671,0,0.07425704500255302,1.0,Low,0.07425704500255302,0.0,0.2970281800102121,2,0,0.14851409000510604
GlobalFinance Corp,web_form,2025-07-05 23:01:37,1,7,5,Basic,11041.89,51,0,AM_12,"Billing,Integration,Analytics",50.0801882,35.96157637,Feature Request,Security,1,0,0,1,63.2,23,0,54.82280701754386,54.57093791281373,1,1.4142566173107867,0.0,Low,0.4142566173107867,0.01557632398753894,3.314052938486294,23,0,1.6881791172182248
InsightlySoft,web_form,2025-06-21 18:01:37,4,0,5,Pro,2969.53,29,6,AM_1,"Security,Collaboration,Billing",28.64830317,38.08335771,Performance,Security,0,0,0,0,29.0,18,1,53.46582914572865,54.57093791281373,0,0.11140732726036037,6.0,Low,0.11140732726036037,0.0,0.11140732726036037,18,0,0.055703663630180186
GlobalFinance Corp,email,2025-07-13 16:01:37,0,4,6,Basic,3011.15,17,4,AM_19,Integration,44.22949443,54.41214182,How-To,Security,0,0,1,1,51.8,16,1,54.52608695652174,54.45521472392638,1,1.1129687773755559,4.0,Low,1.1129687773755559,0.01893939393939394,5.56484388687778,16,1,3.120300731317678
InsightlySoft,email,2025-07-13 15:01:37,1,5,6,Basic,456.12,42,0,AM_14,"Collaboration,Analytics,Integration",51.78038,44.63574876,How-To,Analytics,0,0,0,0,61.8,15,1,56.202551020408166,54.45521472392638,1,0.017112172670421102,0.0,Low,0.017112172670421102,0.0,0.10267303602252661,15,1,0.3513365180112633
GlobalFinance Corp,email,2025-06-15 12:01:37,1,3,6,Basic,13203.56,54,1,AM_5,"Analytics,Security",54.03228124,27.16980326,Other,Analytics,0,0,0,1,60.2,12,1,54.15106382978723,54.45521472392638,0,1.495355605069423,1.0,Low,0.495355605069423,0.016339869281045753,1.981422420277692,12,1,1.3233909487009377
GlobalFinance Corp,email,2025-07-11 07:01:37,4,0,4,Enterprise,220.21,40,3,AM_17,Billing,39.14938188,45.89082032,Performance,Analytics,0,0,0,1,50.1,7,0,55.015846994535515,53.43489425981873,1,1.0082615792856122,3.0,Low,0.008261579285612186,0.019569471624266144,0.008261579285612186,7,0,0.04326973289133838
InsightlySoft,web_form,2025-06-16 08:01:37,0,5,0,Enterprise,12729.16,23,0,AM_6,"Security,Collaboration",42.87198701,36.40877613,Feature Request,Collaboration,1,0,0,1,57.2,8,1,53.45117370892019,54.49318181818182,0,1.4775576249000646,0.0,Low,0.4775576249000646,0.017182130584192438,2.8653457494003876,8,0,1.4670371358685788
InsightlySoft,email,2025-06-27 13:01:37,0,4,4,Enterprise,7242.75,7,1,AM_1,"Collaboration,Billing,Security",41.23483515,34.80760009,Other,Security,0,0,0,1,36.5,13,1,55.283884297520665,53.43489425981873,1,1.271724959678796,1.0,Low,0.271724959678796,0.02666666666666667,1.35862479839398,13,1,1.0326457325303233
InsightlySoft,email,2025-07-07 19:01:37,0,1,0,Pro,5822.59,50,0,AM_1,Analytics,44.24368929,30.55914992,Performance,Billing,0,0,0,0,52.3,19,0,54.95531914893617,54.49318181818182,1,0.21844507030839955,0.0,Low,0.21844507030839955,0.0,0.4368901406167991,19,0,0.21844507030839955
InsightlySoft,email,2025-06-15 14:01:37,3,0,6,Basic,3358.88,59,0,AM_0,"Integration,Security",50.25016716,23.29676125,Other,Integration,0,0,0,0,45.2,14,1,53.275252525252526,54.45521472392638,0,0.12601450175222317,0.0,Low,0.12601450175222317,0.0,0.12601450175222317,14,1,0.3630072508761116
InsightlySoft,email,2025-07-07 17:01:37,0,3,0,Basic,2816.05,36,2,AM_13,"Collaboration,Analytics",56.12476161,36.07248913,Performance,Collaboration,0,0,0,0,64.3,17,1,55.64358974358974,54.49318181818182,1,0.1056492454804423,2.0,Low,0.1056492454804423,0.0,0.4225969819217692,17,1,0.5112984909608846
InsightlySoft,web_form,2025-07-05 05:01:37,0,4,5,Basic,17069.65,6,1,AM_1,"Analytics,Security",50.34403047,25.67982661,How-To,Analytics,0,0,0,1,66.0,5,0,54.353539823008845,54.57093791281373,1,1.640399013907861,1.0,Low,0.640399013907861,0.014925373134328358,3.201995069539305,5,0,1.6308482810383094
InsightlySoft,email,2025-06-19 09:01:37,0,4,3,Enterprise,10948.69,2,2,AM_9,"Collaboration,Integration",50.65976453,33.65626508,Other,Security,1,0,1,1,66.8,9,1,53.0990243902439,54.38695014662757,0,1.4107600495372112,1.0,Low,1.4107600495372112,0.014749262536873156,7.053800247686056,9,1,3.8563986489167745
InsightlySoft,web_form,2025-06-29 11:01:37,0,1,6,Pro,5011.28,45,1,AM_3,"Analytics,Security",46.07366106,45.27001006,Feature Request,Collaboration,0,0,0,0,53.2,11,1,55.90837696335078,54.45521472392638,1,0.1880072977721386,1.0,Low,0.1880072977721386,0.0,0.3760145955442772,11,1,0.4880072977721386
GlobalFinance Corp,chat,2025-06-22 18:01:37,1,2,6,Enterprise,272.6,32,1,AM_3,"Billing,Analytics,Collaboration",36.28069069,44.23654524,Performance,Security,0,0,0,1,44.4,18,1,53.46582914572865,54.45521472392638,0,1.0102270855694921,1.0,Low,0.010227085569492223,0.022026431718061675,0.03068125670847667,18,0,0.059393491790361685
GlobalFinance Corp,web_form,2025-06-17 19:01:37,0,1,1,Pro,1396.44,53,1,AM_6,Analytics,46.54462129,34.04358464,Feature Request,Billing,2,0,0,0,47.7,19,0,54.95531914893617,54.71074626865671,1,0.05238999036192853,0.3333333333333333,Low,0.05238999036192853,0.0,0.10477998072385707,19,0,0.05238999036192853
InsightlySoft,web_form,2025-06-22 08:01:37,0,1,6,Basic,6028.13,44,2,AM_19,"Integration,Billing",43.74924764,44.00611521,Feature Request,Integration,0,0,0,0,37.3,8,1,53.45117370892019,54.45521472392638,0,0.22615627782106804,2.0,Low,0.22615627782106804,0.0,0.45231255564213607,8,0,0.22615627782106804
GlobalFinance Corp,email,2025-06-22 22:01:37,1,0,6,Basic,3637.23,5,2,AM_4,"Billing,Security",41.12592755,38.16392158,Other,Collaboration,0,0,0,0,30.7,22,0,54.11608040201005,54.45521472392638,0,0.13645730904594347,2.0,Low,0.13645730904594347,0.0,0.13645730904594347,22,0,0.06822865452297174
GlobalFinance Corp,chat,2025-07-11 18:01:37,1,4,4,Enterprise,390.34,19,1,AM_11,"Billing,Security,Integration",48.16941781,48.00706869,Performance,Integration,0,0,0,1,62.0,18,1,53.46582914572865,53.43489425981873,0,1.0146443161452516,1.0,Low,0.014644316145251626,0.015873015873015872,0.07322158072625813,18,0,0.0683568221091608
GlobalFinance Corp,chat,2025-06-17 21:01:37,1,3,1,Basic,1284.28,2,1,AM_11,Security,32.37260495,26.54756219,Bug,Collaboration,0,0,0,0,35.4,21,0,55.03842592592592,54.71074626865671,1,0.048182103650724395,1.0,Low,0.048182103650724395,0.0,0.19272841460289758,21,0,0.09636420730144879
GlobalFinance Corp,chat,2025-07-10 08:01:37,2,1,3,Basic,58.85,43,1,AM_5,Collaboration,43.35297339,35.01124837,Feature Request,Security,1,0,0,0,36.4,8,1,53.45117370892019,54.38695014662757,0,0.0022078649514476055,0.5,Low,0.0022078649514476055,0.0,0.004415729902895211,8,0,0.0022078649514476055
InsightlySoft,chat,2025-06-16 01:01:37,1,5,0,Basic,6699.27,23,1,AM_17,Security,41.11305245,32.13048417,Performance,Analytics,0,0,1,1,51.6,1,0,53.35205479452055,54.49318181818182,0,1.251335317472972,1.0,Low,1.251335317472972,0.019011406844106463,7.508011904837832,1,0,3.792028766107129
GlobalFinance Corp,web_form,2025-07-03 00:01:37,1,5,3,Pro,4123.16,40,0,AM_1,Collaboration,39.60233614,39.23479004,How-To,Security,0,0,1,1,62.1,0,0,53.43349056603773,54.38695014662757,0,1.1546878581684064,0.0,Low,1.1546878581684064,0.01584786053882726,6.928127149010438,0,0,3.4957592955828733
InsightlySoft,chat,2025-07-09 05:01:37,1,3,2,Basic,1717.36,4,2,AM_18,Collaboration,53.79495219,38.74959756,Feature Request,Analytics,0,0,0,0,53.8,5,0,54.353539823008845,54.19294294294294,1,0.06442988875136889,2.0,Low,0.06442988875136889,0.0,0.25771955500547555,5,0,0.12885977750273778
GlobalFinance Corp,web_form,2025-06-22 12:01:37,0,7,6,Basic,4286.2,4,1,AM_15,"Billing,Collaboration,Analytics",49.24024538,35.912718,Feature Request,Analytics,0,0,1,1,69.5,12,1,54.15106382978723,54.45521472392638,0,1.160804600762867,1.0,Low,1.160804600762867,0.014184397163120567,9.286436806102936,12,1,4.971587197377708
GlobalFinance Corp,web_form,2025-07-03 13:01:37,1,1,3,Basic,8128.15,11,2,AM_1,"Collaboration,Billing",52.69014046,53.90150994,Feature Request,Analytics,1,0,0,1,57.5,13,1,55.283884297520665,54.38695014662757,1,1.304942353527763,1.0,Low,0.304942353527763,0.017094017094017096,0.609884707055526,13,1,0.6391303877157972
GlobalFinance Corp,web_form,2025-06-27 14:01:37,0,3,4,Basic,985.06,46,1,AM_16,Billing,52.28056152,26.73250313,How-To,Security,0,0,0,0,66.2,14,1,53.275252525252526,53.43489425981873,0,0.036956320290110076,1.0,Low,0.036956320290110076,0.0,0.1478252811604403,14,1,0.3739126405802201
InsightlySoft,chat,2025-06-16 17:01:37,2,5,0,Basic,1009.85,41,2,AM_19,Analytics,38.13916393,29.06328439,How-To,Security,0,1,0,1,51.9,17,1,55.64358974358974,54.49318181818182,1,3.0378863622976953,2.0,Medium,2.0378863622976953,0.01890359168241966,12.227318173786172,17,1,6.451466270257925
GlobalFinance Corp,email,2025-06-18 23:01:37,1,2,2,Basic,1977.12,20,1,AM_6,"Integration,Collaboration",58.93573011,43.72701527,Other,Integration,1,0,0,0,53.7,23,0,54.82280701754386,54.19294294294294,1,0.07417525833145436,0.5,Low,0.07417525833145436,0.0,0.22252577499436307,23,0,0.11126288749718154
InsightlySoft,email,2025-07-14 00:01:37,1,2,0,Basic,3681.72,58,1,AM_6,"Collaboration,Security",43.234261,39.02129275,Bug,Collaboration,1,0,0,0,43.0,0,0,53.43349056603773,54.49318181818182,0,0.1381264324391449,0.5,Low,0.1381264324391449,0.0,0.4143792973174347,0,0,0.20718964865871736
