id,timestamp,location,likes,retweets,sentiment_score,sentiment_label,post_text,device_type,hashtags,user_followers
45,2025-04-25 12:49:40,"Berlin, Germany",392,14,-0.78,Negative,Dogs make everything better. ,Desktop,,8073.0
46,2025-04-25 10:49:04,"São Paulo, Brazil",379,178,-0.94,Negative,Dogs make everything better. ,mobile,#MorningVibes,9589.0
47,2025-04-25 17:52:13,"New York, USA",230,51,0.13,Neutral,Proud of myself for stepping out of my comfort zone today.,MOBILE,#MorningVibes,921.0
48,2025-04-25 16:40:46,,387,150,0.21,Neutral,Feeling super productive today! Crushing my to-do list.,Tablet,#MorningVibes,8420.0
49,2025-04-25 09:27:30,"Tokyo, Japan",142,170,-0.59,Negative,Rainy days make me want to stay in bed all day. ,Desktop,,3953.0
50,2025-04-25 15:21:01,"London, UK",12,159,0.2,Neutral,Overthinking everything... need to chill. ,mobile,,9840.0
51,2025-04-25 08:43:24,"London, UK",242,85,0.76,Positive,Learning a new language is so challenging yet rewarding!,,#Traffic,4372.0
52,2025-04-25 11:43:06,"Paris, France",169,44,-0.41,Negative,Any Netflix recommendations for tonight? ,Tablet ,#WorkLife,2244.0
53,2025-04-25 13:27:40,"Berlin, Germany",133,27,0.61,Positive,Finally booked my vacation! Counting down the days. ,Desktop,#MorningVibes,7608.0
54,2025-04-25 09:49:12,"London, UK",43,83,0.79,Positive,Why does my cat wake me up at 5am every day? ,mobile,,4445.0
55,2025-04-25 10:24:40,"Paris, France",330,127,0.61,Positive,Rainy days make me want to stay in bed all day. ,mobile,#Traffic,4769.0
56,2025-04-25 10:52:18,"Berlin, Germany",347,189,-0.78,Negative,Why does my cat wake me up at 5am every day? ,Tablet ,,8766.0
57,2025-04-25 08:08:32,,376,26,-0.15,Neutral,This new app I'm using is a game changer!,Desktop,#Foodie,4433.0
58,2025-04-25 10:06:04,"London, UK",115,2,-0.99,Negative,Proud of myself for stepping out of my comfort zone today.,,#Foodie,4562.0
59,2025-04-25 13:07:45,"São Paulo, Brazil",455,154,-0.17,Neutral,Celebrating small wins today. They matter too. ,MOBILE,#CoffeeBreak,4425.0
60,2025-04-25 17:12:02,"Berlin, Germany",164,50,-0.46,Negative,Woke up to the sound of rain. So peaceful. ,Mobile,#Rain,7039.0
61,2025-04-25 13:02:12,"New York, USA",151,58,-0.35,Negative,Can't believe how beautiful the sunrise was today! ,MOBILE,#Foodie,4391.0
62,2025-04-25 10:56:29,"Berlin, Germany",95,179,-0.27,Neutral,Sunsets are proof that endings can be beautiful too. ,Desktop,,258.0
63,2025-04-25 10:02:11,"London, UK",496,185,0.92,Positive,Any tips for staying focused when working from home?,Tablet,,690.0
64,2025-04-25 14:43:16,,294,129,0.42,Positive,"Some days are tough, but we keep moving forward. ",Desktop,#Foodie,785.0
65,2025-04-25 13:36:42,"Paris, France",100,112,1.0,Positive,Stuck in traffic again... seriously?! ,MOBILE,#CoffeeBreak,4188.0
66,2025-04-25 09:52:16,"Paris, France",186,112,0.95,Positive,Sunsets are proof that endings can be beautiful too. ,Desktop,,2632.0
67,2025-04-25 12:18:34,"Tokyo, Japan",219,53,-0.93,Negative,Family BBQ today! Love days like this. ,Desktop,#MorningVibes,3038.0
68,2025-04-25 14:02:50,"Toronto, Canada",223,128,-0.52,Negative,"Sometimes you win, sometimes you learn. ",mobile,#Fitness,2708.0
69,2025-04-25 09:58:04,"Toronto, Canada",129,52,-0.02,Neutral,Stuck in traffic again... seriously?! ,Des ktop,#CoffeeBreak,3369.0
70,2025-04-25 16:22:46,"Paris, France",159,197,-0.52,Negative,This new app I'm using is a game changer!,mobile,#CoffeeBreak,487.0
71,2025-04-25 11:30:56,"Toronto, Canada",323,182,0.52,Positive,Miss traveling so much. Dreaming of new adventures.,Tablet ,#Rain,4673.0
72,2025-04-25 14:23:32,,122,144,0.46,Positive,When life gives you lemons... make margaritas. ,,#Traffic,552.0
73,2025-04-25 10:05:59,"Sydney, Australia",279,68,0.26,Neutral,Family BBQ today! Love days like this. ,Tablet ,#MorningVibes,1876.0
74,2025-04-25 15:54:39,"Paris, France",197,138,0.63,Positive,"Life’s short, eat the cake. ",MOBILE,#WorkLife,8479.0
75,2025-04-25 10:06:18,"Toronto, Canada",143,96,-0.7,Negative,Overthinking everything... need to chill. ,mobile,#Fitness,827.0
76,2025-04-25 15:56:17,"New York, USA",186,69,0.39,Positive,Feeling super productive today! Crushing my to-do list.,,,3328.0
77,2025-04-25 14:37:49,"Toronto, Canada",258,147,-0.35,Negative,Rainy days make me want to stay in bed all day. ,MOBILE,,5243.0
78,2025-04-25 10:16:07,"Sydney, Australia",419,146,0.42,Positive,Best pizza I've ever had. Hands down. ,Tablet ,,6791.0
79,2025-04-25 13:56:16,"Toronto, Canada",146,147,0.29,Neutral,Any tips for staying focused when working from home?,Tablet ,,2185.0
80,2025-04-25 11:29:32,"Toronto, Canada",307,160,-0.2,Neutral,"Sometimes you win, sometimes you learn. ",Desktop,,2951.0
81,2025-04-25 13:28:43,"Toronto, Canada",38,81,0.68,Positive,Sunsets are proof that endings can be beautiful too. ,Mobile,#Fitness,4800.0
82,2025-04-25 11:49:34,"Toronto, Canada",266,184,-0.77,Negative,Met an inspiring entrepreneur today. Great conversation!,MOBILE,#TuesdayFeeling,7338.0
83,2025-04-25 16:02:57,"São Paulo, Brazil",150,158,0.75,Positive,Best pizza I've ever had. Hands down. ,Des ktop,#Foodie,1489.0
84,2025-04-25 13:09:58,,98,6,0.32,Positive,"Sometimes you win, sometimes you learn. ",MOBILE,#Rain,3948.0
85,2025-04-25 13:39:03,"São Paulo, Brazil",345,111,0.11,Neutral,"Monday motivation: Start where you are, use what you have.",Tablet,#MorningVibes,857.0
86,2025-04-25 12:27:26,"Berlin, Germany",59,112,-0.52,Negative,Nature walks clear my mind like nothing else.,Desktop,#TuesdayFeeling,6890.0
87,2025-04-25 11:32:22,"Toronto, Canada",303,139,0.12,Neutral,"Self-care Sunday: face masks, tea, and zero responsibilities.",Desktop,#CoffeeBreak,2517.0
88,2025-04-25 08:06:03,"London, UK",159,8,-0.44,Negative,Sending positive vibes to everyone today. ,mobile,#Foodie,8586.0
89,2025-04-25 16:27:24,"New York, USA",146,47,0.69,Positive,Sunsets are proof that endings can be beautiful too. ,mobile,#Rain,7578.0
90,2025-04-25 10:25:38,"Berlin, Germany",403,151,-0.19,Neutral,"Sometimes you win, sometimes you learn. ",,,9855.0
91,2025-04-25 13:46:34,"Berlin, Germany",160,151,0.7,Positive,Nature walks clear my mind like nothing else.,,#WorkLife,9076.0
92,2025-04-25 16:07:03,"Tokyo, Japan",112,199,0.57,Positive,Proud of myself for stepping out of my comfort zone today.,Des ktop,#TuesdayFeeling,4346.0
93,2025-04-25 12:30:03,"Sydney, Australia",103,83,0.16,Neutral,Feeling super productive today! Crushing my to-do list.,Des ktop,,4019.0
94,2025-04-25 12:59:56,"Berlin, Germany",111,98,0.95,Positive,Rainy days make me want to stay in bed all day. ,Tablet ,#CoffeeBreak,4551.0
95,2025-04-25 14:06:50,"Paris, France",401,127,-0.39,Negative,Why does my cat wake me up at 5am every day? ,Desktop,#Foodie,2571.0
96,2025-04-25 12:12:35,"Toronto, Canada",193,53,-0.1,Neutral,Any tips for staying focused when working from home?,Tablet,#CoffeeBreak,1152.0
97,2025-04-25 15:33:08,"Toronto, Canada",444,168,-0.65,Negative,Miss traveling so much. Dreaming of new adventures.,,#TuesdayFeeling,6912.0
98,2025-04-25 09:08:00,"São Paulo, Brazil",67,32,-0.01,Neutral,Learning a new language is so challenging yet rewarding!,Desktop,,420.0
99,2025-04-25 14:55:28,"Berlin, Germany",303,147,-0.27,Neutral,Can't believe how beautiful the sunrise was today! ,MOBILE,#Fitness,6489.0
100,2025-04-25 15:37:40,,391,134,0.44,Positive,Proud of myself for stepping out of my comfort zone today.,,,3713.0
1,2025-04-26 15:30:21,"Paris, France",405,144,0.16,Neutral,Couldn't resist buying new plants today. 🌱,,#WorkLife,5288.0
2,2025-04-26 11:24:37,"Berlin, Germany",192,21,0.24,Neutral,Why does my cat wake me up at 5am every day? 😂,Mobile,,1221.0
3,2025-04-26 04:16:25,"Sydney, Australia",209,49,0.98,Positive,Feeling grateful for the little things today. 🌼,Desktop,#WorkLife,1712.0
4,2025-04-26 13:50:31,"London, UK",174,28,-0.11,Neutral,Late night thoughts: How amazing is the universe?,Tablet,#Fitness,574.0
5,2025-04-26 00:50:14,"Paris, France",250,179,0.52,Positive,Best workout session ever! Feeling strong. 💪 #Fitness,Tablet ,#Traffic,6241.0
6,2025-04-26 07:50:25,"Tokyo, Japan",6,28,-0.96,Negative,Any Netflix recommendations for tonight? 📺,,#WorkLife,9372.0
7,2025-04-26 12:24:42,"Tokyo, Japan",133,110,-0.02,Neutral,Late night coding sessions are both a curse and a blessing. 💻,Tablet,#Rain,6367.0
8,2025-04-26 11:16:53,"São Paulo, Brazil",434,57,-1.0,Negative,"Self-care Sunday: face masks, tea, and zero responsibilities.",Tablet,#CoffeeBreak,7655.0
9,2025-04-26 11:36:45,"Sydney, Australia",481,173,-0.06,Neutral,Catching up with old friends always feels like no time passed.,Tablet ,,253.0
10,2025-04-26 16:21:50,"Berlin, Germany",3,98,-0.1,Neutral,Dogs make everything better. 🐶❤️,,#Foodie,1310.0
11,2025-04-26 08:02:29,"Paris, France",38,14,0.59,Positive,Met an inspiring entrepreneur today. Great conversation!,Tablet ,,7051.0
12,2025-04-26 12:34:00,"Sydney, Australia",156,74,-0.56,Negative,Catching up with old friends always feels like no time passed.,Tablet ,#CoffeeBreak,6402.0
13,2025-04-26 15:32:04,"Berlin, Germany",129,174,0.36,Positive,Trying out a new recipe tonight. Hope it turns out good!,mobile,#WorkLife,9470.0
14,2025-04-26 06:32:04,"Sydney, Australia",21,26,0.74,Positive,Any tips for staying focused when working from home?,Tablet ,#MorningVibes,6584.0
15,2025-04-26 04:59:48,"New York, USA",381,183,-0.14,Neutral,Overthinking everything... need to chill. 🧘,Mobile,,8238.0
16,2025-04-26 15:09:40,"Sydney, Australia",20,46,-0.16,Neutral,Feeling grateful for the little things today. 🌼,MOBILE,#CoffeeBreak,3215.0
17,2025-04-26 11:18:10,"Sydney, Australia",442,83,-0.2,Neutral,Couldn't resist buying new plants today. 🌱,Tablet,,1691.0
18,2025-04-26 16:26:45,"New York, USA",440,196,0.97,Positive,This new app I'm using is a game changer!,Des ktop,#MorningVibes,9595.0
19,2025-04-26 06:38:31,"Tokyo, Japan",256,57,0.79,Positive,Huge thanks to everyone who made today unforgettable!,Tablet ,#Traffic,6907.0
20,2025-04-26 03:11:50,"São Paulo, Brazil",14,161,-0.57,Negative,Reading an amazing book right now. Totally recommend!,,#Traffic,8797.0
21,2025-04-26 09:08:05,"Sydney, Australia",319,24,0.43,Positive,Late night coding sessions are both a curse and a blessing. 💻,Tablet ,#TuesdayFeeling,4935.0
22,2025-04-26 13:35:26,"Paris, France",273,14,-0.06,Neutral,Is it Friday yet? Need the weekend desperately. 😩,Des ktop,#Rain,2406.0
23,2025-04-26 13:43:44,"São Paulo, Brazil",26,71,-0.68,Negative,Couldn't resist buying new plants today. 🌱,Desktop,,6092.0
24,2025-04-26 01:38:38,"Toronto, Canada",472,144,-0.82,Negative,Can't believe how beautiful the sunrise was today! 🌅,Tablet ,,2124.0
25,2025-04-26 08:16:44,"Paris, France",7,78,-0.09,Neutral,Couldn't resist buying new plants today. 🌱,Tablet ,,6342.0
26,2025-04-26 14:58:17,"Paris, France",49,198,0.25,Neutral,Trying out a new recipe tonight. Hope it turns out good!,mobile,#TuesdayFeeling,510.0
27,2025-04-26 11:16:42,,447,171,-0.93,Negative,Finally booked my vacation! Counting down the days. ✈️,mobile,,1135.0
28,2025-04-26 11:34:01,"Berlin, Germany",315,121,0.23,Neutral,Any tips for staying focused when working from home?,Tablet ,,6789.0
29,2025-04-26 02:07:26,"Tokyo, Japan",45,14,-0.04,Neutral,Stuck in traffic again... seriously?! 🚗🚦,Mobile,#Fitness,8171.0
30,2025-04-26 02:06:50,"London, UK",205,198,-0.75,Negative,Any Netflix recommendations for tonight? 📺,,#Foodie,6467.0
31,2025-04-26 08:15:29,"Paris, France",235,83,-0.14,Neutral,"Sometimes you win, sometimes you learn. 💬",,#WorkLife,9722.0
32,2025-04-26 13:30:45,"Tokyo, Japan",165,175,-0.02,Neutral,Learning a new language is so challenging yet rewarding!,Desktop,#TuesdayFeeling,6786.0
33,2025-04-26 17:05:41,"Sydney, Australia",318,116,0.18,Neutral,Stuck in traffic again... seriously?! 🚗🚦,MOBILE,#CoffeeBreak,7364.0
34,2025-04-26 08:05:43,"São Paulo, Brazil",71,138,0.97,Positive,Made a vision board today. Feeling super motivated!,Desktop,,6118.0
35,2025-04-26 09:54:42,"Paris, France",208,71,-0.07,Neutral,Best workout session ever! Feeling strong. 💪 #Fitness,Desktop,#Fitness,3209.0
36,2025-04-26 17:37:32,"London, UK",477,63,-0.21,Neutral,Catching up with old friends always feels like no time passed.,Desktop,,3575.0
37,2025-04-26 11:40:54,"New York, USA",494,94,0.44,Positive,Best workout session ever! Feeling strong. 💪 #Fitness,MOBILE,#CoffeeBreak,2163.0
38,2025-04-26 14:19:35,"São Paulo, Brazil",10,44,0.51,Positive,Rainy days make me want to stay in bed all day. ☔,,#CoffeeBreak,9707.0
39,2025-04-26 03:55:52,"São Paulo, Brazil",101,168,-0.92,Negative,Miss traveling so much. Dreaming of new adventures.,Tablet,,146.0
40,2025-04-26 05:02:51,"Tokyo, Japan",213,178,-0.79,Negative,Reading an amazing book right now. Totally recommend!,,#Fitness,2958.0
41,2025-04-26 02:00:04,"New York, USA",400,75,0.97,Positive,Reading an amazing book right now. Totally recommend!,Mobile,#Traffic,3998.0
42,2025-04-26 10:43:11,"Paris, France",159,79,-0.04,Neutral,Coffee is life. Don't talk to me before my second cup. ☕,Tablet,#Fitness,958.0
43,2025-04-26 02:18:27,"Toronto, Canada",91,147,-0.31,Negative,Feeling super productive today! Crushing my to-do list.,Desktop,#Rain,7902.0
44,2025-04-26 08:09:38,"Paris, France",423,159,0.88,Positive,Best pizza I've ever had. Hands down. 🍕,Desktop,#TuesdayFeeling,8354.0
45,2025-04-26 04:01:59,"New York, USA",352,1,0.07,Neutral,"Life’s short, eat the cake. 🎂",,#Fitness,7604.0
46,2025-04-26 11:42:41,"New York, USA",232,157,-0.93,Negative,Best workout session ever! Feeling strong. 💪 #Fitness,Des ktop,#WorkLife,7084.0
47,2025-04-26 12:29:24,"London, UK",115,153,-0.21,Neutral,"Self-care Sunday: face masks, tea, and zero responsibilities.",Des ktop,#Rain,1423.0
48,2025-04-26 05:51:49,"Tokyo, Japan",193,165,0.14,Neutral,Rainy days make me want to stay in bed all day. ☔,Tablet,#Fitness,9690.0
49,2025-04-26 09:58:57,"Paris, France",173,121,0.6,Positive,Concert tonight! So pumped to see my favorite band live!,,#Fitness,7533.0
50,2025-04-26 09:12:11,"Toronto, Canada",481,105,-0.67,Negative,Trying out a new recipe tonight. Hope it turns out good!,Desktop,,9133.0
51,2025-04-26 13:07:20,"São Paulo, Brazil",304,103,0.27,Neutral,Sending positive vibes to everyone today. ✨,Des ktop,#CoffeeBreak,6879.0
52,2025-04-26 06:10:12,"Berlin, Germany",450,122,-0.94,Negative,When life gives you lemons... make margaritas. 🍋🍹,Desktop,#Rain,5220.0
53,2025-04-26 07:46:08,"Paris, France",261,72,-0.9,Negative,"Sometimes you win, sometimes you learn. 💬",Tablet ,#Traffic,2600.0
54,2025-04-26 12:30:11,"Berlin, Germany",415,40,0.42,Positive,Rainy days make me want to stay in bed all day. ☔,Desktop,#Rain,1627.0
55,2025-04-26 07:51:43,"London, UK",263,71,0.43,Positive,Proud of myself for stepping out of my comfort zone today.,MOBILE,#Foodie,9215.0
56,2025-04-26 01:05:30,,317,83,-0.32,Negative,Sunsets are proof that endings can be beautiful too. 🌇,MOBILE,,2102.0
57,2025-04-26 07:28:42,"Paris, France",250,126,-0.84,Negative,"Sometimes you win, sometimes you learn. 💬",Desktop,#MorningVibes,4812.0
58,2025-04-26 10:55:48,"Sydney, Australia",83,131,0.19,Neutral,Yoga in the park this morning was so refreshing. 🧘‍♀️,Desktop,,8413.0
59,2025-04-26 03:52:22,"Tokyo, Japan",21,153,-0.04,Neutral,"Sometimes you win, sometimes you learn. 💬",Des ktop,#CoffeeBreak,1873.0
60,2025-04-26 06:22:25,,126,40,-0.67,Negative,Made a vision board today. Feeling super motivated!,Desktop,#Fitness,9506.0
61,2025-04-26 04:07:01,"Toronto, Canada",13,11,-0.51,Negative,Sunsets are proof that endings can be beautiful too. 🌇,,#MorningVibes,4481.0
62,2025-04-26 00:31:37,"Tokyo, Japan",396,24,0.74,Positive,Just got my promotion!! 🎉 Hard work pays off.,Tablet ,#Traffic,5851.0
63,2025-04-26 00:06:40,"Tokyo, Japan",121,146,0.95,Positive,"Some days are tough, but we keep moving forward. 🙌",Desktop,#Rain,2424.0
64,2025-04-26 13:29:20,"New York, USA",355,172,-0.64,Negative,Huge thanks to everyone who made today unforgettable!,,#CoffeeBreak,6263.0
65,2025-04-26 07:38:34,"Berlin, Germany",118,52,0.32,Positive,Miss traveling so much. Dreaming of new adventures.,Tablet,#Traffic,5205.0
66,2025-04-26 13:08:10,"Paris, France",306,43,0.11,Neutral,Overthinking everything... need to chill. 🧘,Desktop,#MorningVibes,2649.0
67,2025-04-26 02:51:56,"New York, USA",401,149,-0.34,Negative,Couldn't resist buying new plants today. 🌱,Desktop,#Fitness,7359.0
68,2025-04-26 12:03:00,"Toronto, Canada",311,104,-0.01,Neutral,"Self-care Sunday: face masks, tea, and zero responsibilities.",Des ktop,#WorkLife,4575.0
69,2025-04-26 03:55:27,,411,34,-0.56,Negative,Is it Friday yet? Need the weekend desperately. 😩,MOBILE,#WorkLife,1916.0
70,2025-04-26 05:09:22,"Berlin, Germany",437,190,-0.59,Negative,Feeling super productive today! Crushing my to-do list.,Tablet ,#MorningVibes,3712.0
71,2025-04-26 07:11:43,"New York, USA",390,75,-0.65,Negative,Can't believe how beautiful the sunrise was today! 🌅,mobile,#Fitness,3560.0
72,2025-04-26 13:58:09,"Tokyo, Japan",212,158,-0.17,Neutral,This weather makes me so happy! ☀️,Tablet ,#Fitness,5475.0
73,2025-04-26 02:11:03,"New York, USA",23,147,0.26,Neutral,"Self-care Sunday: face masks, tea, and zero responsibilities.",Desktop,#Foodie,2216.0
74,2025-04-26 06:55:17,,219,107,0.54,Positive,Celebrating small wins today. They matter too. 🎯,mobile,,9254.0
75,2025-04-26 15:10:14,"Paris, France",443,151,0.09,Neutral,Rainy days make me want to stay in bed all day. ☔,Desktop,#MorningVibes,7247.0
76,2025-04-26 00:20:28,"Berlin, Germany",434,95,0.18,Neutral,Rainy days make me want to stay in bed all day. ☔,MOBILE,,7133.0
77,2025-04-26 10:26:18,"Toronto, Canada",249,116,-0.21,Neutral,Celebrating small wins today. They matter too. 🎯,Desktop,#Fitness,1987.0
78,2025-04-26 07:22:24,"New York, USA",227,65,0.2,Neutral,Finally booked my vacation! Counting down the days. ✈️,Tablet,,7638.0
79,2025-04-26 15:08:47,"Paris, France",419,5,0.31,Positive,Huge thanks to everyone who made today unforgettable!,Desktop,#Rain,4086.0
80,2025-04-26 07:55:52,"Toronto, Canada",242,114,-0.43,Negative,Feeling super productive today! Crushing my to-do list.,Desktop,#WorkLife,5183.0
81,2025-04-26 13:34:37,"Paris, France",124,11,-0.23,Neutral,Feeling grateful for the little things today. 🌼,MOBILE,#Foodie,1351.0
82,2025-04-26 09:17:35,"London, UK",17,39,0.67,Positive,Feeling super productive today! Crushing my to-do list.,,#CoffeeBreak,5824.0
83,2025-04-26 06:23:29,"Tokyo, Japan",224,98,0.55,Positive,Any Netflix recommendations for tonight? 📺,Desktop,#Foodie,4293.0
84,2025-04-26 03:35:28,"Tokyo, Japan",99,86,0.27,Neutral,When did it get so cold?! 🥶 Time for sweaters!,Tablet,,1334.0
85,2025-04-26 03:13:29,"Berlin, Germany",13,77,0.03,Neutral,Catching up with old friends always feels like no time passed.,Des ktop,,9348.0
86,2025-04-26 11:42:19,"Paris, France",292,68,-0.86,Negative,Just finished my first marathon! 🏃‍♂️🏅,MOBILE,#Foodie,7305.0
87,2025-04-26 01:14:35,"Berlin, Germany",40,61,-0.81,Negative,Late night thoughts: How amazing is the universe?,Tablet ,#Fitness,9789.0
88,2025-04-26 01:01:21,"Paris, France",380,110,0.19,Neutral,Best pizza I've ever had. Hands down. 🍕,Desktop,#Fitness,7665.0
89,2025-04-26 08:13:36,"New York, USA",230,83,0.19,Neutral,Best workout session ever! Feeling strong. 💪 #Fitness,MOBILE,#Fitness,1357.0
90,2025-04-26 11:44:08,"London, UK",325,144,-0.22,Neutral,Nature walks clear my mind like nothing else.,,#WorkLife,7681.0
91,2025-04-26 10:33:52,,27,65,0.72,Positive,Proud of myself for stepping out of my comfort zone today.,Mobile,#TuesdayFeeling,9466.0
92,2025-04-26 11:51:58,"São Paulo, Brazil",260,192,0.55,Positive,Finally booked my vacation! Counting down the days. ✈️,Des ktop,,2571.0
93,2025-04-26 17:26:05,"New York, USA",439,163,0.94,Positive,Late night thoughts: How amazing is the universe?,Desktop,#Traffic,1481.0
94,2025-04-26 09:11:06,"Tokyo, Japan",302,30,-0.53,Negative,Stuck in traffic again... seriously?! 🚗🚦,mobile,#TuesdayFeeling,7299.0
95,2025-04-26 09:32:25,,194,117,-0.66,Negative,Nature walks clear my mind like nothing else.,Tablet,#Traffic,6208.0
