user_id,temperature_out,humidity_out,avg_daily_usage,has_solar,home_size,day_of_week,month,work_from_home_days,region,energy_contract,num_children,device_count,energy_consumption,high_usage_flag
user_468,24.9,38.2,7.7,1,150.4,Wed,Oct,1,south,fixed,0,6,18.41,0
user_337,17.4,69.2,7.1,0,144.1,Fri,Jul,2,south,variable,1,4,20.16,0
user_319,28.6,84.8,7.4,0,94.2,Thu,Jun,5,west,variable,0,5,18.64,0
user_151,20.0,66.3,2.0,0,81.2,Sun,Jun,1,south,green,0,2,10.4,0
user_321,19.5,21.3,3.3,0,115.0,Sun,Nov,2,south,variable,1,2,19.65,0
user_140,19.5,40.3,2.3,1,162.2,Tue,Feb,6,south,fixed,0,8,17.22,0
user_492,30.2,44.9,2.7,1,92.0,Thu,May,3,south,green,1,5,13.72,0
user_419,16.4,21.5,2.3,0,50.0,Sat,Jun,4,west,fixed,0,6,16.92,0
user_404,18.8,68.3,7.7,1,159.4,Tue,Jun,3,north,variable,0,8,21.7,0
user_450,16.5,36.3,6.0,0,119.1,Thu,Nov,6,south,variable,2,8,29.08,1
user_137,15.9,43.2,4.7,0,93.2,Fri,Jul,7,east,variable,0,6,24.43,0
user_124,18.5,61.2,4.2,0,89.5,Fri,Mar,1,west,variable,0,1,19.42,0
user_403,26.2,54.7,4.6,1,151.9,Sat,Nov,3,east,fixed,2,6,12.55,0
user_422,23.0,20.8,4.8,0,108.3,Wed,Oct,7,west,variable,1,6,24.91,0
user_473,24.5,31.8,7.6,0,99.6,Sat,Dec,7,north,variable,0,7,25.79,0
user_184,23.9,74.3,5.7,0,98.1,Wed,Nov,3,north,variable,1,6,17.86,0
user_397,26.7,47.2,6.5,0,161.5,Tue,Sep,1,south,variable,1,7,17.96,0
user_188,22.2,77.7,4.1,0,161.2,Fri,May,1,west,fixed,0,7,26.57,1
user_97,9.9,58.9,4.0,1,113.9,Sat,Mar,7,west,variable,0,9,56.74,1
user_47,14.6,52.6,1.4,0,101.3,Tue,Mar,0,south,variable,4,6,15.86,0
user_401,27.0,21.6,3.7,0,167.1,Thu,Feb,3,south,green,1,4,15.53,0
user_281,28.7,29.1,5.4,1,115.5,Wed,Oct,7,north,green,0,6,22.44,0
user_296,23.7,29.3,1.5,0,127.4,Mon,Apr,6,east,variable,1,6,23.49,0
user_285,26.4,20.6,6.4,0,160.3,Mon,Nov,6,south,green,0,7,26.95,1
user_196,20.0,66.8,6.0,1,94.2,Sat,Jul,7,south,variable,0,5,20.88,0
user_343,15.0,21.8,7.9,1,111.5,Mon,Feb,5,south,variable,2,9,27.08,1
user_262,17.8,22.5,2.0,0,133.9,Wed,Mar,7,west,fixed,1,8,17.52,0
user_106,24.2,63.8,5.5,0,142.9,Wed,Jul,1,west,fixed,0,3,12.8,0
user_232,26.2,70.1,3.4,0,100.8,Fri,Apr,1,west,green,2,4,15.22,0
user_328,20.6,37.7,7.7,0,123.7,Wed,Sep,6,south,green,1,7,29.79,1
user_489,18.7,38.5,3.4,0,126.6,Thu,Oct,6,east,fixed,0,9,24.19,0
user_384,23.8,51.6,3.7,1,208.0,Tue,Dec,7,north,green,2,10,23.61,0
user_237,25.7,63.3,7.6,1,116.1,Tue,Oct,4,north,green,0,5,14.7,0
user_275,8.8,52.5,4.3,0,107.7,Tue,Oct,4,north,green,0,5,21.81,0
user_147,6.3,37.1,6.6,0,66.9,Fri,Dec,7,east,green,1,8,36.93,1
user_259,39.5,55.7,1.6,0,109.4,Thu,Jan,1,north,green,0,6,14.8,0
user_149,26.5,47.7,5.0,0,120.0,Thu,Jan,5,south,fixed,0,5,25.16,0
user_218,26.1,69.9,1.3,0,90.1,Fri,May,5,north,variable,0,4,16.88,0
user_356,23.2,53.8,3.1,0,124.5,Sun,Dec,7,north,variable,2,10,32.88,1
user_399,13.2,29.8,7.8,0,95.9,Fri,Dec,4,north,variable,1,7,29.8,1
user_165,29.4,83.6,1.8,0,91.9,Sat,Apr,6,north,fixed,1,5,20.69,0
user_412,25.3,84.4,6.9,1,70.1,Sun,Oct,5,north,fixed,1,5,19.15,0
user_393,18.9,73.8,4.8,0,114.6,Mon,Mar,4,east,variable,3,6,27.95,1
user_139,23.7,69.2,4.3,0,83.2,Tue,Aug,5,east,fixed,1,7,28.82,1
user_28,24.8,54.6,1.7,0,71.5,Thu,Nov,2,east,green,0,1,5.0,0
user_435,22.1,30.2,4.7,0,139.1,Mon,Aug,0,west,variable,1,5,18.14,0
user_73,32.8,41.3,6.1,0,123.9,Fri,Aug,1,south,variable,1,6,20.2,0
user_143,35.9,27.5,7.0,0,145.8,Mon,Feb,5,south,variable,1,8,31.96,1
user_490,23.7,35.3,3.8,0,165.3,Mon,Oct,7,east,green,0,12,29.99,1
user_179,25.0,69.0,3.7,0,136.8,Thu,Jun,7,east,fixed,0,5,24.19,0
user_285,30.9,25.0,3.4,0,171.1,Thu,May,1,west,variable,0,6,16.68,0
user_464,23.6,65.1,1.6,0,87.7,Thu,Mar,2,south,variable,1,5,13.71,0
user_17,26.1,57.2,7.9,1,146.0,Wed,Oct,2,east,green,0,7,20.45,0
user_454,25.9,70.9,3.6,0,86.3,Fri,Apr,3,south,fixed,1,2,15.49,0
user_174,29.5,48.5,1.2,0,96.6,Fri,Sep,3,east,green,3,7,22.95,0
user_312,20.6,62.2,5.7,0,132.4,Thu,Jun,5,west,green,0,7,22.21,0
user_259,24.2,54.7,2.2,0,102.4,Tue,May,7,west,fixed,0,8,25.07,0
user_423,25.2,27.9,1.4,1,150.7,Sun,May,5,west,variable,1,10,10.15,0
user_32,35.2,39.8,5.5,0,101.7,Wed,Aug,4,east,variable,1,6,21.98,0
user_69,27.2,48.0,5.8,0,90.4,Sat,Sep,3,west,variable,2,4,24.17,0
user_104,23.1,26.9,5.9,1,109.4,Tue,Mar,4,east,variable,1,6,13.3,0
user_213,16.7,40.3,3.8,1,96.9,Tue,Apr,3,west,fixed,1,3,15.92,0
user_483,25.8,27.1,7.4,0,158.8,Tue,Jun,2,east,green,0,7,24.4,0
user_168,23.3,27.5,2.4,0,91.1,Sun,Dec,0,north,fixed,0,6,11.69,0
user_385,23.6,81.6,3.4,0,140.7,Sun,Aug,6,east,green,0,6,19.71,0
user_362,14.8,44.9,3.5,0,67.0,Tue,Nov,3,west,fixed,0,2,11.38,0
user_210,30.8,79.9,7.2,1,129.6,Wed,Jun,7,south,green,2,10,36.03,1
user_100,26.8,28.6,6.8,0,119.0,Sat,Mar,6,east,green,1,9,28.5,1
user_428,22.7,51.7,6.0,0,90.4,Sat,Aug,1,east,fixed,0,4,22.35,0
user_422,33.1,74.4,2.7,0,130.6,Sat,Jan,2,north,variable,3,8,21.18,0
user_324,32.8,60.8,1.2,1,107.2,Mon,Dec,6,west,fixed,1,8,17.37,0
user_500,39.6,82.6,3.5,0,157.7,Wed,Oct,4,north,green,1,7,24.25,0
user_5,16.9,28.5,3.2,0,152.4,Fri,Dec,1,north,green,0,6,16.07,0
user_295,19.8,37.8,7.9,0,102.2,Sat,Jul,1,east,fixed,0,4,18.16,0
user_369,24.1,69.9,5.8,0,107.0,Fri,Sep,2,north,variable,1,3,25.14,0
user_175,23.1,73.3,5.4,0,169.9,Mon,Aug,3,east,green,0,4,23.14,0
user_251,30.4,48.8,6.1,0,60.5,Mon,Feb,0,south,variable,2,3,7.66,0
user_380,26.0,79.9,6.2,1,134.5,Fri,Feb,0,south,variable,3,4,15.09,0
user_173,18.7,31.6,5.1,0,153.5,Tue,Dec,5,north,fixed,2,7,36.11,1
user_271,21.0,26.4,6.1,0,121.3,Mon,Aug,7,west,variable,2,6,25.14,0
user_159,17.6,73.0,5.4,0,116.6,Fri,Jun,6,north,fixed,2,15,35.31,1
user_86,16.6,52.9,5.0,1,102.4,Sat,Jan,4,west,variable,0,4,12.87,0
user_386,26.4,51.0,6.1,0,120.0,Tue,Oct,4,west,variable,2,7,23.55,0
user_12,17.3,75.7,4.1,0,161.4,Sun,Jun,5,west,green,0,6,16.51,0
user_30,18.1,78.5,6.6,1,121.2,Sun,Oct,0,east,variable,0,2,16.06,0
user_195,9.5,81.3,3.1,0,99.5,Mon,Apr,0,west,variable,3,5,22.78,0
user_81,25.1,56.2,5.9,0,80.3,Sun,Oct,0,north,green,1,1,11.93,0
user_49,18.6,59.0,7.8,0,95.4,Fri,Apr,6,north,variable,1,10,33.21,1
user_18,17.1,20.9,6.1,0,66.7,Fri,May,2,south,variable,2,1,14.34,0
user_350,22.0,31.7,6.3,0,81.0,Sat,Oct,1,east,variable,3,1,16.52,0
user_75,20.9,22.0,4.5,1,150.8,Sun,Nov,1,west,green,2,9,15.66,0
user_461,19.5,49.1,4.9,0,127.5,Mon,Sep,5,west,variable,0,6,23.57,0
user_428,18.2,52.5,2.8,0,170.9,Sun,May,7,east,fixed,0,10,35.57,1
user_460,21.2,47.1,3.1,0,145.8,Wed,Aug,6,north,variable,0,11,27.72,1
user_380,20.9,46.5,7.3,0,163.9,Sun,Jul,6,west,fixed,0,8,66.16,1
user_458,21.9,81.4,4.7,0,94.5,Sat,Apr,1,west,fixed,0,3,9.83,0
user_442,25.3,30.4,5.3,0,110.4,Fri,Jul,5,west,variable,3,7,27.22,1
user_405,7.1,78.5,1.9,1,116.3,Sat,Oct,4,west,variable,0,7,17.05,0
user_11,21.4,30.7,5.3,1,119.7,Wed,Sep,4,south,fixed,1,7,14.06,0
user_84,24.4,70.6,5.4,1,57.0,Thu,Sep,6,south,fixed,1,7,14.5,0
user_278,26.2,47.0,6.1,0,50.0,Sun,Apr,1,east,fixed,0,1,11.57,0
user_149,28.0,31.7,6.7,1,126.0,Mon,Apr,2,east,fixed,0,4,22.04,0
user_417,30.0,27.4,1.5,0,120.8,Sun,Nov,3,south,fixed,1,5,20.91,0
user_217,12.3,23.9,7.1,0,151.0,Thu,Mar,7,south,variable,0,11,37.99,1
user_173,38.2,32.7,6.2,0,103.6,Tue,Aug,4,south,variable,1,7,31.1,1
user_422,28.5,74.2,5.0,0,99.0,Thu,Jan,5,north,variable,1,5,24.03,0
user_89,20.0,84.5,2.3,0,135.0,Sun,Nov,7,north,fixed,0,10,31.14,1
user_72,27.7,60.5,7.4,0,120.7,Sun,Nov,6,south,fixed,0,4,31.4,1
user_173,26.6,37.7,4.2,0,98.6,Wed,Jul,1,south,variable,0,5,18.67,0
user_173,26.2,57.5,2.1,1,73.0,Tue,Apr,0,east,green,1,2,5.0,0
user_145,19.2,51.5,7.0,0,154.0,Wed,Mar,1,east,green,0,1,15.56,0
user_305,27.0,87.6,5.8,0,112.0,Mon,Sep,7,west,variable,2,10,27.05,1
user_360,26.2,41.9,7.3,0,122.0,Sat,May,3,west,green,2,9,25.77,0
user_445,28.9,71.8,7.1,0,127.5,Fri,May,1,west,green,1,5,23.04,0
user_229,23.8,60.8,6.0,0,123.0,Mon,Jan,2,north,fixed,0,7,29.35,1
user_77,29.0,70.7,7.0,0,104.0,Fri,Aug,4,east,variable,2,9,30.82,1
user_317,19.0,39.2,4.7,0,135.4,Tue,Apr,7,west,fixed,0,9,20.67,0
user_1,21.8,75.8,3.8,1,108.9,Mon,Nov,0,north,fixed,1,7,12.98,0
user_288,14.8,76.1,3.0,0,137.0,Wed,Apr,7,north,fixed,1,11,25.63,0
user_298,18.2,68.1,4.3,0,128.2,Tue,Jan,3,south,variable,1,7,27.0,1
user_224,32.5,60.2,2.4,0,78.1,Thu,Nov,3,south,variable,1,4,14.4,0
user_126,13.0,82.8,5.0,0,105.0,Fri,Jul,2,south,fixed,1,6,25.38,0
user_157,26.3,30.8,3.2,0,172.2,Sun,Feb,5,east,variable,0,10,30.2,1
user_277,25.1,50.0,5.1,0,103.1,Wed,Apr,3,west,variable,0,5,17.88,0
user_280,23.6,86.1,2.4,0,137.8,Wed,Sep,1,south,green,0,7,15.16,0
user_273,21.8,67.1,3.6,0,82.8,Tue,Jan,0,south,fixed,1,3,5.0,0
user_128,21.0,73.6,1.9,1,146.2,Wed,Jan,7,north,fixed,0,13,24.46,0
user_316,19.1,23.1,2.9,0,161.2,Sat,Jan,1,west,green,0,4,31.73,1
user_285,20.5,44.9,2.1,1,146.9,Tue,Jan,1,east,fixed,2,6,10.93,0
user_258,23.5,80.5,5.0,1,111.6,Sun,May,0,west,fixed,0,5,22.9,0
user_391,17.4,39.9,3.4,0,134.5,Sun,Jul,7,north,fixed,3,9,26.13,0
user_76,17.3,52.8,3.0,0,115.3,Thu,Sep,6,south,variable,0,6,27.48,1
user_121,25.1,53.7,3.4,1,140.9,Wed,Dec,6,north,variable,0,7,15.61,0
user_30,20.0,33.1,7.5,0,116.2,Wed,Dec,5,south,fixed,1,7,23.13,0
user_51,16.9,37.6,3.3,0,110.7,Mon,Jul,5,north,variable,0,5,17.94,0
user_253,11.2,42.0,1.2,1,154.6,Mon,May,0,west,variable,2,5,14.67,0
user_447,30.4,31.8,4.6,1,110.9,Sat,Dec,1,east,green,1,5,10.23,0
user_303,24.9,89.5,7.2,0,132.5,Mon,Oct,7,west,variable,3,7,35.94,1
user_437,22.9,72.4,6.3,0,102.3,Thu,Sep,0,north,green,0,4,17.71,0
user_286,19.1,41.9,6.0,0,188.4,Thu,May,1,south,variable,3,9,25.41,0
user_321,20.1,27.3,4.0,0,88.2,Wed,Oct,0,west,fixed,1,6,12.13,0
user_63,11.9,37.4,4.7,0,101.6,Sat,Jan,1,west,fixed,1,5,13.7,0
user_45,20.0,80.9,2.5,1,182.2,Tue,Dec,7,north,variable,1,8,13.26,0
user_110,26.3,84.9,5.0,0,128.5,Mon,Jan,5,south,fixed,2,3,19.1,0
user_393,24.7,52.9,4.5,1,119.2,Tue,Jan,5,north,fixed,1,7,14.98,0
user_66,25.5,63.7,4.0,0,150.8,Sat,Dec,3,south,variable,4,8,28.25,1
user_138,29.9,30.7,7.2,0,95.9,Sat,Aug,3,south,fixed,0,1,45.52,1
user_50,18.7,82.1,6.2,0,154.2,Sat,Dec,1,north,variable,1,4,48.61,1
user_60,24.3,27.4,2.5,1,50.0,Fri,Aug,1,north,fixed,1,4,6.13,0
user_96,22.0,76.8,2.7,0,86.0,Sat,Sep,3,north,fixed,0,7,21.78,0
user_450,17.0,55.6,4.5,0,82.5,Sun,Mar,0,north,green,2,5,18.5,0
user_465,24.0,44.5,2.0,0,120.5,Sun,Jan,3,north,green,3,4,15.9,0
user_188,20.6,77.0,4.4,1,147.8,Thu,Jan,5,north,green,1,10,22.6,0
user_303,22.5,34.5,2.6,0,121.8,Sat,Apr,4,east,green,1,5,17.51,0
user_145,33.0,25.9,7.5,0,129.4,Wed,May,4,east,fixed,2,7,30.96,1
user_401,21.7,80.9,6.3,0,141.8,Fri,Apr,3,north,variable,2,1,21.25,0
user_349,17.1,34.6,7.2,0,94.3,Thu,Apr,0,south,fixed,2,5,18.61,0
user_258,34.6,64.9,4.9,0,130.1,Sun,Aug,5,north,green,0,10,23.43,0
user_285,24.2,49.9,7.3,0,172.9,Thu,Jun,0,east,variable,0,10,31.72,1
user_380,31.2,24.5,4.7,1,106.1,Sun,Feb,3,north,fixed,1,3,24.95,0
user_161,31.5,58.7,4.4,0,115.4,Sun,Mar,2,north,variable,1,7,29.78,1
user_256,25.8,74.7,2.1,0,156.9,Mon,Mar,1,east,variable,0,7,22.34,0
user_225,23.0,37.5,4.1,1,135.6,Sun,Nov,6,west,variable,1,9,21.48,0
user_241,19.1,51.4,7.5,0,97.9,Fri,Feb,4,north,fixed,1,5,24.4,0
user_399,16.2,62.9,3.7,1,104.0,Mon,Mar,4,south,fixed,1,6,15.45,0
user_55,15.5,48.1,4.6,0,102.0,Wed,Dec,7,south,fixed,2,9,28.03,1
user_393,24.7,83.7,6.0,0,92.9,Mon,Jul,6,south,fixed,0,7,27.01,1
user_272,22.1,73.2,2.9,1,109.4,Sun,Mar,1,north,variable,0,4,5.0,0
user_158,15.9,53.5,6.0,0,130.6,Fri,Nov,7,north,variable,2,9,30.44,1
user_249,13.4,75.8,4.2,0,102.8,Fri,Jul,1,north,fixed,0,2,16.4,0
user_391,16.1,65.3,4.3,0,89.2,Tue,May,6,east,fixed,1,4,19.69,0
user_47,15.4,65.2,2.8,1,109.8,Sat,Feb,4,north,green,1,9,12.02,0
user_350,29.6,24.9,4.8,0,113.1,Thu,Apr,5,north,fixed,2,8,25.52,0
user_81,26.0,40.7,7.0,1,111.8,Tue,May,5,south,fixed,0,12,29.71,1
user_225,15.2,79.6,5.1,1,98.3,Wed,Aug,0,south,green,1,8,16.86,0
user_326,12.9,53.3,1.7,0,105.4,Mon,Feb,4,west,green,1,8,23.37,0
user_476,23.6,42.5,3.0,1,144.0,Sun,Oct,3,south,variable,2,7,11.18,0
user_107,22.0,37.8,6.7,0,80.8,Sat,Aug,3,north,fixed,0,1,22.1,0
user_247,24.8,50.3,4.8,0,170.5,Fri,May,2,east,fixed,2,8,29.59,1
user_170,28.7,43.4,7.1,1,117.5,Mon,Mar,0,south,green,1,2,9.9,0
user_76,25.1,30.6,1.9,0,61.2,Tue,Jun,2,north,variable,0,1,10.26,0
user_75,23.8,73.1,5.1,0,160.7,Fri,Dec,5,west,variable,0,6,25.87,0
user_160,20.7,26.7,5.0,0,152.9,Thu,Feb,6,east,fixed,2,11,38.66,1
user_63,24.2,60.8,1.4,0,94.0,Fri,Mar,4,north,green,3,6,18.86,0
user_180,22.2,55.9,5.1,0,170.5,Tue,Feb,0,south,variable,1,8,13.64,0
user_165,30.3,37.0,4.9,0,81.1,Fri,Nov,0,south,fixed,0,3,18.88,0
user_170,29.3,54.4,4.7,0,50.0,Thu,Aug,7,north,fixed,3,7,33.4,1
user_227,31.3,31.8,4.1,1,112.2,Thu,Jun,5,south,green,0,8,10.29,0
user_359,20.7,62.7,6.9,0,120.8,Thu,Oct,5,south,green,0,9,26.89,1
user_489,9.5,43.7,5.7,1,140.0,Fri,Jan,4,west,fixed,1,8,35.33,1
user_490,22.1,79.0,2.4,0,149.7,Sat,Feb,5,south,fixed,0,11,23.42,0
user_72,8.5,57.8,6.3,0,160.3,Tue,Jan,1,north,green,1,9,33.99,1
user_302,17.4,62.3,1.5,1,107.8,Sat,May,7,east,fixed,0,9,19.4,0
user_183,29.7,58.3,4.0,0,130.9,Sat,May,5,east,fixed,0,9,21.64,0
user_17,23.3,50.1,2.3,0,149.7,Fri,Apr,0,east,fixed,1,3,17.56,0
user_16,31.8,85.3,2.6,0,104.0,Wed,Apr,4,east,variable,2,5,16.32,0
user_64,22.9,61.8,2.8,0,147.6,Mon,Nov,1,west,variable,0,7,21.22,0
user_369,25.0,56.5,4.0,1,156.1,Mon,Sep,2,south,variable,0,4,11.87,0
user_130,25.1,81.1,5.6,0,151.2,Mon,Oct,2,north,variable,2,9,28.7,1
user_35,34.3,49.5,1.3,0,139.7,Sun,Mar,4,north,fixed,3,8,31.53,1
user_394,15.1,50.8,6.8,0,121.7,Fri,Feb,1,north,green,1,7,21.83,0
user_284,17.0,24.3,4.8,0,138.9,Wed,Sep,0,south,variable,0,2,8.69,0
user_122,39.6,72.6,5.4,1,100.8,Fri,Aug,6,west,fixed,1,6,23.54,0
user_39,25.8,82.2,5.9,0,143.7,Tue,Sep,6,east,fixed,1,8,33.48,1
user_444,19.6,45.1,2.5,0,163.4,Mon,Oct,1,west,variable,3,9,21.68,0
user_126,22.9,33.4,5.5,0,132.7,Sun,Apr,7,south,fixed,1,9,26.41,1
user_411,19.8,75.2,7.2,0,138.5,Wed,Oct,6,north,fixed,1,7,33.11,1
user_453,19.8,72.8,2.7,1,113.7,Sun,Apr,0,east,variable,1,3,9.86,0
user_151,27.7,89.2,3.3,1,124.1,Wed,Jun,6,north,fixed,1,8,17.59,0
user_84,6.9,50.4,6.4,0,155.1,Tue,Oct,2,north,fixed,1,6,34.26,1
user_395,18.5,83.7,4.2,1,129.0,Wed,May,5,west,variable,1,10,19.04,0
user_328,15.2,79.5,4.9,0,85.0,Wed,Jul,3,east,fixed,3,4,19.96,0
user_154,23.1,36.2,1.5,0,95.1,Mon,May,3,west,green,1,3,13.26,0
user_188,38.0,25.1,2.1,1,103.0,Wed,Aug,6,south,variable,1,6,24.57,0
user_216,21.4,39.6,2.6,1,107.1,Mon,Oct,2,south,variable,0,4,13.85,0
user_83,28.6,33.3,1.4,0,92.0,Sat,Oct,2,north,variable,2,8,17.13,0
user_148,28.0,62.8,3.3,0,117.6,Sun,Nov,6,north,variable,1,6,27.17,1
user_334,23.2,83.8,7.9,1,121.4,Sun,Jun,2,west,green,0,3,17.43,0
user_343,8.8,62.0,3.7,1,147.4,Mon,May,6,west,green,1,5,13.44,0
user_127,22.3,83.8,3.1,0,155.4,Sun,May,5,east,fixed,1,9,29.66,1
user_144,28.2,63.2,7.0,1,79.3,Sat,Jun,2,east,fixed,3,9,23.7,0
user_375,26.5,88.6,6.6,0,133.8,Wed,Jun,3,north,fixed,0,6,26.23,0
user_427,9.7,52.5,5.8,0,114.8,Wed,Feb,7,north,variable,3,5,33.73,1
user_423,5.8,62.6,2.4,1,50.0,Thu,Feb,1,east,fixed,0,1,14.07,0
user_25,14.9,21.8,3.1,1,109.2,Tue,Nov,5,north,green,0,5,12.47,0
user_233,20.8,74.4,7.6,0,152.3,Fri,Apr,6,east,fixed,2,6,36.13,1
user_288,30.7,53.2,2.4,1,121.3,Tue,Aug,1,south,fixed,0,4,5.0,0
user_352,21.4,50.9,6.6,1,159.8,Sun,Jan,4,south,green,1,10,22.3,0
user_370,19.4,87.4,1.3,0,109.1,Thu,Nov,2,west,variable,0,3,13.75,0
user_102,19.7,56.1,1.1,0,120.8,Sat,Feb,7,south,fixed,0,8,19.09,0
user_169,22.9,38.0,4.7,1,114.4,Wed,Dec,0,east,fixed,2,5,10.54,0
user_112,23.2,55.0,2.5,0,126.6,Fri,Jan,6,east,variable,3,8,23.52,0
user_242,13.9,73.8,6.2,0,69.4,Tue,Aug,5,west,variable,1,6,24.73,0
user_423,11.8,33.0,7.5,1,112.0,Mon,Sep,5,north,fixed,1,8,29.81,1
user_487,20.5,78.0,2.9,1,129.5,Fri,Jun,2,north,variable,0,7,8.08,0
user_20,28.1,54.3,6.2,1,78.9,Sat,Feb,2,west,green,1,7,12.53,0
user_5,21.7,72.2,4.0,0,142.7,Tue,Sep,2,south,fixed,0,10,20.16,0
user_229,15.5,82.2,2.7,0,141.3,Mon,Apr,7,west,green,0,6,25.23,0
user_359,21.5,40.4,4.3,0,123.0,Fri,Aug,7,east,fixed,1,7,22.6,0
user_439,16.6,67.6,6.4,1,89.8,Tue,Dec,7,east,green,1,3,20.28,0
user_306,26.7,51.0,1.3,1,120.0,Mon,Mar,4,east,green,1,7,12.66,0
user_96,20.8,69.4,5.5,0,97.0,Thu,Jan,4,north,variable,0,6,24.32,0
user_401,23.0,76.8,2.2,0,131.9,Thu,Jul,1,east,fixed,0,9,18.22,0
user_489,24.5,68.1,4.7,1,165.7,Sat,Dec,2,north,green,1,7,10.8,0
user_349,21.1,44.4,3.5,0,72.3,Sun,Dec,0,north,variable,0,1,5.0,0
user_344,18.5,56.4,1.3,0,122.2,Wed,Dec,7,south,green,1,5,16.36,0
user_98,25.5,65.3,6.9,0,132.0,Tue,Dec,2,north,green,1,9,27.43,1
user_101,18.6,78.0,4.1,0,87.1,Thu,Sep,2,south,fixed,0,6,26.29,0
user_424,20.1,53.4,6.9,0,121.8,Sun,Sep,1,north,variable,2,5,22.35,0
user_21,29.3,74.5,1.4,0,127.9,Sat,Oct,1,west,variable,0,5,9.29,0
user_256,23.9,50.8,6.3,0,86.6,Wed,Nov,1,east,green,0,4,12.88,0
user_421,22.0,89.0,5.5,1,163.5,Fri,Jul,5,east,fixed,0,3,22.18,0
user_428,27.2,65.3,6.1,0,161.5,Mon,May,4,south,green,0,5,20.06,0
user_313,29.8,49.9,4.2,1,109.9,Thu,Feb,1,south,variable,1,6,18.88,0
