report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1126,2024-12-21 09:02:54.241405,Tech District,vandalism,32.2,1,3,10.0,1,0,3.8,3.91,1000,9
RPT-1127,2023-05-31 14:55:57.052847,Uptown,lighting,13.3,0,2,6.9,0,0,4.6,0.94,549,14
RPT-1128,2024-08-11 09:03:58.494810,Riverside,noise,8.6,1,1,4.9,1,0,2.9,2.97,512,9
RPT-1129,2023-06-07 00:05:25.828704,Tech District,vandalism,25.7,0,2,7.3,0,0,2.3,0.0,622,0
RPT-1130,2024-11-18 18:48:29.988051,Tech District,noise,7.4,0,1,4.6,0,0,3.4,2.9,367,18
RPT-1131,2024-07-30 21:53:35.329386,Downtown,noise,1.5,0,3,4.3,0,0,2.6,2.51,309,21
RPT-1132,2023-04-29 16:00:08.070024,Downtown,noise,2.0,0,3,3.6,1,0,5.0,4.85,290,16
RPT-1133,2023-11-18 19:55:36.109965,Downtown,pothole,46.1,0,4,7.2,1,1,5.0,2.6,641,19
RPT-1134,2024-05-04 02:56:27.661278,Uptown,lighting,13.2,0,1,8.3,1,0,3.4,1.94,694,2
RPT-1135,2023-09-26 07:43:36.669964,Tech District,vandalism,39.4,1,3,8.3,0,1,4.0,2.0,874,7
RPT-1136,2023-02-03 07:47:34.645534,Riverside,lighting,15.3,0,3,4.8,0,0,3.0,7.0,378,7
RPT-1137,2024-11-14 03:19:57.104801,Tech District,lighting,17.3,0,3,6.2,0,1,4.3,4.07,433,3
RPT-1138,2023-08-09 11:18:28.795010,Old Town,vandalism,40.1,1,0,10.0,0,1,3.9,3.52,972,11
RPT-1139,2024-02-03 14:01:02.608024,Riverside,lighting,10.0,0,3,5.8,1,0,3.9,4.54,321,14
RPT-1140,2023-02-22 15:08:36.330905,Uptown,vandalism,39.4,1,1,7.4,0,0,2.5,5.32,768,15
RPT-1141,2024-03-29 17:44:44.291801,Downtown,lighting,13.0,0,2,1.9,0,0,4.4,2.48,213,17
RPT-1142,2024-01-19 14:17:23.212329,Uptown,lighting,19.9,1,1,4.9,0,0,4.2,5.45,652,14
RPT-1143,2023-06-12 20:01:14.072916,Downtown,vandalism,35.7,1,3,9.5,0,1,3.1,3.1,925,20
RPT-1144,2023-09-20 14:13:34.709121,Uptown,lighting,11.6,0,12,3.4,0,0,4.3,3.91,265,14
RPT-1145,2023-11-16 20:06:57.913327,Tech District,pothole,51.3,0,3,4.6,0,0,4.7,3.55,335,20
RPT-1146,2023-10-03 10:23:05.131341,Tech District,vandalism,39.2,1,1,9.8,0,0,3.5,7.01,1000,10
RPT-1147,2023-08-03 00:00:14.586545,Old Town,vandalism,24.9,0,1,8.3,0,0,4.6,0.85,697,0
RPT-1148,2024-06-17 13:49:55.712101,Downtown,lighting,8.7,0,6,7.4,0,1,5.0,2.5,609,13
RPT-1149,2023-09-23 18:33:08.652775,Old Town,lighting,16.3,0,3,6.6,1,0,4.7,4.44,559,18
RPT-1150,2024-01-30 00:09:10.525741,Uptown,noise,8.9,0,0,3.6,0,1,4.1,3.03,233,0
RPT-1151,2024-08-02 18:20:51.390373,Riverside,noise,1.0,0,2,1.7,0,0,4.0,0.41,105,18
RPT-1152,2024-09-24 08:44:46.849144,Tech District,vandalism,24.5,0,13,6.9,0,0,4.2,5.25,529,8
RPT-1153,2023-08-26 07:45:44.046652,Old Town,pothole,47.9,0,1,8.2,1,0,2.7,7.66,692,7
RPT-1154,2024-10-22 04:06:43.131227,Tech District,noise,7.0,0,2,4.9,0,0,4.8,3.56,397,4
RPT-1155,2023-02-26 20:45:01.752745,Old Town,noise,4.8,0,0,3.7,1,0,4.6,2.93,248,20
RPT-1156,2024-11-14 14:31:53.153087,Downtown,vandalism,21.4,0,2,6.5,0,1,4.9,0.0,470,14
RPT-1157,2023-01-17 01:22:19.411664,Old Town,noise,7.8,0,1,4.8,0,0,3.4,3.21,317,1
RPT-1158,2024-04-22 00:32:00.767375,Uptown,pothole,46.2,0,3,7.5,0,1,4.4,5.73,606,0
RPT-1159,2024-09-17 03:27:17.791250,Old Town,pothole,70.7,1,4,9.7,0,1,2.5,5.3,960,3
RPT-1160,2024-05-13 01:37:04.932321,Riverside,vandalism,35.2,1,2,10.0,0,0,3.3,5.5,966,1
RPT-1161,2023-08-14 21:51:39.909176,Old Town,vandalism,24.8,0,3,9.0,0,0,4.5,2.63,713,21
RPT-1162,2023-11-24 13:38:36.176049,Downtown,lighting,18.1,1,2,6.8,0,0,4.7,0.0,759,13
RPT-1163,2024-01-29 06:32:12.011859,Tech District,vandalism,24.0,0,12,5.8,0,1,2.7,4.95,519,6
RPT-1164,2023-09-30 19:53:45.235804,Riverside,noise,5.9,0,2,3.2,1,0,3.7,0.97,223,19
RPT-1165,2023-05-07 16:29:24.563001,Old Town,noise,1.3,0,0,2.9,1,0,4.2,1.76,267,16
RPT-1166,2023-05-08 05:53:41.239694,Old Town,vandalism,39.1,1,2,10.0,0,0,4.5,0.58,1000,5
RPT-1167,2023-12-06 13:07:34.019210,Old Town,pothole,73.3,1,1,8.8,0,0,3.6,4.08,857,13
RPT-1168,2023-07-30 02:28:35.529922,Downtown,noise,5.5,0,0,1.9,1,0,5.0,2.39,217,2
RPT-1169,2023-04-17 14:08:58.492140,Riverside,lighting,8.4,0,3,5.1,0,0,4.8,3.15,469,14
RPT-1170,2023-03-10 20:15:52.528986,Tech District,pothole,45.8,0,1,6.3,0,0,4.6,4.16,450,20
RPT-1171,2023-02-20 05:30:31.141887,Uptown,vandalism,33.3,1,1,10.0,0,0,4.1,1.3,919,5
RPT-1172,2023-01-11 01:00:47.941889,Old Town,noise,11.5,0,5,2.3,0,0,3.8,5.33,212,1
RPT-1173,2024-08-10 08:01:12.045143,Downtown,pothole,49.8,0,11,5.2,1,1,3.9,0.93,481,8
RPT-1174,2023-04-30 20:52:42.998197,Uptown,pothole,48.2,0,1,7.3,1,1,5.0,2.4,551,20
RPT-1175,2023-07-26 18:31:42.708744,Uptown,lighting,19.6,1,9,6.1,0,0,3.4,3.11,714,18
RPT-1176,2024-09-01 09:08:38.499401,Riverside,noise,4.8,0,2,4.7,1,1,4.4,1.41,403,9
RPT-1177,2023-11-30 13:36:11.929878,Old Town,pothole,68.2,1,1,8.0,0,1,3.4,1.87,819,13
RPT-1178,2023-02-10 04:43:01.914049,Tech District,lighting,10.9,0,0,3.9,0,0,3.9,3.34,320,4
RPT-1179,2023-08-15 19:51:29.313297,Riverside,noise,5.0,0,18,1.0,0,0,4.9,0.27,68,19
RPT-1180,2024-02-27 03:18:40.861109,Tech District,pothole,44.5,0,3,4.3,0,1,3.7,0.0,316,3
RPT-1181,2024-11-28 15:08:37.726717,Tech District,noise,8.7,1,1,6.0,0,1,4.0,3.24,631,15
RPT-1182,2024-11-19 09:17:57.829265,Riverside,pothole,51.6,0,0,5.8,0,0,3.2,2.92,522,9
RPT-1183,2024-01-06 19:24:34.049994,Riverside,lighting,9.4,0,2,7.2,1,0,4.0,1.66,627,19
RPT-1184,2024-08-26 23:01:55.995841,Riverside,pothole,70.2,1,2,10.0,0,0,3.4,4.84,1000,23
RPT-1185,2023-08-24 15:08:52.626123,Tech District,lighting,21.6,1,3,5.2,0,1,3.6,3.18,702,15
RPT-1186,2024-09-14 12:29:19.463414,Uptown,pothole,71.3,1,6,8.1,1,0,3.2,3.37,780,12
RPT-1187,2024-08-25 11:24:14.809941,Old Town,vandalism,33.1,1,3,10.0,1,0,4.1,4.99,962,11
RPT-1188,2023-09-11 06:22:24.494804,Downtown,lighting,7.7,0,1,7.3,0,0,5.0,4.11,606,6
RPT-1189,2024-10-11 17:02:37.064180,Old Town,pothole,54.5,0,0,8.2,0,0,5.0,4.49,685,17
RPT-1190,2024-10-07 08:37:39.265738,Downtown,lighting,9.4,0,2,5.5,0,0,3.4,0.0,542,8
RPT-1191,2023-04-01 01:51:47.490742,Tech District,vandalism,20.7,0,2,8.3,1,0,4.1,0.32,709,1
RPT-1192,2023-09-07 15:35:01.298569,Downtown,pothole,48.9,0,4,6.4,0,0,4.6,4.47,545,15
RPT-1193,2023-10-13 18:26:40.762540,Old Town,vandalism,39.5,1,1,10.0,0,0,3.0,1.94,1000,18
RPT-1194,2023-07-25 23:55:00.926515,Tech District,noise,8.7,0,16,4.0,0,1,4.7,0.0,357,23
RPT-1195,2024-06-02 11:55:15.801968,Tech District,lighting,13.1,0,2,4.6,1,0,4.2,4.66,321,11
RPT-1196,2024-07-14 00:41:49.537970,Riverside,pothole,51.9,0,7,6.4,1,1,4.8,5.89,486,0
RPT-1197,2024-03-07 18:03:48.168446,Tech District,lighting,8.7,0,2,3.8,0,0,4.7,2.76,324,18
RPT-1198,2023-02-18 23:27:27.777721,Old Town,lighting,9.3,0,3,4.3,1,0,5.0,2.2,355,23
RPT-1199,2023-10-15 05:03:04.612020,Old Town,noise,7.8,0,10,5.7,1,0,3.7,3.36,414,5
RPT-1200,2023-03-16 00:28:14.539366,Uptown,pothole,54.6,0,11,6.6,0,1,5.0,7.01,631,0
RPT-1201,2024-05-15 10:51:40.077297,Tech District,lighting,15.6,0,3,3.8,0,0,4.2,2.66,281,10
RPT-1202,2024-09-02 01:41:08.271449,Downtown,lighting,14.1,0,9,6.4,0,0,3.6,0.0,507,1
RPT-1203,2024-01-31 17:12:35.027031,Riverside,lighting,11.6,0,5,6.8,0,1,4.7,2.55,496,17
RPT-1204,2024-10-13 18:08:22.568026,Downtown,vandalism,34.9,1,2,10.0,1,0,2.4,0.65,973,18
RPT-1205,2024-05-07 12:39:07.209476,Old Town,noise,7.3,0,3,5.5,0,0,4.0,2.26,460,12
RPT-1206,2024-06-08 06:15:01.927433,Downtown,lighting,11.4,0,1,7.1,1,0,4.4,2.24,424,6
RPT-1207,2024-03-03 17:22:50.118284,Downtown,lighting,17.5,1,2,5.5,1,0,3.7,4.53,701,17
RPT-1208,2023-06-26 23:03:56.481534,Old Town,pothole,47.7,0,1,6.7,0,1,4.0,3.73,581,23
RPT-1209,2024-06-30 12:52:47.018510,Uptown,pothole,45.6,0,2,5.2,1,0,4.2,3.2,359,12
RPT-1210,2023-07-07 15:57:50.454768,Tech District,pothole,42.7,0,1,4.5,0,0,4.4,3.17,395,15
RPT-1211,2023-05-05 05:51:26.787178,Old Town,vandalism,24.3,0,0,5.7,0,0,3.8,4.59,393,5
RPT-1212,2024-08-25 00:00:44.669307,Old Town,pothole,48.9,0,3,4.0,1,0,3.6,1.38,330,0
RPT-1213,2024-03-19 02:28:18.838221,Downtown,lighting,15.4,0,1,5.6,0,0,4.8,3.35,429,2
RPT-1214,2024-05-11 15:40:14.258382,Riverside,pothole,45.5,0,2,6.1,1,0,3.8,7.02,576,15
RPT-1215,2024-04-08 07:44:27.206652,Riverside,pothole,44.9,0,1,8.1,0,0,4.2,1.71,645,7
RPT-1216,2024-08-05 13:13:04.181604,Old Town,vandalism,34.1,1,1,10.0,0,1,4.4,1.46,927,13
RPT-1217,2024-02-28 09:36:59.500994,Tech District,vandalism,36.3,1,4,10.0,0,0,3.4,2.64,1000,9
RPT-1218,2023-05-06 06:37:29.025965,Old Town,lighting,12.9,0,4,3.9,1,0,2.7,3.4,330,6
RPT-1219,2024-01-17 21:50:59.736584,Old Town,noise,11.6,1,4,6.7,0,1,2.8,1.71,787,21
RPT-1220,2023-06-21 18:05:15.325284,Riverside,vandalism,35.0,1,2,9.4,0,0,3.3,0.67,915,18
RPT-1221,2023-11-09 17:11:47.578601,Old Town,vandalism,24.6,0,6,6.4,0,0,4.5,2.63,561,17
RPT-1222,2024-09-26 12:15:28.229948,Downtown,lighting,15.6,0,2,8.9,0,0,3.6,4.19,725,12
RPT-1223,2024-08-21 13:22:32.918097,Riverside,noise,5.9,0,2,6.0,0,0,4.1,0.0,449,13
RPT-1224,2023-07-09 19:55:54.804091,Uptown,vandalism,39.9,1,1,10.0,1,0,4.2,4.09,988,19
RPT-1225,2023-12-06 03:56:37.438532,Uptown,noise,3.9,0,1,6.4,0,0,3.9,5.43,588,3
RPT-1226,2023-04-20 16:20:33.230148,Riverside,noise,8.0,0,3,3.4,0,0,3.3,5.38,248,16
RPT-1227,2024-02-29 08:30:29.599960,Uptown,noise,5.6,0,2,3.2,0,1,4.8,5.75,306,8
RPT-1228,2023-11-15 01:38:04.490475,Tech District,noise,1.0,0,1,4.2,0,0,5.0,0.37,372,1
RPT-1229,2023-05-16 18:54:01.423280,Old Town,pothole,50.0,0,3,4.6,0,0,4.3,0.0,254,18
