report_id,timestamp,neighborhood,issue_type,time_to_resolution,required_escalation,num_previous_reports,severity_score,is_weekend,weather_rain,response_team_rating,reporter_experience,issue_complexity,hour_of_day
RPT-1018,2023-05-21 10:29:07.596,old town,vandalism,19.3,0,1,8.1,1,0,3.5,6.1,608.0,10.0
RPT-1019,2024-10-03 06:47:18.595,Old Town,vandalism,35.0,1,4,10.0,0,0,5.0,2.35,989.0,6.0
RPT-1020,2023-04-24 05:57:21.289,Riverside,vandalism,19.7,0,5,9.8,0,0,4.4,4.69,792.0,5.0
RPT-1021,2024-09-16 01:12:48.004,Downtown,vandalism,20.3,0,2,6.5,0,1,4.8,5.32,478.0,1.0
RPT-1022,2023-11-15 15:30:06.438,Riverside,vandalism,38.9,1,2,10.0,0,0,2.4,1.46,1000.0,15.0
RPT-1023,2023-06-26 20:24:48.414,Riverside,pothole,71.3,1,4,8.9,0,0,2.8,0.86,936.0,20.0
RPT-1024,2024-05-27 01:28:54.303,Riverside,lighting,11.3,0,0,6.1,0,0,4.1,4.48,465.0,1.0
RPT-1025,2024-01-10 17:55:03.186,Old Town,lighting,14.3,0,2,5.3,0,0,3.2,3.35,443.0,17.0
RPT-1026,2024-09-05 16:17:33.200,Downtown,noise,4.8,1,2,6.2,0,1,4.3,3.1,739.0,16.0
RPT-1027,2024-04-28 04:45:03.528,Uptown,noise,8.2,0,2,4.8,1,0,4.6,4.03,576.0,4.0
RPT-1028,2024-07-25 12:31:08.012,Old Town,noise,6.7,0,4,5.7,0,0,4.3,1.29,454.0,12.0
RPT-1029,2024-01-11 19:08:21.933,Riverside,pothole,70.4,1,2,8.3,0,1,4.4,3.13,810.0,19.0
RPT-1030,2023-06-18 01:03:16.624,Tech District,lighting,9.9,0,16,6.0,1,0,4.2,1.7,587.0,1.0
RPT-1031,2024-06-12 01:40:11.611,Downtown,noise,6.9,0,3,3.0,0,1,4.9,1.41,234.0,1.0
RPT-1032,2024-04-14 05:39:39.138,Tech District,noise,6.5,0,1,5.3,1,0,3.8,1.69,512.0,5.0
RPT-1033,2023-03-22 05:50:03.522,Tech District,vandalism,25.2,0,16,10.0,0,0,5.0,0.0,775.0,5.0
RPT-1034,2023-02-24 06:05:09.748,Downtown,vandalism,27.8,0,0,6.9,0,0,4.0,6.74,551.0,6.0
RPT-1035,2023-12-27 21:46:52.857,Tech District,vandalism,33.2,1,1,7.0,0,1,2.5,6.09,826.0,21.0
RPT-1036,2023-02-15 06:17:07.970,Tech District,noise,4.6,0,4,3.3,0,0,4.4,1.8,267.0,6.0
RPT-1037,2023-06-23 15:57:11.506,Tech District,noise,3.8,0,3,7.2,0,0,2.6,2.7,605.0,15.0
RPT-1038,2023-11-21 12:21:32.163,Old Town,noise,5.8,0,0,3.1,0,0,4.9,2.07,216.0,12.0
RPT-1039,2024-01-29 02:37:26.767,Downtown,vandalism,34.9,1,11,10.0,0,0,2.9,0.0,938.0,2.0
RPT-1040,2023-10-16 22:31:36.397,Uptown,lighting,10.0,0,5,6.7,0,0,4.2,4.86,509.0,22.0
RPT-1041,2024-04-24 22:11:07.187,Riverside,noise,7.8,0,2,4.5,0,0,4.1,3.19,389.0,22.0
RPT-1042,2023-08-26 00:57:58.585,Uptown,pothole,45.5,0,1,10.0,1,1,5.0,4.58,831.0,0.0
RPT-1043,2023-02-17 13:06:27.744,Old Town,vandalism,25.9,0,0,7.0,0,0,4.2,0.0,648.0,13.0
RPT-1044,2024-05-28 01:30:16.143,Downtown,noise,6.6,1,0,7.2,0,0,3.8,1.87,734.0,1.0
RPT-1045,2023-07-07 06:12:32.716,Downtown,vandalism,36.7,1,0,9.4,0,0,3.7,4.12,995.0,6.0
RPT-1046,2024-08-03 13:32:35.066,Old Town,pothole,51.5,0,4,5.3,1,0,4.4,5.95,466.0,13.0
RPT-1047,2024-11-05 22:41:45.604,Downtown,vandalism,35.5,1,0,9.5,0,0,3.5,1.64,957.0,22.0
RPT-1048,2023-10-11 13:10:16.571,Uptown,noise,8.8,0,3,5.2,0,0,3.9,3.92,419.0,13.0
RPT-1049,2024-11-02 15:15:33.734,Old Town,lighting,15.0,0,12,5.7,1,0,4.2,7.55,476.0,15.0
RPT-1050,2024-05-04 06:50:46.568,Downtown,noise,3.7,0,3,6.8,1,1,4.1,4.95,471.0,
RPT-1051,2023-10-12 04:21:08.942,Tech District,pothole,74.4,1,1,9.5,0,0,2.1,0.0,978.0,4.0
RPT-1052,2023-03-14 15:15:57.630,Uptown,lighting,13.7,0,2,6.5,0,0,3.1,6.66,578.0,15.0
RPT-1053,2023-10-23 02:26:59.807,Downtown,lighting,10.6,0,2,5.5,0,1,4.1,3.55,453.0,2.0
RPT-1054,2023-04-26 07:41:02.347,Uptown,pothole,40.6,0,1,4.6,0,0,4.4,3.6,443.0,
RPT-1055,2023-11-21 07:41:56.776,Uptown,vandalism,24.9,0,3,5.9,0,1,4.6,5.12,549.0,7.0
RPT-1056,2023-12-01 20:03:31.086,Old Town,pothole,45.5,0,4,6.5,0,1,5.0,6.51,507.0,20.0
RPT-1057,2024-09-19 00:41:13.673,Downtown,lighting,20.9,1,0,9.2,0,0,4.2,2.13,918.0,0.0
RPT-1058,2023-11-03 13:28:25.378,Tech District,lighting,6.8,0,3,7.2,0,0,3.8,5.67,625.0,13.0
RPT-1059,2023-10-17 18:30:42.162,Tech District,lighting,13.0,0,2,2.4,0,0,4.2,3.77,190.0,18.0
RPT-1060,2024-06-11 09:58:09.255,Riverside,lighting,11.8,1,2,6.9,0,0,2.6,3.98,789.0,9.0
RPT-1061,2023-04-02 05:26:09.476,Old Town,noise,4.1,0,2,3.2,1,0,3.6,2.79,204.0,5.0
RPT-1062,2024-10-28 01:06:48.968,Riverside,vandalism,34.3,1,2,8.2,0,1,3.9,5.41,898.0,1.0
RPT-1063,2024-09-17 15:21:05.439,Tech District,noise,3.1,0,2,3.6,0,0,2.4,0.0,356.0,15.0
RPT-1064,2023-05-18 00:52:56.263,Uptown,,22.9,1,0,6.6,0,0,4.2,1.02,729.0,0.0
RPT-1065,2023-09-28 17:16:25.457,Downtown,pothole,50.9,0,1,8.3,0,0,2.2,1.38,618.0,17.0
RPT-1066,2024-01-24 00:28:05.998,Riverside,noise,4.4,0,1,3.9,0,0,3.6,2.3,322.0,0.0
RPT-1067,2023-11-12 07:12:27.774,Riverside,pothole,50.7,0,3,9.6,1,0,5.0,2.12,847.0,7.0
RPT-1068,2023-03-23 15:33:57.114,Riverside,pothole,46.8,0,2,5.0,0,0,3.1,4.13,367.0,15.0
RPT-1069,2024-10-15 08:20:48.327,Uptown,pothole,46.5,0,1,6.1,0,0,3.5,3.54,485.0,8.0
RPT-1070,2023-08-01 05:53:57.562,Uptown,pothole,71.3,1,16,6.6,0,0,3.9,3.42,830.0,
RPT-1071,2024-03-24 00:23:20.136,Downtown,lighting,16.9,0,2,3.9,1,0,2.8,0.0,314.0,0.0
RPT-1072,2023-07-28 18:28:18.371,Tech District,lighting,18.8,1,8,5.6,0,0,5.0,0.0,640.0,18.0
RPT-1073,2024-10-24 22:14:08.432,Uptown,noise,3.8,0,0,5.5,0,0,3.7,4.67,383.0,22.0
RPT-1074,2024-11-02 11:53:09.665,Downtown,lighting,13.6,0,2,7.2,1,0,4.3,3.18,600.0,11.0
RPT-1075,2024-03-20 13:05:25.544,Old Town,vandalism,28.7,0,1,7.1,0,0,4.7,2.36,552.0,13.0
RPT-1076,2024-12-13 11:27:15.761,Tech District,vandalism,37.6,1,3,10.0,0,0,3.3,5.6,966.0,11.0
RPT-1077,2024-05-29 18:01:51.720,Old Town,pothole,41.3,0,2,7.5,0,1,4.0,4.66,489.0,18.0
RPT-1078,2023-11-18 23:35:28.502,Tech District,noise,5.7,0,0,5.2,1,0,4.3,4.14,372.0,
RPT-1079,2024-08-18 11:14:41.294,Downtown,noise,6.3,1,5,4.4,1,1,2.8,6.02,572.0,11.0
RPT-1080,2023-03-08 16:15:31.686,Tech District,lighting,11.0,0,12,6.2,0,0,5.0,2.11,474.0,16.0
RPT-1081,2024-12-09 22:36:42.635,Riverside,vandalism,34.3,1,4,8.8,0,1,2.5,0.0,978.0,22.0
RPT-1082,2023-12-29 13:06:34.877,Old Town,noise,7.0,0,1,3.9,0,0,5.0,3.26,317.0,13.0
RPT-1083,2023-02-15 09:51:41.454,Riverside,vandalism,38.2,1,3,10.0,0,1,4.6,6.19,974.0,9.0
RPT-1084,2024-05-25 21:15:17.039,Old Town,pothole,45.0,0,2,5.8,1,0,5.0,4.05,434.0,21.0
RPT-1085,2023-11-19 20:34:42.737,Riverside,noise,4.6,0,2,2.5,1,1,2.9,4.65,203.0,20.0
RPT-1086,2023-08-01 07:26:27.551,Tech District,noise,1.1,0,2,2.1,0,0,3.3,2.7,167.0,7.0
RPT-1087,2023-02-02 23:35:15.679,Tech District,lighting,8.0,0,3,3.5,0,0,4.6,1.4,271.0,23.0
RPT-1088,2024-03-28 04:37:17.838,Tech District,noise,7.5,1,1,6.2,0,1,2.9,4.35,690.0,4.0
RPT-1089,2023-10-05 18:39:37.916,Old Town,noise,8.0,1,6,9.9,0,0,2.6,5.78,859.0,18.0
RPT-1090,2023-08-15 23:39:28.278,Uptown,vandalism,17.8,0,1,6.1,0,0,4.4,2.49,480.0,23.0
RPT-1091,2024-03-02 13:43:46.545,Riverside,vandalism,37.6,1,2,10.0,1,1,4.5,4.44,943.0,13.0
RPT-1092,2024-02-27 18:02:46.065,Riverside,vandalism,22.4,0,2,8.7,0,1,4.9,1.12,707.0,18.0
RPT-1093,2024-01-23 16:05:45.085,Downtown,vandalism,36.8,1,2,10.0,0,0,3.3,3.65,937.0,16.0
RPT-1094,2024-12-22 10:55:10.394,Downtown,pothole,50.8,0,2,5.7,1,0,5.0,0.0,493.0,10.0
RPT-1095,2023-09-19 21:45:30.625,Riverside,vandalism,19.8,0,2,8.3,0,0,4.1,1.91,683.0,21.0
RPT-1096,2024-05-10 05:44:59.776,Tech District,pothole,47.9,0,3,7.7,0,0,4.4,0.0,548.0,5.0
RPT-1097,2024-06-03 04:22:56.978,Downtown,lighting,14.2,0,1,5.0,0,0,4.5,1.92,361.0,4.0
RPT-1098,2023-07-14 09:07:29.430,Riverside,vandalism,36.6,1,2,8.5,0,0,3.1,4.05,961.0,9.0
RPT-1099,2023-08-13 12:42:06.053,Riverside,noise,9.7,0,1,3.8,1,0,4.8,3.77,185.0,12.0
RPT-1100,2023-09-10 23:58:40.248,Tech District,pothole,47.0,0,2,7.3,1,1,3.5,0.3,535.0,23.0
RPT-1101,2023-08-08 06:01:50.491,Uptown,lighting,15.2,0,4,5.9,0,0,3.0,2.99,439.0,6.0
RPT-1102,2024-10-10 12:11:30.731,Old Town,pothole,42.9,0,1,7.5,0,0,4.3,2.33,698.0,12.0
RPT-1103,2024-10-22 03:32:09.249,Uptown,pothole,47.9,0,9,6.7,0,0,4.6,0.82,582.0,3.0
RPT-1104,2024-05-25 20:11:19.594,Uptown,lighting,6.7,0,0,6.7,1,0,4.1,4.24,544.0,20.0
RPT-1105,2023-06-15 15:18:00.034,Riverside,lighting,8.0,0,6,2.7,0,1,4.2,4.64,222.0,
RPT-1106,2023-08-23 21:40:41.015,Uptown,lighting,13.3,0,5,4.7,0,1,3.1,4.0,323.0,21.0
RPT-1107,2024-10-13 08:25:47.525,Tech District,noise,8.8,0,1,4.6,1,0,2.7,1.7,420.0,
RPT-1108,2024-08-21 09:21:40.817,Uptown,noise,7.6,0,15,4.4,0,1,4.3,5.13,326.0,9.0
RPT-1109,2024-04-04 00:37:04.693,Downtown,vandalism,40.2,1,5,10.0,0,0,3.1,2.16,985.0,0.0
RPT-1110,2024-06-02 18:23:54.142,Tech District,noise,3.5,1,1,4.6,1,0,3.5,3.47,645.0,18.0
RPT-1111,2023-01-22 02:38:26.977,Uptown,vandalism,33.0,1,3,10.0,1,1,3.3,2.9,1000.0,2.0
RPT-1112,2023-05-17 13:01:55.978,Tech District,noise,1.6,0,4,4.6,0,0,2.9,3.15,342.0,13.0
RPT-1113,2024-09-06 17:57:38.195,Old Town,noise,3.2,0,2,6.1,0,0,3.7,1.34,511.0,17.0
RPT-1114,2024-10-27 16:58:53.539,Riverside,noise,3.3,0,1,4.9,1,1,5.0,6.59,361.0,16.0
RPT-1115,2023-02-24 11:55:44.500,Riverside,vandalism,34.8,1,12,7.4,0,0,2.5,4.77,744.0,11.0
RPT-1116,2024-10-05 01:50:40.741,Uptown,pothole,69.5,1,2,9.0,1,1,3.5,5.38,1000.0,
RPT-1117,2023-06-28 05:55:43.926,Downtown,lighting,10.4,0,3,5.9,0,1,3.9,4.18,527.0,
RPT-1118,2024-09-23 19:43:06.090,Old Town,pothole,50.5,0,4,6.8,0,0,3.9,1.33,509.0,19.0
RPT-1119,2024-12-18 02:00:07.459,Uptown,lighting,13.5,0,3,6.2,0,1,3.0,3.05,500.0,2.0
RPT-1120,2024-08-11 16:30:00.191,Uptown,noise,7.3,0,2,2.0,1,0,4.4,6.15,155.0,16.0
RPT-1121,2024-05-06 19:29:11.313,Old Town,lighting,12.8,0,2,5.3,0,0,4.5,2.63,403.0,19.0
RPT-1122,2024-06-04 05:53:45.379,Riverside,lighting,10.9,0,13,5.3,0,0,3.8,3.75,502.0,5.0
RPT-1123,2024-07-02 20:49:30.156,Riverside,noise,7.3,1,2,4.2,0,0,3.4,4.3,585.0,20.0
RPT-1124,2024-11-22 13:26:56.039,Downtown,vandalism,27.4,0,2,10.0,0,0,4.7,2.8,892.0,13.0
RPT-1125,2023-01-02 05:46:42.817,Uptown,lighting,8.8,0,1,4.9,0,0,4.4,2.52,409.0,5.0
RPT-1126,2023-10-20 13:03:56.115,Tech District,vandalism,32.2,1,3,10.0,0,0,3.8,3.91,1000.0,13.0
RPT-1127,2023-07-02 07:35:18.480,Uptown,lighting,13.3,0,2,6.9,1,0,4.6,0.94,549.0,7.0
RPT-1128,2024-03-05 06:11:11.234,Riverside,noise,8.6,1,1,4.9,0,0,2.9,2.97,512.0,6.0
RPT-1129,2023-10-13 13:09:40.064,Tech District,vandalism,25.7,0,2,7.3,0,0,2.3,0.0,622.0,13.0
RPT-1130,2024-07-26 16:29:32.046,Tech District,noise,7.4,0,1,4.6,0,0,3.4,2.9,367.0,16.0
RPT-1131,2024-05-14 10:25:36.129,Downtown,noise,1.5,0,3,4.3,0,0,2.6,2.51,309.0,10.0
RPT-1132,2023-10-17 07:54:41.341,Downtown,noise,2.0,0,3,3.6,0,0,5.0,4.85,290.0,7.0
RPT-1133,2024-02-06 06:00:14.827,Downtown,pothole,46.1,0,4,7.2,0,1,5.0,2.6,641.0,6.0
RPT-1134,2023-01-07 02:15:22.906,Uptown,lighting,13.2,0,1,8.3,1,0,3.4,1.94,694.0,2.0
RPT-1135,2023-04-29 07:11:59.143,Tech District,vandalism,39.4,1,3,8.3,1,1,4.0,2.0,874.0,7.0
RPT-1136,2023-11-06 14:25:28.956,Riverside,lighting,15.3,0,3,4.8,0,0,3.0,7.0,378.0,14.0
RPT-1137,2024-07-11 07:17:12.170,Tech District,,17.3,0,3,6.2,0,1,4.3,4.07,433.0,7.0
RPT-1138,2024-02-24 17:48:40.852,Old Town,vandalism,40.1,1,0,10.0,1,1,3.9,3.52,972.0,17.0
RPT-1139,2024-09-12 00:43:17.408,Riverside,lighting,10.0,0,3,5.8,0,0,3.9,4.54,321.0,0.0
RPT-1140,2024-10-08 00:46:08.458,Uptown,vandalism,39.4,1,1,7.4,0,0,2.5,5.32,768.0,0.0
RPT-1141,2024-05-10 01:23:49.292,Downtown,lighting,13.0,0,2,1.9,0,0,4.4,2.48,213.0,1.0
RPT-1142,2023-04-29 18:18:45.622,Uptown,lighting,19.9,1,1,4.9,1,0,4.2,5.45,652.0,18.0
RPT-1143,2024-08-10 12:50:53.606,Downtown,vandalism,35.7,1,3,9.5,1,1,3.1,3.1,925.0,12.0
RPT-1144,2024-05-13 03:39:28.382,Uptown,lighting,11.6,0,12,3.4,0,0,4.3,3.91,265.0,3.0
RPT-1145,2024-08-09 15:12:15.237,Tech District,pothole,51.3,0,3,4.6,0,0,4.7,3.55,335.0,15.0
RPT-1146,2023-06-02 23:22:02.623,Tech District,vandalism,39.2,1,1,9.8,0,0,3.5,7.01,1000.0,23.0
RPT-1147,2024-02-10 21:53:08.124,Old Town,vandalism,24.9,0,1,8.3,1,0,4.6,0.85,697.0,21.0
RPT-1148,2023-03-27 21:13:49.942,Downtown,lighting,8.7,0,6,7.4,0,1,5.0,2.5,609.0,21.0
RPT-1149,2023-05-23 09:04:18.771,Old Town,lighting,16.3,0,3,6.6,0,0,4.7,4.44,559.0,9.0
RPT-1150,2024-12-23 08:38:52.604,Uptown,noise,8.9,0,0,3.6,0,1,4.1,3.03,233.0,8.0
RPT-1151,2023-05-31 03:27:55.184,Riverside,noise,1.0,0,2,1.7,0,0,4.0,0.41,105.0,3.0
RPT-1152,2023-04-29 13:14:21.354,Tech District,vandalism,24.5,0,13,6.9,1,0,4.2,5.25,529.0,13.0
RPT-1153,2023-11-03 06:13:45.439,Old Town,pothole,47.9,0,1,8.2,0,0,2.7,7.66,692.0,6.0
RPT-1154,2024-03-19 11:57:34.131,Tech District,noise,7.0,0,2,4.9,0,0,4.8,3.56,397.0,11.0
RPT-1155,2023-01-16 03:48:15.815,Old Town,noise,4.8,0,0,3.7,0,0,4.6,2.93,248.0,3.0
RPT-1156,2024-07-02 00:14:38.048,Downtown,vandalism,21.4,0,2,6.5,0,1,4.9,0.0,470.0,0.0
RPT-1157,2024-05-13 23:11:29.164,Old Town,noise,7.8,0,1,4.8,0,0,3.4,3.21,317.0,23.0
RPT-1158,2024-11-23 11:55:06.849,Uptown,pothole,46.2,0,3,7.5,1,1,4.4,5.73,606.0,11.0
RPT-1159,2024-08-16 14:58:15.850,Old Town,pothole,70.7,1,4,9.7,0,1,2.5,5.3,960.0,14.0
RPT-1160,2023-06-04 16:41:44.951,Riverside,vandalism,35.2,1,2,10.0,1,0,3.3,5.5,966.0,16.0
RPT-1161,2023-02-07 20:38:43.702,Old Town,vandalism,24.8,0,3,9.0,0,0,4.5,2.63,713.0,20.0
RPT-1162,2024-10-04 18:59:49.499,Downtown,lighting,18.1,1,2,6.8,0,0,4.7,0.0,759.0,18.0
RPT-1163,2024-04-06 00:25:39.052,Tech District,vandalism,24.0,0,12,5.8,1,1,2.7,4.95,519.0,0.0
RPT-1164,2024-06-10 04:21:13.208,Riverside,noise,5.9,0,2,3.2,0,0,3.7,0.97,223.0,4.0
RPT-1165,2024-10-23 05:04:02.519,Old Town,noise,1.3,0,0,2.9,0,0,4.2,1.76,267.0,5.0
RPT-1166,2024-08-23 13:41:35.925,Old Town,vandalism,39.1,1,2,10.0,0,0,4.5,0.58,1000.0,13.0
RPT-1167,2023-10-13 04:33:00.241,Old Town,pothole,73.3,1,1,8.8,0,0,3.6,4.08,857.0,4.0
RPT-1168,2024-08-15 17:18:11.839,Downtown,noise,5.5,0,0,1.9,0,0,5.0,2.39,217.0,17.0
RPT-1169,2023-04-23 00:21:53.184,Riverside,lighting,8.4,0,3,5.1,1,0,4.8,3.15,469.0,0.0
RPT-1170,2023-04-18 21:12:11.359,Tech District,pothole,45.8,0,1,6.3,0,0,4.6,4.16,450.0,21.0
RPT-1171,2023-07-12 01:09:19.207,Uptown,vandalism,33.3,1,1,10.0,0,0,4.1,1.3,919.0,1.0
RPT-1172,2024-09-11 07:49:39.159,Old Town,noise,11.5,0,5,2.3,0,0,3.8,5.33,212.0,7.0
RPT-1173,2023-02-13 10:26:42.036,Downtown,pothole,49.8,0,11,5.2,0,1,3.9,0.93,481.0,10.0
RPT-1174,2023-09-10 17:22:08.057,Uptown,pothole,48.2,0,1,7.3,1,1,5.0,2.4,551.0,17.0
RPT-1175,2023-06-20 18:01:35.315,Uptown,lighting,19.6,1,9,6.1,0,0,3.4,3.11,714.0,18.0
RPT-1176,2023-05-18 13:58:28.394,Riverside,noise,4.8,0,2,4.7,0,1,4.4,1.41,403.0,13.0
RPT-1177,2024-07-15 04:44:32.306,Old Town,pothole,68.2,1,1,8.0,0,1,3.4,1.87,819.0,4.0
RPT-1178,2023-11-29 04:43:51.979,Tech District,lighting,10.9,0,0,3.9,0,0,3.9,3.34,320.0,4.0
RPT-1179,2024-05-29 17:23:40.741,Riverside,noise,5.0,0,18,1.0,0,0,4.9,0.27,68.0,17.0
RPT-1180,2023-12-05 18:57:58.377,Tech District,pothole,44.5,0,3,4.3,0,1,3.7,0.0,316.0,18.0
RPT-1181,2024-02-28 15:10:23.897,Tech District,noise,8.7,1,1,6.0,0,1,4.0,3.24,,15.0
RPT-1182,2023-12-19 13:42:19.556,Riverside,pothole,51.6,0,0,5.8,0,0,3.2,2.92,522.0,13.0
RPT-1183,2023-05-17 09:09:07.966,Riverside,lighting,9.4,0,2,7.2,0,0,4.0,1.66,627.0,9.0
RPT-1184,2024-03-16 08:23:28.547,Riverside,pothole,70.2,1,2,10.0,1,0,3.4,4.84,1000.0,8.0
RPT-1185,2023-08-06 05:43:54.001,Tech District,lighting,21.6,1,3,5.2,1,1,3.6,3.18,702.0,5.0
RPT-1186,2023-09-20 02:25:59.257,Uptown,pothole,71.3,1,6,8.1,0,0,3.2,3.37,780.0,2.0
RPT-1187,2024-07-31 18:28:48.247,Old Town,vandalism,33.1,1,3,10.0,0,0,4.1,4.99,962.0,18.0
RPT-1188,2024-01-15 05:11:55.168,Downtown,lighting,7.7,0,1,7.3,0,0,5.0,4.11,606.0,5.0
RPT-1189,2024-06-26 00:22:22.954,Old Town,pothole,54.5,0,0,8.2,0,0,5.0,4.49,685.0,0.0
RPT-1190,2023-05-21 17:21:47.730,Downtown,lighting,9.4,0,2,5.5,1,0,3.4,0.0,542.0,17.0
RPT-1191,2024-08-28 22:26:43.257,Tech District,vandalism,20.7,0,2,8.3,0,0,4.1,0.32,709.0,22.0
RPT-1192,2023-10-25 03:59:26.712,Downtown,pothole,48.9,0,4,6.4,0,0,4.6,4.47,545.0,3.0
RPT-1193,2024-05-05 11:35:17.456,Old Town,vandalism,39.5,1,1,10.0,1,0,3.0,1.94,1000.0,11.0
RPT-1194,2024-01-23 07:01:29.479,Tech District,noise,8.7,0,16,4.0,0,1,4.7,0.0,357.0,7.0
RPT-1195,2023-02-14 16:57:39.610,Tech District,lighting,13.1,0,2,4.6,0,0,4.2,4.66,321.0,16.0
RPT-1196,2023-05-14 05:40:14.690,Riverside,pothole,51.9,0,7,6.4,1,1,4.8,5.89,486.0,5.0
RPT-1197,2023-05-16 21:09:32.633,Tech District,lighting,8.7,0,2,3.8,0,0,4.7,2.76,324.0,21.0
RPT-1198,2024-04-29 21:37:43.683,Old Town,lighting,9.3,0,3,4.3,0,0,5.0,2.2,355.0,21.0
RPT-1199,2023-07-14 22:36:45.283,Old Town,noise,7.8,0,10,5.7,0,0,3.7,3.36,414.0,22.0
RPT-1200,2023-03-28 12:55:33.648,Uptown,pothole,54.6,0,11,6.6,0,1,5.0,7.01,631.0,12.0
RPT-1201,2024-11-01 08:35:05.537,Tech District,lighting,15.6,0,3,3.8,0,0,4.2,2.66,281.0,8.0
RPT-1202,2024-03-11 02:54:38.498,Downtown,lighting,14.1,0,9,6.4,0,0,3.6,0.0,507.0,2.0
RPT-1203,2023-01-08 06:57:07.654,Riverside,lighting,11.6,0,5,6.8,1,1,4.7,2.55,496.0,6.0
RPT-1204,2023-06-23 15:17:41.135,Downtown,vandalism,34.9,1,2,10.0,0,0,2.4,0.65,973.0,15.0
RPT-1205,2024-12-24 23:04:33.153,Old Town,,7.3,0,3,5.5,0,0,4.0,2.26,460.0,23.0
RPT-1206,2024-08-25 20:04:18.057,Downtown,lighting,11.4,0,1,7.1,1,0,4.4,2.24,424.0,20.0
RPT-1207,2024-06-28 02:16:44.344,Downtown,lighting,17.5,1,2,5.5,0,0,3.7,4.53,701.0,2.0
RPT-1208,2024-12-08 12:34:59.234,Old Town,pothole,47.7,0,1,6.7,1,1,4.0,3.73,581.0,12.0
RPT-1209,2024-10-11 03:09:09.124,Uptown,pothole,45.6,0,2,5.2,0,0,4.2,3.2,359.0,3.0
RPT-1210,2024-05-10 12:45:34.114,Tech District,pothole,42.7,0,1,4.5,0,0,4.4,3.17,395.0,12.0
RPT-1211,2024-11-19 07:56:30.473,Old Town,vandalism,24.3,0,0,5.7,0,0,3.8,4.59,393.0,7.0
RPT-1212,2023-01-30 19:41:10.660,Old Town,pothole,48.9,0,3,4.0,0,0,3.6,1.38,330.0,19.0
RPT-1213,2024-05-29 03:18:20.219,Downtown,lighting,15.4,0,1,5.6,0,0,4.8,3.35,429.0,3.0
RPT-1214,2024-05-21 10:52:34.440,Riverside,pothole,45.5,0,2,6.1,0,0,3.8,7.02,576.0,10.0
RPT-1215,2024-05-08 16:56:34.305,Riverside,pothole,44.9,0,1,8.1,0,0,4.2,1.71,645.0,16.0
RPT-1216,2023-12-28 05:43:58.064,Old Town,vandalism,34.1,1,1,10.0,0,1,4.4,1.46,927.0,5.0
RPT-1217,2024-08-11 05:20:33.480,Tech District,vandalism,36.3,1,4,10.0,1,0,3.4,2.64,1000.0,5.0
RPT-1218,2024-08-16 23:38:03.443,Old Town,lighting,12.9,0,4,3.9,0,0,2.7,3.4,330.0,23.0
RPT-1219,2023-07-05 07:42:15.311,Old Town,noise,11.6,1,4,6.7,0,1,2.8,1.71,787.0,
