account_id,monthly_login_freq,num_support_tickets,contract_length_months,avg_product_usage_hours,num_users,nps_score,has_admin_activity,last_activity_days_ago,avg_session_length,feature_adoption_score,customer_satisfaction_score,city,gender,churned,is_heavy_user
A0021,12,18.0,24,28.75,70,8.129648768921554,0,0,1.19,81.95,9.52,San Francisco,Male,0,0
A0022,18,18.0,24,30.16,27,4.849223699513463,1,13,1.92,61.76,7.25,Austin,Male,1,1
A0023,23,18.0,24,32.19,50,5.667528204687923,0,2,1.46,99.47,8.0,San Francisco,Male,0,1
A0024,17,2.0,3,25.54,34,5.442251813786543,1,24,1.88,73.52,9.81,San Francisco,Male,1,0
A0025,24,18.0,24,27.99,86,5.979617275474817,0,29,1.74,21.58,9.32,San Francisco,Male,0,1
A0026,24,9.0,12,33.68,97,5.269922589709866,1,9,2.21,84.66,7.37,Austin,Male,1,1
A0027,23,9.0,12,40.4,6,3.707006422577697,0,22,1.67,41.47,6.94,Chicago,Male,0,1
A0028,18,5.0,6,10.45,40,2.734698018345672,1,2,1.8,3.62,3.37,Austin,Male,0,0
A0029,27,9.0,12,26.31,65,0.127361310081195,0,10,1.46,32.14,1.04,San Francisco,Male,0,0
A0030,19,18.0,24,32.14,49,3.726306250206723,1,7,1.25,76.36,5.74,New York,Male,1,0
A0031,16,18.0,24,20.82,3,3.430293387770603,0,14,1.75,96.02,5.76,Austin,Female,1,0
A0032,22,9.0,12,47.31,5,8.516278184508938,0,0,2.25,27.61,9.52,New York,Male,0,1
A0033,24,2.0,3,23.65,88,3.0875027752620654,0,20,1.19,24.65,4.43,Austin,Male,1,0
A0034,14,4.0,6,29.59,64,3.7792890710441,1,1,1.38,56.36,6.91,Austin,Female,0,1
A0035,25,18.0,24,35.56,66,4.847544912103189,1,16,1.51,81.17,5.75,San Francisco,Female,1,1
A0036,22,9.0,12,24.09,19,0.0181563500289776,0,0,1.84,74.65,1.77,Chicago,Female,0,1
A0037,20,9.0,12,11.53,80,4.352863595004756,1,26,1.67,56.0,5.92,Chicago,Male,0,1
A0038,17,2.0,3,25.71,64,1.820329876120224,1,2,1.96,63.14,5.4,San Francisco,Male,0,1
A0039,25,9.0,12,40.29,37,2.1298139511015695,1,10,2.49,24.21,4.94,Austin,Female,0,1
A0040,20,9.0,12,26.63,15,3.7878612358691233,1,4,1.18,43.26,5.13,Chicago,Female,0,0
A0041,14,18.0,24,21.54,37,1.8864665799954103,1,19,1.8,25.54,1.64,Chicago,Female,0,0
A0042,17,9.0,12,39.26,45,3.4123682811899703,0,5,1.66,88.44,4.63,Chicago,Male,0,1
A0043,26,5.0,6,26.69,4,4.126351717611759,1,19,1.51,11.26,6.06,San Francisco,Male,1,0
A0044,22,9.0,12,24.9,58,3.121896304410711,0,5,1.8,67.97,4.89,New York,Female,0,1
A0045,27,2.0,3,31.49,79,1.944478009632572,1,20,1.37,26.03,4.89,New York,Male,1,1
A0046,16,18.0,24,37.71,53,-0.1738442083947087,0,0,1.66,47.56,0.78,New York,Male,0,0
A0047,17,5.0,6,53.82,56,0.8763612290402125,0,4,0.85,29.94,1.91,New York,Female,0,0
A0048,19,9.0,12,38.27,18,3.3041222262189156,0,10,1.23,32.32,3.21,New York,Female,1,0
A0049,13,5.0,6,41.6,20,3.2766182895684617,1,0,2.02,26.04,4.19,Chicago,Female,0,0
A0050,27,9.0,12,24.94,9,2.3949598446372664,1,3,2.0,75.28,5.94,Chicago,Male,0,1
A0051,19,9.0,12,19.74,47,6.365083969394796,0,40,1.63,36.57,8.63,Austin,Male,1,0
A0052,32,9.0,12,30.62,38,0.7279177195836835,1,56,1.27,72.64,1.59,Chicago,Male,1,1
A0053,20,5.0,6,31.07,43,-0.5719220003059587,1,20,1.91,45.61,0.15,San Francisco,Male,1,0
A0054,15,5.0,6,19.21,96,3.754676288840867,1,4,2.12,54.72,4.49,Austin,Male,0,1
A0055,21,5.0,6,28.25,44,4.054999522495951,0,4,1.29,54.33,4.32,Chicago,Female,0,0
A0056,12,9.0,12,33.99,9,4.795280119116198,1,15,0.77,97.59,5.52,Austin,Male,1,0
A0057,26,2.0,3,33.6,17,4.991782476777361,0,1,1.72,36.71,8.33,Austin,Male,0,1
A0058,16,9.0,12,35.04,62,5.304787624148784,1,44,1.96,20.77,8.02,New York,Female,1,1
A0059,24,18.0,24,32.91,42,1.031263431403564,0,3,1.79,91.18,1.0,Austin,Female,0,1
A0060,15,18.0,24,24.93,85,7.513545127122359,0,118,2.28,17.48,9.34,Chicago,Female,1,0
A0061,18,9.0,12,24.86,39,0.29082576215471,1,10,2.28,83.44,1.1,New York,Female,0,0
A0062,21,9.0,12,18.01,68,4.259341023336182,0,22,1.35,15.02,6.35,Chicago,Male,1,0
A0063,11,2.0,3,47.85,57,3.5976650259939715,0,0,1.6,65.87,6.72,New York,Male,0,1
A0064,19,9.0,12,30.13,79,3.563793375919329,1,32,1.25,15.05,6.8,Chicago,Female,1,0
A0065,24,18.0,24,27.75,97,2.6675258223941976,0,4,0.99,92.31,2.65,New York,Male,0,1
A0066,20,5.0,6,20.71,82,3.6662400285708223,0,16,1.02,56.5,3.3,New York,Female,1,0
A0067,21,9.0,12,59.36,58,3.770989878419666,0,24,1.86,32.93,5.49,San Francisco,Male,0,1
A0068,24,18.0,24,19.27,46,2.403532897892024,0,2,1.65,14.03,2.0,Chicago,Male,0,0
A0069,29,18.0,24,25.71,59,0.5016360250476342,0,8,1.94,37.12,0.2,Austin,Male,1,1
A0070,18,5.0,6,34.16,8,3.2888802453948753,0,10,2.77,70.5,5.62,New York,Female,1,1
A0071,17,9.0,12,36.0,94,3.616395605508414,1,5,1.75,38.5,4.65,Chicago,Female,0,1
A0072,24,5.0,6,39.58,34,6.137036566465969,0,9,1.11,24.61,6.57,New York,Male,1,0
A0073,20,5.0,6,48.08,76,0.9931739608900484,0,5,2.02,57.74,1.47,San Francisco,Male,0,1
A0074,25,18.0,24,35.06,20,7.451643655814006,0,6,1.1,41.78,8.41,San Francisco,Female,1,0
A0075,16,18.0,24,19.44,70,-1.5977451040897444,0,16,2.37,16.58,1.46,San Francisco,Female,1,0
A0076,28,9.0,12,27.43,75,7.058902504375224,1,15,0.51,15.4,8.91,San Francisco,Male,1,0
A0077,24,2.0,3,33.08,9,3.237047068238171,1,3,1.23,70.75,4.5,Austin,Male,0,1
A0078,20,18.0,24,50.68,10,3.5509926495341317,0,34,1.81,97.47,5.5,Austin,Female,0,1
A0079,14,9.0,12,16.02,66,6.370760776535502,0,29,2.09,23.31,8.97,New York,Male,0,0
A0080,23,4.0,6,42.03,9,0.1124310853991068,0,10,1.16,77.31,3.0,Chicago,Female,0,1
A0081,24,9.0,12,31.8,43,1.054328112162488,1,8,1.07,8.76,1.82,San Francisco,Female,1,0
A0082,25,2.0,3,38.38,42,3.479112571511746,0,7,1.57,38.16,4.46,San Francisco,Male,1,1
A0083,20,9.0,12,28.98,5,3.185894044741516,0,18,2.45,50.67,2.44,Austin,Male,1,0
A0084,22,9.0,12,21.58,19,3.1777297817263523,0,16,0.73,26.87,5.28,Austin,Male,1,0
A0085,24,5.0,6,37.51,68,1.116506397106812,1,3,1.34,52.96,2.75,San Francisco,Female,0,1
A0086,12,5.0,6,36.54,81,5.546242956415464,1,16,1.63,88.26,8.64,Chicago,Female,0,1
A0087,17,5.0,6,39.72,95,5.164402117702074,1,4,1.1,94.44,6.07,New York,Female,0,1
A0088,27,2.0,3,29.87,54,0.3287511096596844,0,0,1.1,10.06,0.0,New York,Male,0,1
A0089,23,9.0,12,24.0,24,5.105239796232961,0,18,1.38,27.18,8.05,New York,Male,0,0
A0090,22,18.0,24,14.41,6,2.823267433113356,0,15,1.65,97.91,3.3,New York,Female,1,1
A0091,17,2.0,3,38.19,8,2.33707754934804,1,7,1.4,27.04,3.2,Chicago,Female,1,0
A0092,15,2.0,3,34.24,40,3.64964499053289,1,11,2.23,69.27,3.83,Chicago,Male,1,1
A0093,23,9.0,12,20.34,28,3.707946906122647,0,44,1.8,25.35,6.3,Chicago,Female,0,0
A0094,29,18.0,24,24.61,13,2.7663378534022316,0,13,1.69,35.64,4.42,Austin,Male,1,0
A0095,15,5.0,6,25.33,92,4.010891846867842,0,16,2.01,19.13,6.29,San Francisco,Male,1,0
A0096,25,4.0,6,15.17,19,-0.4345149481321186,0,0,1.7,85.63,1.47,Chicago,Female,0,1
A0097,15,9.0,12,21.82,90,7.086120277064575,0,2,1.28,88.26,9.7,New York,Female,0,0
A0098,29,5.0,6,18.66,94,5.3710552721798885,0,5,1.37,29.69,7.3,Chicago,Female,0,0
A0099,23,2.0,3,25.88,33,1.7551134566424609,0,11,0.94,82.36,2.5,San Francisco,Female,1,0
A0100,13,9.0,12,22.61,79,4.833412866624852,0,22,2.5,35.82,7.24,Austin,Female,1,0
A0101,26,9.0,12,13.73,37,2.6096292579495852,1,5,1.97,9.9,5.75,New York,Male,0,0
A0102,23,9.0,12,50.23,18,0.3423546772346409,0,6,0.22,75.81,1.09,Austin,Female,0,1
A0103,18,9.0,12,42.53,81,0.9032854834732305,0,4,2.17,59.64,1.78,Chicago,Male,0,1
A0104,22,9.0,12,22.21,20,-0.515277269221619,0,4,0.77,27.44,0.41,New York,Female,0,0
A0105,22,5.0,6,32.72,64,5.50171428833399,1,44,1.76,25.3,8.09,New York,Female,1,1
A0106,24,5.0,6,34.17,29,4.268050856814538,1,15,0.4,97.56,5.52,Chicago,Female,0,1
A0107,26,5.0,6,41.91,37,4.10518590121053,0,2,1.29,86.25,3.17,Chicago,Female,0,1
A0108,19,5.0,6,21.81,47,1.0565778128318388,0,19,2.17,80.98,1.26,San Francisco,Female,1,0
A0109,20,9.0,12,40.92,37,3.645550390722764,0,19,2.2,12.8,4.84,Chicago,Female,0,0
A0110,18,18.0,24,24.52,30,3.6005540842338326,1,16,1.65,75.52,5.25,Chicago,Male,0,0
A0111,16,18.0,24,16.64,11,2.9952287847009584,1,2,1.89,21.45,7.02,Chicago,Female,0,0
A0112,7,9.0,12,37.24,78,6.7634861245507825,1,7,0.79,97.74,9.7,New York,Female,1,1
A0113,26,5.0,6,42.91,17,3.105230209941026,0,1,1.77,5.21,4.35,San Francisco,Female,0,1
A0114,12,5.0,6,55.88,23,5.305242112485286,1,25,1.93,35.21,4.06,New York,Female,0,0
A0115,26,18.0,24,18.0,54,2.3976390352188774,1,15,2.78,42.86,3.7,Chicago,Male,1,1
A0116,23,9.0,12,36.99,37,6.090547342333612,1,10,1.19,82.42,8.27,San Francisco,Male,1,1
A0117,22,9.0,12,25.9,99,1.0572882302947566,0,6,1.51,76.62,1.56,Chicago,Male,1,1
A0118,21,9.0,12,37.83,53,1.239321962380468,0,3,1.54,37.5,3.44,New York,Male,0,1
A0119,24,9.0,12,15.3,85,6.21782281451502,0,1,1.85,56.56,7.25,New York,Male,0,1
A0120,17,18.0,24,17.37,57,0.8639330326867741,0,52,1.94,83.56,0.16,Chicago,Male,1,1
A0121,25,2.0,3,22.24,89,2.814031947043047,0,3,2.03,1.82,2.89,San Francisco,Female,0,1
A0122,18,9.0,12,30.79,79,3.577612545205261,1,0,1.99,80.22,6.41,New York,Female,0,1
A0123,13,18.0,24,23.59,46,2.7047943109360992,1,48,0.76,94.69,1.86,Chicago,Male,1,0
A0124,22,4.0,6,36.59,67,0.7191489372077187,1,11,0.19,3.21,3.03,Austin,Female,0,1
A0125,22,9.0,12,40.27,95,3.9888570938002705,0,23,1.24,4.56,4.86,Chicago,Female,0,1
A0126,32,5.0,6,36.0,90,5.144455625809979,0,0,1.48,34.45,4.22,Chicago,Female,0,1
A0127,21,18.0,24,46.19,82,-0.2485363251306883,1,12,1.19,8.78,1.06,San Francisco,Female,0,1
A0128,19,2.0,3,34.16,27,5.999702270397228,0,7,1.27,47.93,9.38,Chicago,Female,1,0
A0129,19,9.0,12,17.83,89,0.4076513650876412,0,22,1.33,72.87,0.44,Austin,Male,0,0
A0130,11,5.0,6,43.63,94,4.746524345883801,1,0,1.79,56.69,7.5,Chicago,Male,0,1
A0131,24,9.0,12,23.95,49,-1.0536634310661328,1,7,0.98,19.64,0.71,Austin,Male,1,0
A0132,18,5.0,6,39.1,82,3.337562974806027,0,24,1.46,65.48,4.67,New York,Male,1,1
A0133,20,5.0,6,45.74,58,0.1626962862738949,1,11,1.46,68.49,1.75,Chicago,Male,0,1
A0134,17,9.0,12,34.57,40,1.4605924306351814,1,11,1.78,93.24,1.41,San Francisco,Male,0,1
A0135,20,18.0,24,15.04,13,-0.0374242342338034,1,1,2.08,14.68,1.26,Chicago,Female,0,0
A0136,23,5.0,6,20.82,69,4.720934405017539,1,2,2.34,69.23,4.53,Austin,Male,0,1
A0137,17,5.0,6,43.23,17,2.821746707663763,0,16,1.13,91.14,5.15,Austin,Female,0,0
A0138,18,9.0,12,28.31,3,0.6089384837943244,1,16,0.5,50.16,1.33,San Francisco,Female,1,0
A0139,21,9.0,12,30.8,9,7.666517217369669,0,58,1.38,36.18,9.79,Austin,Male,1,0
A0140,13,18.0,24,37.59,3,0.5751356835660446,0,18,0.71,17.07,2.58,Chicago,Male,1,0
A0141,31,5.0,6,36.96,51,3.440459934604129,1,10,2.87,86.68,4.59,Austin,Male,1,1
A0142,17,9.0,12,32.79,98,2.819142754282428,0,29,1.06,39.42,2.16,Chicago,Female,0,0
A0143,19,4.0,6,27.91,75,1.8505167654387729,1,1,1.78,92.49,4.94,Chicago,Male,0,1
A0144,30,5.0,6,26.87,31,5.476633858532304,1,8,1.97,84.78,7.56,Austin,Male,1,1
A0145,16,9.0,12,38.58,28,3.906882794248423,1,5,1.67,37.66,5.21,San Francisco,Male,0,0
A0146,12,9.0,12,35.54,89,2.7838228717773097,1,1,2.54,57.39,2.86,New York,Female,0,1
A0147,15,9.0,12,27.43,47,0.499049289121918,0,21,1.4,2.72,2.48,San Francisco,Male,1,0
A0148,11,4.0,6,40.82,95,3.9925433869157234,0,10,1.08,26.32,7.59,New York,Male,0,0
A0149,27,9.0,12,28.71,99,1.3479415656168976,0,12,1.06,71.03,1.18,San Francisco,Female,1,1
A0150,26,9.0,12,21.48,73,2.886984673233186,0,7,1.88,67.79,3.7,Chicago,Female,1,1
A0151,13,18.0,24,22.41,14,1.3074928503458767,0,9,1.41,35.34,1.51,Chicago,Female,1,0
A0152,21,5.0,6,20.21,97,2.152448209496976,0,1,1.06,80.86,2.58,Austin,Male,0,1
A0153,16,5.0,6,27.28,34,0.3909752784215091,1,16,1.72,23.58,1.53,New York,Male,1,0
A0154,22,5.0,6,42.34,22,6.441253697161002,1,8,1.85,46.13,8.87,New York,Female,0,1
A0155,16,9.0,12,21.95,53,5.417072473298681,1,25,1.64,47.25,7.32,Austin,Male,0,0
A0156,16,5.0,6,31.88,83,3.212648581973632,1,3,1.95,34.08,5.61,San Francisco,Female,0,1
A0157,26,18.0,24,23.43,38,3.4337745111447564,0,3,1.54,95.47,2.24,Austin,Female,0,1
A0158,21,5.0,6,27.4,69,4.043832920911787,0,15,1.2,69.67,5.1,San Francisco,Female,0,1
A0159,22,18.0,24,14.9,3,2.455696502797351,0,28,1.91,53.92,5.21,Austin,Female,1,1
A0160,18,5.0,6,27.79,29,4.786553608633829,1,9,1.05,51.05,5.9,New York,Female,0,0
A0161,29,9.0,12,28.06,42,-0.5546816702273214,0,19,0.94,15.93,0.6,New York,Male,1,0
A0162,30,18.0,24,35.4,99,7.598084603742452,1,109,2.08,37.22,9.73,San Francisco,Male,0,1
A0163,22,5.0,6,32.23,86,4.413595579007404,0,69,1.33,67.28,4.65,New York,Male,1,1
A0164,19,18.0,24,18.02,16,5.668317681648288,0,20,2.33,92.46,9.27,New York,Male,0,0
A0165,23,9.0,12,40.84,71,1.0333761292443218,0,20,1.93,81.65,0.1,New York,Female,0,1
A0166,25,18.0,24,32.1,89,2.148780926936498,0,4,1.29,30.04,2.48,New York,Male,0,1
A0167,12,9.0,12,31.98,81,1.55006015999449,0,26,1.74,43.4,1.04,Chicago,Female,0,1
A0168,12,5.0,6,29.91,8,7.286792982653947,1,7,2.76,8.29,7.7,Austin,Female,1,0
A0169,18,5.0,6,24.82,35,1.9946118839971292,1,49,1.88,10.22,3.2,Austin,Male,1,0
A0170,19,5.0,6,32.18,57,5.1262638356425105,0,1,1.79,47.02,8.4,Chicago,Male,0,1
A0171,21,2.0,3,34.76,21,4.934485570374477,1,8,1.2,53.02,8.32,New York,Female,1,1
A0172,11,4.0,6,12.53,79,3.860189715034561,0,12,2.42,26.4,6.68,Austin,Male,1,0
A0173,21,5.0,6,24.61,31,4.584898290585896,1,7,2.16,64.28,6.66,Austin,Male,1,1
A0174,17,9.0,12,27.45,63,5.241151974816643,0,3,1.21,70.34,7.0,Austin,Male,0,0
A0175,20,9.0,12,32.56,72,4.994690799330019,1,13,2.44,29.91,6.74,San Francisco,Male,1,1
A0176,26,5.0,6,41.93,81,3.536183249036024,0,21,1.58,75.84,3.87,Chicago,Female,0,1
A0177,18,5.0,6,22.28,82,4.794001891877906,0,15,1.08,20.56,6.83,San Francisco,Female,0,0
A0178,15,9.0,12,25.02,26,7.732534077157316,0,4,1.2,54.43,8.97,San Francisco,Male,0,0
A0179,12,5.0,6,24.87,25,2.066343166762044,0,19,1.94,80.43,3.33,Chicago,Female,1,0
A0180,16,3.0,3,21.98,12,9.33516916658962,0,4,1.08,53.7,9.45,Austin,Female,0,0
A0181,21,5.0,6,26.53,56,0.7236673477650062,0,2,0.95,90.8,0.14,San Francisco,Male,0,1
A0182,34,18.0,24,37.71,43,1.5858424435837175,1,17,1.28,5.85,3.49,Austin,Male,0,0
A0183,18,18.0,24,19.46,51,-0.1468924980611123,1,27,1.36,58.83,1.32,San Francisco,Female,1,0
A0184,13,5.0,6,34.28,19,1.3714724152431852,1,9,1.16,56.18,1.27,Austin,Female,1,0
A0185,21,9.0,12,12.98,58,5.481537214674149,1,11,1.27,66.04,8.15,New York,Female,1,1
A0186,19,9.0,12,24.39,47,7.140000494092091,1,5,1.96,83.34,9.18,New York,Male,0,0
A0187,22,9.0,12,26.71,32,5.919237624573545,0,10,1.63,72.59,7.78,New York,Female,1,1
A0188,8,9.0,12,46.75,46,6.7661710873431264,0,2,1.24,79.03,9.77,Chicago,Female,0,0
A0189,18,9.0,12,27.25,76,0.665206281931595,1,46,1.29,28.88,2.16,New York,Male,1,0
A0190,19,4.0,6,7.99,57,-0.5278472246858648,1,24,1.43,38.75,1.41,San Francisco,Female,0,0
A0191,21,2.0,3,10.01,21,3.200485047932979,0,16,1.46,62.68,5.21,Austin,Male,1,0
A0192,20,9.0,12,30.34,31,6.659398794323471,0,11,1.46,55.35,8.29,Austin,Male,1,0
A0193,21,18.0,24,36.14,4,0.4940937441302039,0,23,1.94,96.11,0.4,Austin,Female,1,1
A0194,16,9.0,12,33.75,38,5.726261221288013,1,10,1.6,18.68,9.96,Austin,Male,1,0
A0195,24,18.0,24,31.68,21,4.387180925851181,0,5,1.61,35.13,6.02,San Francisco,Male,0,1
A0196,28,18.0,24,41.62,9,7.238317379728835,1,2,2.21,57.28,9.79,Austin,Female,0,1
A0197,28,4.0,6,24.6,28,1.6711425637988668,1,15,2.44,86.8,3.65,San Francisco,Male,1,1
A0198,21,9.0,12,38.95,81,3.359725105945528,1,39,0.88,92.93,4.58,San Francisco,Female,1,1
A0199,29,9.0,12,13.68,40,5.322208718445999,0,2,0.71,33.6,7.52,Austin,Male,0,0
A0200,11,18.0,24,20.95,5,4.408029702169376,0,2,1.33,6.71,7.93,Austin,Male,0,0
A0201,19,18.0,24,11.93,82,1.9887873603482833,0,8,1.89,42.16,2.33,Austin,Female,1,0
A0202,22,9.0,12,27.25,68,7.070784526368234,0,24,1.69,39.43,9.3,San Francisco,Female,1,1
A0203,27,5.0,6,29.54,97,7.152051243175277,1,5,2.03,98.65,8.67,Chicago,Female,0,1
A0204,20,9.0,12,31.14,94,1.179802052034903,0,4,1.3,43.11,0.18,San Francisco,Male,0,0
A0205,24,4.0,6,30.62,73,-0.4746693679570911,0,14,0.52,30.57,1.29,Chicago,Female,1,1
A0206,17,9.0,12,20.72,96,2.534174960084877,0,11,0.82,36.54,4.96,Austin,Male,1,0
A0207,32,18.0,24,28.1,45,3.742035267208659,1,0,1.78,39.69,4.61,San Francisco,Female,0,0
A0208,14,5.0,6,15.03,64,5.469785950912208,0,1,2.03,82.15,7.08,Austin,Male,0,1
A0209,21,9.0,12,43.63,73,1.145047686306048,1,15,0.55,8.1,0.9,Chicago,Female,0,1
A0210,16,9.0,12,26.96,95,8.36773149065472,0,9,2.21,31.65,6.45,Chicago,Male,1,0
A0211,19,9.0,12,25.11,26,4.882890510693167,0,53,1.73,96.63,6.16,San Francisco,Female,1,0
A0212,20,5.0,6,45.89,41,2.773565640180599,0,17,1.46,15.31,2.34,San Francisco,Male,0,0
A0213,21,9.0,12,17.58,70,4.7480017634932015,0,0,1.19,74.26,5.42,San Francisco,Male,0,1
A0214,26,18.0,24,18.74,95,2.205391251305798,1,9,2.3,35.64,2.22,San Francisco,Male,1,1
A0215,12,18.0,24,19.04,46,0.7137307553596544,0,8,1.95,58.18,1.47,New York,Male,1,0
A0216,24,5.0,6,29.32,7,4.769969220493268,0,1,1.75,9.95,5.73,New York,Female,0,0
A0217,23,18.0,24,34.32,57,6.066174785462428,1,38,1.13,30.64,9.77,Austin,Male,0,1
A0218,13,9.0,12,37.4,95,1.4221813932599912,1,24,2.31,50.09,2.37,Chicago,Female,1,1
A0219,19,5.0,6,55.72,32,1.9996364521708965,1,3,1.52,23.17,3.55,Chicago,Male,0,0
A0220,19,2.0,3,7.51,31,1.8808741393863224,0,4,1.65,54.19,2.57,Austin,Female,0,0
A0221,27,5.0,6,36.09,28,4.176658566673509,0,0,1.54,21.98,2.66,Austin,Male,0,1
A0222,21,18.0,24,24.43,85,0.9607348074082516,1,5,1.12,65.01,4.04,Austin,Male,0,1
A0223,19,9.0,12,24.14,28,5.600260190374513,1,13,1.66,90.44,7.02,New York,Female,1,0
A0224,20,9.0,12,23.8,39,-1.339715871189652,1,8,1.85,8.55,0.39,Austin,Female,1,0
A0225,18,5.0,6,20.91,93,6.227068134210566,0,52,1.28,21.66,9.57,Chicago,Male,1,0
A0226,24,9.0,12,46.85,96,1.4109505969673664,1,0,1.62,84.44,0.46,Austin,Female,0,1
A0227,13,2.0,3,38.42,55,6.231280019095463,1,13,1.53,63.16,8.81,San Francisco,Female,0,1
A0228,14,4.0,6,30.23,32,5.180255222070693,0,29,1.96,7.87,8.94,Chicago,Female,1,0
A0229,15,9.0,12,43.51,5,2.9526962907400316,1,9,1.35,48.64,5.24,Chicago,Male,0,0
A0230,13,5.0,6,14.87,45,1.638597748934676,1,0,1.61,20.98,1.37,Chicago,Female,0,0
A0231,25,18.0,24,16.69,9,3.2246333682828636,0,4,1.72,19.91,5.65,New York,Male,0,0
A0232,22,5.0,6,8.22,51,4.619458589581974,0,5,1.34,94.06,6.29,New York,Female,0,0
A0233,16,9.0,12,23.01,75,6.051571839903813,1,50,1.09,76.15,8.58,Chicago,Female,1,0
A0234,16,9.0,12,31.62,43,3.205399652394183,0,36,1.17,69.62,5.51,San Francisco,Male,0,0
A0235,16,9.0,12,31.03,79,5.020944089325326,0,44,1.7,23.89,4.11,Chicago,Female,1,1
A0236,12,5.0,6,31.49,81,6.499919022318012,0,26,1.38,11.86,8.38,New York,Female,1,0
A0237,15,2.0,3,15.89,56,4.841857413342392,0,6,1.38,87.08,9.81,San Francisco,Female,1,0
A0238,19,18.0,24,38.03,71,4.701454314769427,1,35,1.8,0.59,6.45,Chicago,Female,0,1
A0239,23,5.0,6,32.4,95,5.456213535231612,0,60,2.01,38.81,8.74,New York,Female,1,1
A0240,12,18.0,24,37.33,93,5.045433334796224,0,6,2.1,27.76,5.99,San Francisco,Female,0,1
A0241,26,18.0,24,11.07,29,4.0374792615673,1,4,1.19,57.04,6.9,Austin,Female,0,0
A0242,15,5.0,6,33.11,10,4.701263558533101,0,11,1.96,25.05,6.88,Austin,Male,1,0
A0243,16,5.0,6,18.12,34,5.439987278980457,0,3,2.54,31.12,7.05,Chicago,Male,0,0
A0244,24,9.0,12,26.03,86,3.1127551941701213,1,0,1.56,85.0,3.21,Austin,Male,0,1
A0245,20,18.0,24,35.34,66,2.8317035929442236,0,43,1.46,60.32,5.76,New York,Male,1,1
A0246,19,18.0,24,30.91,12,3.823498764159052,0,39,1.36,14.57,5.94,San Francisco,Male,1,0
A0247,12,9.0,12,21.48,15,1.7300546888390436,1,2,0.97,72.65,3.15,Chicago,Female,0,0
A0248,22,9.0,12,30.06,65,1.7966707674262878,1,7,1.92,20.75,3.5,San Francisco,Male,1,1
A0249,16,5.0,6,14.68,95,7.099454240281096,1,26,1.47,43.3,7.62,San Francisco,Male,1,0
A0250,15,18.0,24,41.5,37,4.485981710960955,1,16,1.43,64.66,5.83,San Francisco,Female,0,0
A0251,14,18.0,24,27.95,63,-0.2178839543350452,1,7,1.84,27.19,1.49,New York,Male,1,0
A0252,22,5.0,6,41.19,56,6.783861947054777,1,20,1.89,38.41,8.38,Chicago,Female,0,1
A0253,26,5.0,6,24.73,10,8.303156197012633,1,34,1.2,73.41,8.83,Austin,Female,1,0
A0254,11,5.0,6,24.76,31,4.294465260551147,0,39,1.21,93.79,4.66,San Francisco,Male,1,0
A0255,19,4.0,6,22.36,97,-0.0563699659540135,0,7,1.19,52.92,2.09,San Francisco,Male,1,0
