date,revenue,unique_users,leads,costs
2019-02-07,13169.39199225075,1142,29,6926.333151690636
2019-02-08,13467.318055356554,1477,32,7222.645293877327
2019-02-09,13460.936452420683,1179,36,7469.057093845869
2019-02-10,13711.812346557785,1474,41,6578.948911851153
2019-02-11,14157.383333567237,1528,42,6589.33423400225
2019-02-12,13992.111166680408,1290,38,6814.498297783524
2019-02-13,13876.805142843148,1346,28,6915.081271212747
2019-02-14,13264.773268212484,1215,22,7473.240839120901
2019-02-15,13620.115384039056,1340,26,7013.271714896793
2019-02-16,12975.117888664729,1266,32,6906.136987368583
2019-02-17,13708.865496933811,1448,29,6795.941859455377
2019-02-18,14076.51878528242,1538,37,7421.62431545798
2019-02-19,12997.203757125162,1439,36,6896.448378912504
2019-02-20,14014.459616613703,1345,20,7058.884341473069
2019-02-21,13633.320338744146,1342,16,7189.953985974411
2019-02-22,13460.664512710333,1177,19,7286.779227435505
2019-02-23,13328.117613255103,1252,24,6979.586367003139
2019-02-24,13510.892350606213,1447,24,7484.648588905275
2019-02-25,14184.173593627953,1579,34,7101.34824348955
2019-02-26,13272.16152885209,1203,27,6950.309469383927
2019-02-27,13510.563897664013,1291,21,7803.537854562148
2019-02-28,13804.431014548078,1377,10,6938.560231148807
2019-03-01,14100.495939526809,1438,10,6875.542730785525
2019-03-02,12597.419625379818,1178,21,6683.439797550003
2019-03-03,12718.883241194062,1314,13,7427.067895525274
2019-03-04,12983.73598681243,1250,30,7736.905461953546
2019-03-05,12914.536543618682,1290,22,7280.2027220353375
2019-03-06,13895.244322549344,1444,35,7182.84959830202
2019-03-07,14144.106272576737,1415,27,6835.834655704939
2019-03-08,13407.705959363453,1297,14,6764.78866983865
2019-03-09,13173.977203001845,1306,18,6667.222365016583
2019-03-10,12832.356892301552,1274,28,7853.993942327559
2019-03-11,13059.187233834336,1268,33,7163.005211253577
2019-03-12,13543.583192351467,1328,15,6804.606089439709
2019-03-13,14114.020103424613,1571,10,7248.124134386556
2019-03-14,13310.22959028043,1387,13,6625.9268151223005
2019-03-15,14094.673836013028,1379,19,7185.061567972241
2019-03-16,11237.79969851456,1193,22,7182.4172907401335
2019-03-17,12945.094756839675,1261,30,7184.672019048219
2019-03-18,13315.327352452578,1448,21,7209.330089048071
2019-03-19,13111.185396138797,1348,14,5936.061542221001
2019-03-20,13296.713317737655,1318,26,6906.201338852914
2019-03-21,12248.482343929125,1269,14,7309.257448298382
2019-03-22,13125.183854093868,1155,9,6924.590697085443
2019-03-23,12657.674982505976,1153,24,7221.548531798022
2019-03-24,13213.53492811355,1201,32,6360.885857476521
2019-03-25,12962.314324357962,1310,30,6929.676918247204
2019-03-26,12815.476059171002,1454,27,6609.949358225219
2019-03-27,12968.546793046431,1519,25,7188.154730465478
2019-03-28,13678.272507995589,1431,21,6898.141765985987
2019-03-29,13387.548977914352,1388,17,7051.664920652284
2019-03-30,12212.360785374594,1041,24,7216.87716576129
2019-03-31,12739.414687561151,1219,35,7310.9673249350935
2019-04-01,13288.337047982553,1250,37,7098.2002236623985
2019-04-02,13732.617352201698,1311,35,6364.2445580589565
2019-04-03,12907.243698860018,1273,25,6820.9885730682745
2019-04-04,13105.89035227035,1263,27,6826.573993790016
2019-04-05,13086.588770952065,1110,18,7016.5660186492405
2019-04-06,11815.268961528862,1256,33,6759.81286443293
2019-04-07,12710.921735261132,1163,44,6637.789433246432
2019-04-08,13460.66287043226,1369,32,6338.775054545422
2019-04-09,13351.388493380977,1542,36,6344.137773960329
2019-04-10,13251.63957190424,1233,36,6871.290356155588
2019-04-11,12682.733489745944,1015,38,6633.745747501431
2019-04-12,13202.943358329054,1291,30,7010.12121895578
2019-04-13,12516.092056796962,1361,33,7545.572398864561
2019-04-14,12311.802455694202,1427,31,7111.737013499455
2019-04-15,13409.068512268313,1217,44,7453.945460234875
2019-04-16,13719.75331698143,1421,52,6872.165980118907
2019-04-17,14490.049101153925,1402,39,7043.7936836041945
2019-04-18,13664.648362076514,1355,34,6805.531134540158
2019-04-19,13737.674150654546,1638,36,6922.623914987834
2019-04-20,12854.310742400397,1135,38,6525.272668504936
2019-04-21,11965.835085689358,1221,38,7455.238150835644
2019-04-22,13696.658006375184,1416,49,7583.399439142329
2019-04-23,13775.684631753371,1486,44,6690.340049115938
2019-04-24,15013.756696577293,1511,38,6513.565013787637
2019-04-25,13723.382188632968,1403,30,6882.838767805266
2019-04-26,14008.5719285609,1361,41,7247.501454969259
2019-04-27,13129.432472653216,1339,41,7841.606772564161
2019-04-28,12602.138299565118,1225,39,6594.183064425578
2019-04-29,14548.219354792493,1516,48,7325.403137760945
2019-04-30,14393.688102974796,1402,39,6855.828210280221
2019-05-01,14454.674160480403,1483,33,6814.659807459541
2019-05-02,13646.362659454931,1361,29,7502.164006940035
2019-05-03,14844.750746304906,1597,24,7261.645699260593
2019-05-04,12735.06051904571,1268,38,7305.326192122387
2019-05-05,13772.317493480783,1199,30,7029.746247570087
2019-05-06,15367.224286302153,1662,34,7744.520084427956
2019-05-07,13819.973760912211,1291,28,6946.146143751962
2019-05-08,14075.408909522701,1342,33,7197.870309365443
2019-05-09,14451.701458530422,1385,28,7228.881769562961
2019-05-10,14193.38921268751,1556,27,7032.4182053097165
2019-05-11,12962.910412206584,1082,26,7492.223420958562
2019-05-12,13815.432630831523,1695,29,7346.819409496303
2019-05-13,14042.63196591967,1509,38,7455.876204682994
2019-05-14,14852.865841406552,1507,31,7418.826663760266
2019-05-15,14198.225713143169,1414,30,7456.211610012102
2019-05-16,15474.284824046666,1575,20,7240.7370910858235
2019-05-17,14348.511542308406,1486,25,7302.563001363248
2019-05-18,13869.298056990316,1451,33,6493.402835126181
2019-05-19,14476.577582758431,1503,33,7591.769970472144
2019-05-20,14243.106261702302,1433,29,7206.749713947467
2019-05-21,15010.147249224692,1481,30,7277.899275415708
2019-05-22,15586.957533999093,1543,22,7296.801706735123
2019-05-23,14165.634583994068,1397,20,7176.8163606796525
2019-05-24,15096.636152548344,1623,17,6969.224495615242
2019-05-25,14418.08917083628,1501,21,7394.096911454708
2019-05-26,14711.706672437918,1177,27,7392.6856874383875
2019-05-27,14483.720563081506,1513,22,8043.763135104312
2019-05-28,14472.05683118935,1466,20,7296.169136127197
2019-05-29,15421.970094052222,1540,13,7511.855323803613
2019-05-30,15336.768378102559,1494,8,7630.859616010293
2019-05-31,15339.300626565057,1646,10,7098.34886849673
2019-06-01,14661.498122912597,1560,20,7736.635241201299
2019-06-02,14170.864794765992,1339,19,7378.883481531119
2019-06-03,15397.93364315473,1580,27,7861.23751951682
2019-06-04,15447.543949160037,1447,23,7443.870351259298
2019-06-05,14961.250651171857,1358,9,7340.794982624229
2019-06-06,16266.898192900222,1564,18,7384.600513720842
2019-06-07,15584.62792645187,1644,19,7846.372892631246
2019-06-08,14013.828113333655,1496,13,8113.789071720861
2019-06-09,14947.546808116467,1546,25,7577.695949241605
2019-06-10,14889.69696503305,1561,21,7573.460675641304
2019-06-11,15776.283555989756,1629,24,7273.630676250524
2019-06-12,15965.638315238002,1532,13,7720.185906033685
2019-06-13,14977.456832538744,1540,7,7299.045203923075
2019-06-14,15868.766367384893,1666,14,6882.975979754105
2019-06-15,14840.538901700229,1559,19,8197.448342820608
2019-06-16,15040.007838107416,1622,23,7721.388885636866
2019-06-17,16319.934543583158,1702,21,7237.745651069468
2019-06-18,15239.109528824863,1559,24,7269.891032976202
2019-06-19,14972.883065652866,1604,23,7982.457080290423
2019-06-20,14890.60286695826,1486,19,8330.319288612307
2019-06-21,14910.707190805155,1402,21,7853.324865451142
2019-06-22,14510.941625094667,1434,20,7439.0311895079
2019-06-23,14698.563750478634,1395,34,7492.07708573123
2019-06-24,15392.43351730557,1471,25,7433.9344157037085
2019-06-25,15641.377820668768,1549,32,7691.7544225090505
2019-06-26,15205.578337389172,1441,32,7146.816403195057
2019-06-27,15894.72689408487,1558,26,7375.990158726409
2019-06-28,15002.106098452734,1310,23,7995.495722251435
2019-06-29,15708.589667386374,1592,26,7548.365064563282
2019-06-30,14623.011746710788,1462,38,8181.958274861603
2019-07-01,14590.884015484635,1377,29,7299.178167441656
2019-07-02,14440.925114738424,1510,30,7696.143392114264
2019-07-03,15172.154911647112,1610,29,7110.17962856005
2019-07-04,14771.391142548306,1316,35,7379.474009072461
2019-07-05,15190.003617481467,1442,31,6888.713453321887
2019-07-06,14267.203316724444,1349,28,7405.356447207645
2019-07-07,13939.477543227373,1299,36,7000.541183286056
2019-07-08,14245.557809370499,1507,37,7765.178055201818
2019-07-09,13852.380440939414,1365,35,7495.137796945229
2019-07-10,14325.21692629013,1406,40,6662.764443822909
2019-07-11,14913.202039587824,1290,26,7673.833066461321
2019-07-12,14526.47522104053,1516,41,7904.938670207781
2019-07-13,12978.924323047144,1173,41,7311.366993907941
2019-07-14,13618.733964536974,1367,47,7281.626333808953
2019-07-15,14403.183714169145,1468,41,8205.241743613073
2019-07-16,13695.05936617109,1505,41,6497.98674742339
2019-07-17,14138.447488635278,1282,31,7091.652129421822
2019-07-18,14013.474593537088,1099,32,7374.84179604032
2019-07-19,13333.9158372592,1351,37,7512.062095987051
2019-07-20,13253.630173059815,1505,45,7349.45593912862
2019-07-21,13272.830557767831,1451,37,7054.4522093245905
2019-07-22,14200.09573156901,1440,43,6714.819440061373
2019-07-23,14100.098799816802,1360,42,6873.542505844104
2019-07-24,12797.554487638416,1360,31,6679.770959046806
2019-07-25,12929.301652257767,1195,38,7274.376315406107
2019-07-26,13566.26219109381,1404,31,7060.770785986895
2019-07-27,12724.94692546471,1323,37,6391.055008304599
2019-07-28,12633.741581459466,1369,39,7255.334232189801
2019-07-29,14959.678745313953,1771,39,6920.576900299431
2019-07-30,13224.863678076663,1361,41,6437.043036146819
2019-07-31,13412.3970433854,1290,35,6739.644734091577
2019-08-01,13225.98294634773,1320,31,7508.415093384483
2019-08-02,12978.300596644975,1120,28,6443.519085749289
2019-08-03,11647.932619455003,1095,36,7123.2134131533485
2019-08-04,12087.438973381179,1167,47,6653.64761329724
2019-08-05,11973.440311251252,1144,40,7406.798821750728
2019-08-06,12142.941194244233,1229,42,6651.567939459522
2019-08-07,11919.853830067284,1109,26,6506.261694981558
2019-08-08,12104.434631200475,1322,29,6368.48176228017
2019-08-09,13121.65570306521,1312,22,6611.392046004182
2019-08-10,10181.480261878542,1017,23,6759.793371495172
2019-08-11,11359.078185005566,1103,30,6623.6821507845825
2019-08-12,10860.565828160634,1101,41,6871.349068778505
2019-08-13,11332.16593432457,1215,37,6071.955165808931
2019-08-14,12014.139925531463,1114,29,6226.565776130583
2019-08-15,11403.75442026175,1074,16,6155.207970395279
2019-08-16,10735.201238070302,1043,22,5773.91204862587
2019-08-17,10069.482772042982,872,27,6896.359846915149
2019-08-18,10670.68847701233,985,30,6510.765660175054
2019-08-19,10620.24717439575,1014,21,5988.523618211061
2019-08-20,10999.078163450999,1187,23,6590.465326019466
2019-08-21,10820.021780650737,1108,23,6227.311487221415
2019-08-22,10378.881860771515,1057,22,5875.231080726166
2019-08-23,11685.249350090573,1253,8,6556.744675476437
2019-08-24,10090.070348762838,995,21,6365.420999148
2019-08-25,8671.699654295457,906,26,6232.03855387672
2019-08-26,10440.072165368447,1033,31,6377.848123631695
2019-08-27,9930.02611949196,1019,28,6162.169821762262
2019-08-28,10602.795846362249,1002,23,5522.982409222309
2019-08-29,9697.648093083604,725,12,6298.804085104287
2019-08-30,9955.621635772484,982,6,5407.524499644396
2019-08-31,9436.398246810964,1085,17,6050.676715014917
2019-09-01,9539.610059701536,1046,28,6425.940957267539
2019-09-02,9181.403381461816,1014,32,5756.566254111654
2019-09-03,9541.1878481074,1077,26,5649.767984795332
2019-09-04,9399.995186770035,948,21,5727.4946163754685
2019-09-05,9242.047997235863,943,17,5389.979173671953
2019-09-06,10384.970882076756,976,12,5199.872121563745
2019-09-07,8890.621130231235,857,18,5750.822636473927
2019-09-08,7995.9970908194455,861,31,5813.372226395256
2019-09-09,9776.165886385576,1098,20,6099.73974406143
2019-09-10,10321.658462933668,1018,31,5623.722770485005
2019-09-11,9722.768322947095,927,18,5411.711388500949
2019-09-12,8395.473833057213,839,23,6239.702207380902
2019-09-13,8864.388201109625,946,10,6039.3636831013355
2019-09-14,8944.083558158092,750,23,5744.605723757948
2019-09-15,7913.742812465848,561,22,5434.304504450738
2019-09-16,9199.311536974848,864,20,5833.12048825992
2019-09-17,9327.463099527793,810,27,6106.833131010402
2019-09-18,8442.387621723803,793,28,5185.679721989001
2019-09-19,8844.799320564207,869,15,5789.47359720112
2019-09-20,7225.676862684102,677,13,5899.746162439126
2019-09-21,7558.938849982052,901,24,5234.942884498494
2019-09-22,7922.775683721853,824,29,5659.564946333137
2019-09-23,8156.2286566607145,845,34,4728.000901602602
2019-09-24,9580.545306011027,1020,35,4736.966563872796
2019-09-25,8036.669850228605,689,27,5486.856627484233
2019-09-26,8522.32023725988,956,34,5331.7061745989795
2019-09-27,8801.53233957718,872,26,5934.847714089674
2019-09-28,8703.849444277375,937,27,5405.632461966075
2019-09-29,7265.5741628717105,619,26,5263.776056578826
2019-09-30,9318.628704809882,776,35,5626.883411283853
2019-10-01,8748.958504675196,956,34,5241.224441778756
2019-10-02,8263.137689929024,863,37,5596.963956261933
2019-10-03,8998.246966019018,809,31,5388.797507984976
2019-10-04,8883.27667605605,801,24,5565.951970111984
2019-10-05,7753.430531629268,887,35,5166.259830564533
2019-10-06,8111.461805305314,692,42,5870.600441813944
2019-10-07,8660.141479304391,1030,49,5565.553591432364
2019-10-08,8938.99323824883,803,44,5170.429143602418
2019-10-09,9245.91501211858,988,40,5689.3990051070605
2019-10-10,9743.629081727973,941,33,5606.871621294583
2019-10-11,8370.613926031507,897,35,5836.691305255439
2019-10-12,9348.040554848863,880,43,5479.376722680334
2019-10-13,7350.551643161216,718,35,5501.643641340139
2019-10-14,9048.809587996186,908,42,5543.346566421491
2019-10-15,9469.96486145861,846,38,5708.758259806239
2019-10-16,9370.363678219088,1011,40,5393.095894684548
2019-10-17,8975.493932138796,846,41,5690.670340600091
2019-10-18,9242.627386484173,901,32,5902.512060207972
2019-10-19,8412.853508814776,741,26,5324.094344483353
2019-10-20,8430.106895840407,586,41,6259.179261525916
2019-10-21,9967.7421154709,977,49,5723.515620435643
2019-10-22,9792.261288711923,1220,45,5733.132143746192
2019-10-23,9340.713697057101,1012,40,5278.2045676862335
2019-10-24,10212.925292252668,1019,33,6082.725605306473
2019-10-25,9995.21104981175,973,28,5546.824957556154
2019-10-26,9578.842315354794,960,40,5937.8344605950315
2019-10-27,9570.422496194982,1011,37,5957.0853623600515
2019-10-28,9676.585001046064,849,54,6007.320466124195
2019-10-29,9898.672803308269,1101,43,6083.044903645468
2019-10-30,10642.224194874085,1135,33,5501.364655492411
2019-10-31,10665.634885422003,1138,29,5697.62798112998
2019-11-01,10443.852902510691,1088,31,6106.79912531851
2019-11-02,9858.724558849452,987,33,6822.133700826249
2019-11-03,10536.473763787519,1120,44,6158.265765228157
2019-11-04,10451.177924423031,1104,40,6310.496706130388
2019-11-05,11121.493642221223,1076,33,5925.525926697291
2019-11-06,10849.404856635323,1027,41,6743.615807563146
2019-11-07,10945.706364406593,1104,28,5611.186877237333
2019-11-08,11709.384258851442,1325,31,6364.834406067174
2019-11-09,10929.468462130804,969,27,5767.158246921978
2019-11-10,11031.50672057835,956,35,5531.740438160962
2019-11-11,12136.620817742933,1230,36,6602.053893590778
2019-11-12,11604.56074108428,1165,22,6320.689877483478
2019-11-13,12046.169963598293,1221,37,6224.000934850845
2019-11-14,11662.060823578358,1190,29,6609.128018310954
2019-11-15,12092.052539402779,1186,20,7410.8580525466605
2019-11-16,11228.355461408355,1271,19,6536.398447670058
2019-11-17,11455.972842590527,985,30,6651.65555544853
2019-11-18,12569.599127005655,1174,30,6432.806315936669
2019-11-19,11977.861500467397,1187,29,6457.076410934687
2019-11-20,13548.429826009531,1190,23,6365.321750260473
2019-11-21,12114.712759493385,1193,21,6647.7241932827765
2019-11-22,12126.241371575023,1378,25,7139.028009800317
2019-11-23,12678.042708167763,1269,24,7417.684436758161
2019-11-24,12610.416425971116,1284,19,6675.4378220677845
2019-11-25,13392.098403167649,1213,33,5946.608830689316
2019-11-26,13509.430308962374,1289,32,6695.110045474557
2019-11-27,13304.029645132194,1292,35,7594.03319711286
2019-11-28,12976.009346152623,1265,10,6948.431020958383
2019-11-29,13576.52286551884,1485,17,7383.794364304809
2019-11-30,12563.43788813707,1312,8,7423.791614125438
2019-12-01,13502.305528323048,1239,26,6958.491978602579
2019-12-02,13803.188504112353,1404,22,6820.410370095206
2019-12-03,13575.101886384853,1407,32,6038.437666906254
2019-12-04,13937.37112379379,1507,15,7255.9406210796005
2019-12-05,14413.743571399147,1599,7,6896.529750386641
2019-12-06,14033.551116491511,1301,13,7125.375701481763
2019-12-07,13261.283621985967,1245,9,6806.265235261328
2019-12-08,13899.98755868497,1264,27,7244.551809278683
2019-12-09,14755.073681432506,1452,15,7220.18105141777
2019-12-10,14482.190014231122,1494,24,7058.963160909079
2019-12-11,14601.768793580755,1558,9,6835.549611399767
2019-12-12,15053.426765105387,1497,15,7785.595389058157
2019-12-13,14311.895407547652,1399,25,7165.588568849746
2019-12-14,13679.099955052185,1383,23,6878.189799938254
2019-12-15,14118.801214086812,1328,21,7483.321003542577
2019-12-16,15214.729432106275,1730,28,7303.8812149722335
2019-12-17,15568.517959684514,1396,27,7151.9068164671835
2019-12-18,16240.480581570178,1642,25,7644.2800853315675
2019-12-19,16019.445757735904,1804,13,7493.484178611125
2019-12-20,15596.485836804975,1560,24,7634.669500594723
2019-12-21,15000.764843471132,1481,11,7541.188860101126
2019-12-22,14590.760352023708,1423,27,8051.99977818714
2019-12-23,15912.412929063812,1573,30,7734.238470264923
2019-12-24,15854.83777002564,1722,34,7374.22113485309
2019-12-25,16235.840498146299,1402,28,6805.825697567473
2019-12-26,15733.962499438514,1726,18,8207.04753723567
2019-12-27,16478.09940399334,1505,21,7388.147341670875
2019-12-28,16303.366731563243,1603,31,7693.368746632978
2019-12-29,15548.885564285869,1511,34,7827.692103154354
2019-12-30,16618.064150543687,1720,34,7584.462442612995
2019-12-31,16823.877059274026,1522,34,7442.95708599303
2020-01-01,16349.810913524381,1681,33,7027.481394475561
2020-01-02,16718.726694532317,1874,24,8201.718331034797
2020-01-03,16666.843869542237,1530,27,7883.607244364311
2020-01-04,16010.852584182778,1620,42,8783.124301799313
2020-01-05,15624.570698187597,1496,29,7717.3114886704325
2020-01-06,16819.98325439981,1724,29,7723.617853833995
2020-01-07,17100.97152741726,1712,41,7633.637884169212
2020-01-08,17619.382922297973,1697,30,7760.311605997826
2020-01-09,17412.88542724934,1790,29,7904.93397468435
2020-01-10,18046.888667378927,1985,28,8313.991122425932
2020-01-11,15871.290688589697,1568,34,7992.238359692796
2020-01-12,16723.425187669913,1744,48,7809.388112635726
2020-01-13,17158.886053055892,1586,46,7874.602178390946
2020-01-14,18189.73551315672,1723,45,7094.31495619575
2020-01-15,16715.994333973358,1718,30,7861.606850458456
2020-01-16,16723.306583259862,1820,28,8057.371722198801
2020-01-17,16864.236474638794,1721,20,8267.489545702061
2020-01-18,15370.520620463301,1505,34,8387.820039348157
2020-01-19,16185.928587951088,1618,47,8385.401037860398
2020-01-20,16833.413215231696,1558,47,7958.830046158287
2020-01-21,17300.22192609601,1790,41,7072.979852181401
2020-01-22,17405.859008621374,1828,38,7685.76704396881
2020-01-23,18180.97358519566,1772,32,7870.07754639439
2020-01-24,17724.001176273014,1725,36,7992.926089145385
2020-01-25,16214.277328040638,1648,42,8012.442031416938
2020-01-26,16055.547391397555,1561,34,8258.253206841257
2020-01-27,17500.874359149355,1743,46,8201.237868112576
2020-01-28,16593.14336112514,1869,47,7673.620868767524
2020-01-29,18165.57214853862,1791,35,7879.160970006944
2020-01-30,17834.437422374373,1747,37,8358.372922516264
2020-01-31,17003.351758255874,1635,47,7704.749482182795
2020-02-01,15622.999565264647,1636,36,8830.991242363696
2020-02-02,17146.594170100012,1696,42,8056.312536160127
2020-02-03,17151.003411676385,1650,38,7615.665343332161
2020-02-04,17814.382653050572,1913,40,7801.133290988909
2020-02-05,16384.110494035365,1780,37,7898.755810705702
2020-02-06,16866.19930717002,1626,31,8241.688464730132
2020-02-07,17151.848904049733,1528,25,7623.214215585012
2020-02-08,16404.90137668814,1741,33,8332.96993065553
2020-02-09,16137.473098746499,1545,43,8261.547814563126
2020-02-10,17404.00402273383,1819,39,7695.4117064660195
2020-02-11,16537.888978280953,1456,40,7477.837275852557
2020-02-12,16978.74556536388,1787,29,8342.921700853209
2020-02-13,17087.504806493744,1587,29,7999.98723577076
2020-02-14,17261.253680425572,1799,26,7711.111238864499
2020-02-15,16585.844927280854,1660,23,7413.808041364378
2020-02-16,15643.116228225688,1468,33,8021.017980267657
2020-02-17,16163.247298456543,1575,27,8110.060219676945
2020-02-18,17543.548051447444,1822,27,8190.401407215101
2020-02-19,17044.880840796326,1715,26,7273.2113400123635
2020-02-20,16478.174363638027,1706,22,7392.8881518647795
2020-02-21,17601.437466713567,1957,14,8398.353205867177
2020-02-22,16106.962830009745,1454,28,8415.483273607017
2020-02-23,16611.928060866583,1822,30,7472.106603756043
2020-02-24,16779.151830063292,1688,25,8604.885465903992
2020-02-25,17748.90749651085,1685,18,7843.351401448969
2020-02-26,17569.440711685013,1623,20,8311.120019982369
2020-02-27,16540.688011350085,1635,15,8012.679440563703
2020-02-28,17124.58477432347,1804,17,7567.9888737068695
2020-02-29,16185.411350758204,1605,18,8225.24199881069
2020-03-01,16521.32252306864,1803,14,8280.249549006407
2020-03-02,16079.25099923592,1462,23,7869.251626571927
2020-03-03,16879.929203814663,1686,22,7739.233914555226
2020-03-04,17041.852099083815,1578,22,7903.556705855298
2020-03-05,15609.611668140687,1597,12,6953.921135810231
2020-03-06,15874.357001958439,1676,23,8565.383033775643
2020-03-07,14674.09493127357,1425,9,7842.142925755992
2020-03-08,15537.507336833554,1293,29,7834.604130184046
2020-03-09,16760.310007675715,1695,23,7736.296759743069
2020-03-10,17132.92563718491,1756,27,7779.514196289879
2020-03-11,16399.93277980715,1680,19,7783.06903777849
2020-03-12,17159.309592977275,1839,21,7957.615720846422
2020-03-13,15638.09188072796,1456,14,7871.823163399689
2020-03-14,14710.660788428448,1539,14,8159.335044356787
2020-03-15,15519.898401111122,1671,31,7585.760486706798
2020-03-16,16476.176229121716,1469,26,7885.194690301155
2020-03-17,16255.456444286447,1657,26,7083.484811062072
2020-03-18,15226.968021351793,1472,27,8031.654618920329
2020-03-19,16206.272909713509,1612,13,7991.242731535323
2020-03-20,15590.032050977145,1593,22,8069.874063640967
2020-03-21,15819.856072427643,1533,20,7592.687050552953
2020-03-22,15662.417819798527,1498,27,7336.168744371753
2020-03-23,15754.648012579115,1578,30,7418.790866274541
2020-03-24,15964.515974826438,1487,21,7947.673623011708
2020-03-25,15690.116099673121,1460,21,7748.7220911475115
2020-03-26,16188.085766202114,1686,29,8080.691375365436
2020-03-27,16698.14260939517,1554,27,7910.3371613590825
2020-03-28,14980.310399916738,1564,27,7417.024262691139
2020-03-29,15729.264145017036,1619,33,7617.606488544443
2020-03-30,15967.652161818252,1424,33,8040.317999975522
2020-03-31,15843.361857177362,1516,40,6799.879900174989
2020-04-01,16194.779676957975,1738,29,8220.811809192006
2020-04-02,15740.64908458901,1475,28,7922.819669458742
2020-04-03,15992.896772895643,1552,33,8121.11893626787
2020-04-04,14933.70390122372,1539,28,7384.252720844642
2020-04-05,16529.389002053118,1731,44,8095.56427348328
2020-04-06,16330.493372714709,1607,32,8467.318705177018
2020-04-07,15980.272480346022,1538,46,7083.847663753921
2020-04-08,16455.821720426855,1787,32,8190.237239087066
2020-04-09,16312.769113746397,1805,30,7899.480995220601
2020-04-10,16279.934061004544,1725,22,7330.751589629333
2020-04-11,15970.349369733445,1605,34,8084.611707683617
2020-04-12,16066.203170084,1525,35,8143.911695575123
2020-04-13,16197.690516499748,1536,40,7703.642252500708
2020-04-14,16201.802247778978,1672,41,8140.879766996601
2020-04-15,16380.20203999834,1679,42,7319.83192898844
2020-04-16,15395.995568180868,1679,35,7410.880311015031
2020-04-17,15819.76392456132,1647,36,7901.519893010319
2020-04-18,16542.336089015425,1503,33,7921.676195391184
2020-04-19,16714.017557034123,1776,38,7403.826623927029
2020-04-20,16550.702673560692,1555,53,7988.807508159962
2020-04-21,16998.193425627676,1661,39,8121.969120969412
2020-04-22,16901.194604054625,1715,47,8271.646988390441
2020-04-23,18321.57604456227,2031,34,7928.269871462527
2020-04-24,17379.350126740817,2048,35,8280.232108081806
2020-04-25,16043.83946165371,1665,43,7936.663290307389
2020-04-26,15669.018137205625,1548,48,9112.61842039466
2020-04-27,16133.254158246098,1666,43,7970.0413069856495
2020-04-28,17078.53976546859,1796,40,8444.741067333607
2020-04-29,16639.546213989255,1631,37,7711.17182528851
2020-04-30,16348.031332160044,1814,35,7427.322980603206
2020-05-01,16777.76994473104,1700,37,8533.985734787158
2020-05-02,15852.57958902966,1635,36,8029.634280715264
2020-05-03,17279.55686797813,1794,43,8159.746629162085
2020-05-04,17669.708825055375,1809,49,8400.48775898209
2020-05-05,17268.010152738854,1810,40,7857.160542952405
2020-05-06,18055.213992922567,1743,35,8006.194806949596
2020-05-07,17397.241928147894,1683,22,8593.626660817386
2020-05-08,16971.233675322474,1587,16,8180.629698058035
2020-05-09,17456.689078380437,1789,34,8622.321543459297
2020-05-10,17007.697149581978,1778,35,7573.05340630693
2020-05-11,17012.52806626528,1747,34,8225.464617699698
2020-05-12,17478.61448374092,1915,35,8045.430975970623
2020-05-13,17178.260499396583,1717,29,8598.302036028153
